dataset_key,city,n,model,scale_estimator,days_evaluated,days_rse_gt_10pct,fraction_days_rse_gt_10pct
dhaka_lcs,Dhaka,18,lognormal,robust_mad,365,18,0.049315068493150684
dhaka_lcs,Dhaka,19,normal,standard,365,37,0.10136986301369863
dhaka_lcs,Dhaka,19,normal,robust_mad,365,6,0.01643835616438356
dhaka_lcs,Dhaka,19,lognormal,standard,365,67,0.18356164383561643
dhaka_lcs,Dhaka,19,lognormal,robust_mad,365,12,0.03287671232876712
dhaka_lcs,Dhaka,20,normal,standard,365,33,0.09041095890410959
dhaka_lcs,Dhaka,20,normal,robust_mad,365,6,0.01643835616438356
dhaka_lcs,Dhaka,20,lognormal,standard,365,59,0.16164383561643836
dhaka_lcs,Dhaka,20,lognormal,robust_mad,365,8,0.021917808219178082
dhaka_lcs,Dhaka,21,normal,standard,365,27,0.07397260273972603
dhaka_lcs,Dhaka,21,normal,robust_mad,365,6,0.01643835616438356
dhaka_lcs,Dhaka,21,lognormal,standard,365,48,0.13150684931506848
dhaka_lcs,Dhaka,21,lognormal,robust_mad,365,7,0.019178082191780823
dhaka_lcs,Dhaka,22,normal,standard,365,23,0.06301369863013699
dhaka_lcs,Dhaka,22,normal,robust_mad,365,4,0.010958904109589041
dhaka_lcs,Dhaka,22,lognormal,standard,365,41,0.11232876712328767
dhaka_lcs,Dhaka,22,lognormal,robust_mad,365,6,0.01643835616438356
dhaka_lcs,Dhaka,23,normal,standard,365,20,0.0547945205479452
dhaka_lcs,Dhaka,23,normal,robust_mad,365,4,0.010958904109589041
dhaka_lcs,Dhaka,23,lognormal,standard,365,39,0.10684931506849316
dhaka_lcs,Dhaka,23,lognormal,robust_mad,365,6,0.01643835616438356
dhaka_lcs,Dhaka,24,normal,standard,365,17,0.04657534246575343
dhaka_lcs,Dhaka,24,normal,robust_mad,365,3,0.00821917808219178
dhaka_lcs,Dhaka,24,lognormal,standard,365,38,0.10410958904109589
dhaka_lcs,Dhaka,24,lognormal,robust_mad,365,5,0.0136986301369863
dhaka_lcs,Dhaka,25,normal,standard,365,14,0.038356164383561646
dhaka_lcs,Dhaka,25,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,25,lognormal,standard,365,37,0.10136986301369863
dhaka_lcs,Dhaka,25,lognormal,robust_mad,365,5,0.0136986301369863
dhaka_lcs,Dhaka,26,normal,standard,365,12,0.03287671232876712
dhaka_lcs,Dhaka,26,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,26,lognormal,standard,365,35,0.0958904109589041
dhaka_lcs,Dhaka,26,lognormal,robust_mad,365,5,0.0136986301369863
dhaka_lcs,Dhaka,27,normal,standard,365,11,0.030136986301369864
dhaka_lcs,Dhaka,27,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,27,lognormal,standard,365,33,0.09041095890410959
dhaka_lcs,Dhaka,27,lognormal,robust_mad,365,5,0.0136986301369863
dhaka_lcs,Dhaka,28,normal,standard,365,10,0.0273972602739726
dhaka_lcs,Dhaka,28,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,28,lognormal,standard,365,33,0.09041095890410959
dhaka_lcs,Dhaka,28,lognormal,robust_mad,365,5,0.0136986301369863
dhaka_lcs,Dhaka,29,normal,standard,365,9,0.024657534246575342
dhaka_lcs,Dhaka,29,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,29,lognormal,standard,365,32,0.08767123287671233
dhaka_lcs,Dhaka,29,lognormal,robust_mad,365,4,0.010958904109589041
dhaka_lcs,Dhaka,30,normal,standard,365,8,0.021917808219178082
dhaka_lcs,Dhaka,30,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,30,lognormal,standard,365,31,0.08493150684931507
dhaka_lcs,Dhaka,30,lognormal,robust_mad,365,4,0.010958904109589041
dhaka_lcs,Dhaka,31,normal,standard,365,8,0.021917808219178082
dhaka_lcs,Dhaka,31,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,31,lognormal,standard,365,29,0.07945205479452055
dhaka_lcs,Dhaka,31,lognormal,robust_mad,365,4,0.010958904109589041
dhaka_lcs,Dhaka,32,normal,standard,365,6,0.01643835616438356
dhaka_lcs,Dhaka,32,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,32,lognormal,standard,365,28,0.07671232876712329
dhaka_lcs,Dhaka,32,lognormal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,33,normal,standard,365,6,0.01643835616438356
dhaka_lcs,Dhaka,33,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,33,lognormal,standard,365,27,0.07397260273972603
dhaka_lcs,Dhaka,33,lognormal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,34,normal,standard,365,6,0.01643835616438356
dhaka_lcs,Dhaka,34,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,34,lognormal,standard,365,27,0.07397260273972603
dhaka_lcs,Dhaka,34,lognormal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,35,normal,standard,365,5,0.0136986301369863
dhaka_lcs,Dhaka,35,normal,robust_mad,365,2,0.005479452054794521
dhaka_lcs,Dhaka,35,lognormal,standard,365,27,0.07397260273972603
dhaka_lcs,Dhaka,35,lognormal,robust_mad,365,2,0.005479452054794521
lucknow_lcs,Lucknow,1,normal,standard,365,365,1.0
lucknow_lcs,Lucknow,1,normal,robust_mad,365,365,1.0
lucknow_lcs,Lucknow,1,lognormal,standard,365,365,1.0
lucknow_lcs,Lucknow,1,lognormal,robust_mad,365,365,1.0
lucknow_lcs,Lucknow,2,normal,standard,365,365,1.0
lucknow_lcs,Lucknow,2,normal,robust_mad,365,343,0.9397260273972603
