dataset_key,city,sensor_id,station_name,period_mean_pm25_ugm3,arithmetic_period_mean_pm25_ugm3,reference_mean_pm25_ugm3,mean_minus_reference_ugm3,ci_basis,daily_means_observed,daily_presence_pct,lag1_autocorrelation,ar1_effective_n,gls_effective_n,sd_pm25_ugm3,bonferroni_z,ci_low_ugm3,ci_high_ugm3,ci_excludes_reference,longest_missing_gap_days,long_gap_gt_30d,rank_by_period_mean
dhaka_lcs,Dhaka,81432124031,1. Siddeshwari ,37.42666702530299,38.6511193286532,55.14721850399361,-17.720551478690616,daily_sensor_means_gap_aware_ar1_gls,347,95.06849315068493,0.8998896609423683,18.284371122777507,19.970874395525424,30.036090824919082,3.188815258638475,15.994098138857677,58.8592359117483,False,17.0,False,2.0
dhaka_lcs,Dhaka,81432124034,2. Dhaka University ,53.29032053191762,54.412187251947,55.14721850399361,-1.8568979720759842,daily_sensor_means_gap_aware_ar1_gls,365,100.0,0.8974533919760038,19.726182517600392,20.672138181935715,49.463990646883694,3.188815258638475,18.598602235220966,87.98203882861428,False,0.0,False,17.0
dhaka_lcs,Dhaka,81432130001,25. Shahnoori model high school,50.36574601172699,50.502191516701885,55.14721850399361,-4.781472492266616,daily_sensor_means_gap_aware_ar1_gls,343,93.97260273972603,0.9209112650373201,14.122170339644583,15.820773637531456,43.36199369427752,3.188815258638475,15.602146099640983,85.12934592381299,False,20.0,False,14.0
dhaka_lcs,Dhaka,81432130014,"16. Narayangonj, Gognogor",76.4309939184765,79.7746786528606,55.14721850399361,21.283775414482896,daily_sensor_means_gap_aware_ar1_gls,365,100.0,0.9343680586956288,12.384229810044076,13.350300413304218,77.04054786506225,3.188815258638475,9.194787346580455,143.66720049037255,False,0.0,False,33.0
dhaka_lcs,Dhaka,81432130015,18. North Badda,47.834833889244514,48.38982874818884,55.14721850399361,-7.312384614749092,daily_sensor_means_gap_aware_ar1_gls,338,92.6027397260274,0.903652649171624,17.106799706428557,19.354036219201284,37.628679128805004,3.188815258638475,20.559972109617895,75.10969566887113,False,8.0,False,7.0
dhaka_lcs,Dhaka,81432130017,8. Vasantek,77.88611843614946,76.61565337768575,55.14721850399361,22.738899932155853,daily_sensor_means_gap_aware_ar1_gls,332,90.95890410958904,0.7938903764233939,38.1452489665861,41.25813374500616,73.54739671160799,3.188815258638475,41.37359280754985,114.39864406474908,False,11.0,False,34.0
dhaka_lcs,Dhaka,81432130021,"11. Cantonment, Balurghat",65.25443586991608,67.43067421958203,55.14721850399361,10.107217365922473,daily_sensor_means_gap_aware_ar1_gls,358,98.08219178082192,0.9403842711189594,10.999074388036046,12.182895319896739,67.03809257002075,3.188815258638475,4.008714813848911,126.50015692598325,False,2.0,False,32.0
dhaka_lcs,Dhaka,81432130025,21. Jagannath University,47.64050572672485,48.256588084415874,55.14721850399361,-7.50671277726876,daily_sensor_means_gap_aware_ar1_gls,365,100.0,0.8899526430073408,21.253064435733908,22.19483686193738,39.10217504984478,3.188815258638475,21.173531376690644,74.10748007675905,False,0.0,False,6.0
dhaka_lcs,Dhaka,81432130028,7. South Nilkhet,48.23271486564951,49.445914509526894,55.14721850399361,-6.914503638344094,daily_sensor_means_gap_aware_ar1_gls,356,97.53424657534246,0.8422591390732773,30.482001852443865,32.0932270886929,42.17320223856686,3.188815258638475,24.49388852398226,71.97154120731676,False,6.0,False,8.0
dhaka_lcs,Dhaka,81432130029,"13. Uttara, sector 10",54.211701048103464,57.43288704514194,55.14721850399361,-0.9355174558901425,daily_sensor_means_gap_aware_ar1_gls,341,93.42465753424658,0.9376387849120654,10.974787721309342,12.577176249278626,50.17018872803926,3.188815258638475,9.100590287102214,99.3228118091047,False,24.0,False,19.0
dhaka_lcs,Dhaka,81432130031,22. Uttar Khan,60.744959060830496,62.94368630661637,55.14721850399361,5.597740556836889,daily_sensor_means_gap_aware_ar1_gls,265,72.6027397260274,0.9078302069884561,12.802499435531232,18.209611441698602,51.140465290929136,3.188815258638475,22.529093974249797,98.96082414741119,False,17.0,False,27.0
