dataset_key,city,sample_size,estimator,nominal_coverage,days_evaluated,median_empirical_coverage,mean_empirical_coverage,median_qce_pct_points,mean_qce_pct_points,p75_qce_pct_points,median_absolute_error_ugm3
chicago_lcs_corrected_no_collocation,Chicago,5,arithmetic_mean_ci,0.68,272,0.67255,0.6646441176470588,0.7699999999999985,1.6640441176470622,1.6400000000000081,0.31135469123073634
chicago_lcs_corrected_no_collocation,Chicago,5,arithmetic_mean_ci,0.9,272,0.90225,0.8934455882352941,0.7199999999999984,1.4559558823529404,1.2324999999999975,0.31135469123073634
chicago_lcs_corrected_no_collocation,Chicago,5,arithmetic_mean_ci,0.95,272,0.9507,0.9444599264705883,0.5099999999999993,1.1011397058823535,0.9300000000000086,0.31135469123073634
chicago_lcs_corrected_no_collocation,Chicago,5,lognormal_delta_ci,0.68,272,0.67645,0.6656330882352941,1.040000000000002,2.22404411764706,2.082500000000004,0.30995947823680825
chicago_lcs_corrected_no_collocation,Chicago,5,lognormal_delta_ci,0.9,272,0.90365,0.8967808823529412,0.770000000000004,1.327058823529411,1.1900000000000022,0.30995947823680825
chicago_lcs_corrected_no_collocation,Chicago,5,lognormal_delta_ci,0.95,272,0.9524,0.9467371323529411,0.5149999999999988,0.9781250000000012,0.8975000000000039,0.30995947823680825
chicago_lcs_corrected_no_collocation,Chicago,10,arithmetic_mean_ci,0.68,272,0.6657,0.6564345588235294,1.430000000000009,2.3917647058823577,2.4900000000000033,0.23000068842076327
chicago_lcs_corrected_no_collocation,Chicago,10,arithmetic_mean_ci,0.9,272,0.89955,0.8874341911764706,0.6350000000000022,1.7843749999999998,1.1875000000000024,0.23000068842076327
chicago_lcs_corrected_no_collocation,Chicago,10,arithmetic_mean_ci,0.95,272,0.9503,0.9396080882352941,0.539999999999996,1.5070588235294118,0.9875000000000023,0.23000068842076327
chicago_lcs_corrected_no_collocation,Chicago,10,lognormal_delta_ci,0.68,272,0.6724,0.6580713235294118,1.7299999999999982,3.223970588235295,3.2275000000000027,0.2277138780240593
chicago_lcs_corrected_no_collocation,Chicago,10,lognormal_delta_ci,0.9,272,0.9033,0.8902757352941176,0.8399999999999963,1.8666176470588232,1.2499999999999956,0.2277138780240593
chicago_lcs_corrected_no_collocation,Chicago,10,lognormal_delta_ci,0.95,272,0.9522,0.942575,0.5600000000000049,1.3934558823529422,0.9600000000000053,0.2277138780240593
chicago_lcs_corrected_no_collocation,Chicago,15,arithmetic_mean_ci,0.68,272,0.66425,0.6540011029411764,1.5750000000000042,2.6306985294117693,2.6725000000000056,0.19242814736725222
chicago_lcs_corrected_no_collocation,Chicago,15,arithmetic_mean_ci,0.9,272,0.89825,0.884835294117647,0.5149999999999988,1.8852205882352944,1.31,0.19242814736725222
chicago_lcs_corrected_no_collocation,Chicago,15,arithmetic_mean_ci,0.95,272,0.94985,0.9373797794117646,0.47000000000000375,1.6483455882352942,1.0324999999999973,0.19242814736725222
chicago_lcs_corrected_no_collocation,Chicago,15,lognormal_delta_ci,0.68,272,0.67335,0.6559930147058823,2.079999999999993,3.8096691176470596,3.777500000000006,0.1891084046299878
chicago_lcs_corrected_no_collocation,Chicago,15,lognormal_delta_ci,0.9,272,0.90225,0.8863636029411764,0.8900000000000019,2.2117279411764703,1.539999999999997,0.1891084046299878
chicago_lcs_corrected_no_collocation,Chicago,15,lognormal_delta_ci,0.95,272,0.95235,0.9399371323529412,0.6450000000000067,1.6517279411764714,0.9525000000000033,0.1891084046299878
chicago_lcs_corrected_no_collocation,Chicago,20,arithmetic_mean_ci,0.68,272,0.6645,0.6535547794117647,1.550000000000007,2.685477941176475,2.760000000000007,0.1693846677559916
chicago_lcs_corrected_no_collocation,Chicago,20,arithmetic_mean_ci,0.9,272,0.8971,0.8833441176470588,0.6000000000000005,1.9870588235294127,1.31,0.1693846677559916
chicago_lcs_corrected_no_collocation,Chicago,20,arithmetic_mean_ci,0.95,272,0.94855,0.9357430147058823,0.4799999999999971,1.7578308823529403,1.0399999999999991,0.1693846677559916
chicago_lcs_corrected_no_collocation,Chicago,20,lognormal_delta_ci,0.68,272,0.6730499999999999,0.656025,2.4249999999999994,4.260073529411765,4.4399999999999995,0.16627682622612316
chicago_lcs_corrected_no_collocation,Chicago,20,lognormal_delta_ci,0.9,272,0.90085,0.8841540441176471,1.0599999999999943,2.519448529411765,1.7449999999999992,0.16627682622612316
chicago_lcs_corrected_no_collocation,Chicago,20,lognormal_delta_ci,0.95,272,0.9511499999999999,0.9378341911764706,0.6700000000000039,1.8481985294117653,1.100000000000001,0.16627682622612316
dhaka_lcs,Dhaka,5,arithmetic_mean_ci,0.68,365,0.6614,0.651205205479452,1.9900000000000029,3.2084109589041123,4.5000000000000036,3.0559722222222234
dhaka_lcs,Dhaka,5,arithmetic_mean_ci,0.9,365,0.8868,0.8745523287671232,2.3399999999999976,3.8545753424657536,5.259999999999998,3.0559722222222234
dhaka_lcs,Dhaka,5,arithmetic_mean_ci,0.95,365,0.9386,0.9275769863013699,2.080000000000004,3.367890410958903,4.84,3.0559722222222234
dhaka_lcs,Dhaka,5,lognormal_delta_ci,0.68,365,0.677,0.664987397260274,3.3599999999999963,4.3503561643835615,5.469999999999997,3.0299241198552274
dhaka_lcs,Dhaka,5,lognormal_delta_ci,0.9,365,0.903,0.8891846575342465,2.510000000000001,3.2653698630136985,4.080000000000005,3.0299241198552274
dhaka_lcs,Dhaka,5,lognormal_delta_ci,0.95,365,0.9501,0.9393115068493151,1.9199999999999995,2.6205205479452056,3.200000000000003,3.0299241198552274
dhaka_lcs,Dhaka,10,arithmetic_mean_ci,0.68,365,0.6673,0.6582665753424658,1.4799999999999924,2.6424931506849343,3.5900000000000043,2.0184374999999974
dhaka_lcs,Dhaka,10,arithmetic_mean_ci,0.9,365,0.8877,0.8761734246575342,1.3299999999999979,2.7394246575342476,3.410000000000002,2.0184374999999974
dhaka_lcs,Dhaka,10,arithmetic_mean_ci,0.95,365,0.9362,0.9262912328767123,1.4600000000000057,2.833616438356163,3.720000000000001,2.0184374999999974
dhaka_lcs,Dhaka,10,lognormal_delta_ci,0.68,365,0.674,0.6713953424657535,4.279999999999995,5.130602739726028,7.180000000000009,1.991434646093552
dhaka_lcs,Dhaka,10,lognormal_delta_ci,0.9,365,0.8991,0.8879575342465753,2.3399999999999976,3.1141095890410955,3.3599999999999963,1.991434646093552
dhaka_lcs,Dhaka,10,lognormal_delta_ci,0.95,365,0.949,0.9372158904109589,1.6300000000000092,2.5282739726027392,2.9899999999999927,1.991434646093552
dhaka_lcs,Dhaka,15,arithmetic_mean_ci,0.68,365,0.6741,0.6691339726027398,1.0700000000000043,2.743150684931509,2.440000000000009,1.4015334217753583
