dataset_key,date,n_sensors_available,reference_mean_ugm3,ape_median_pct,ape_p95_pct,absolute_error_median_ugm3,absolute_error_p95_ugm3
lucknow_lcs,2022-04-01,57,75.6004438281088,4.4821996311394585,12.908643663069505,3.3885628144032864,9.758991901469589
lucknow_lcs,2022-04-02,56,54.476840236139125,3.895269588133208,11.211081043566075,2.1220197902942424,6.107442708847571
lucknow_lcs,2022-04-03,55,63.77103300794505,4.423731200293933,12.531236673307376,2.821059083922208,7.991299075238563
lucknow_lcs,2022-04-04,57,33.56483279544635,4.144082481911585,11.89663650653197,1.390954355959007,3.9930861516994858
lucknow_lcs,2022-04-05,57,37.09149626417456,4.22294225219054,12.153134628566743,1.566352467709503,4.507779476734939
lucknow_lcs,2022-04-06,56,40.1245465594011,4.674599927055292,13.531290880790896,1.8756620241970303,5.4293691095509375
lucknow_lcs,2022-04-07,55,45.153408717363234,4.4114739375633185,12.561522080675957,1.9919308574879224,5.671955406209444
lucknow_lcs,2022-04-08,55,46.631317137517726,4.0102406103094985,11.807118583723414,1.870028016970949,5.505814911578857
lucknow_lcs,2022-04-09,55,73.68546263025513,4.021406114356212,11.468049127276066,2.9631916996047423,8.450285054098305
lucknow_lcs,2022-04-10,54,80.19551537513308,3.175403982582096,9.084287346208912,2.5465315890742133,7.285191055450237
lucknow_lcs,2022-04-11,53,73.9694319114028,3.828752634423768,11.162695769212478,2.83210657297613,8.256982646484664
lucknow_lcs,2022-04-12,55,65.14990610555085,2.860080774652875,8.361830629953063,1.8633399392292596,5.447724804119613
lucknow_lcs,2022-04-13,55,58.148784038175414,3.0311810967994033,8.530211702098539,1.7625949497838818,4.960214380652445
lucknow_lcs,2022-04-14,54,38.25032264211008,3.4127577887051768,9.782884225064432,1.3053908651734716,3.741984779791235
lucknow_lcs,2022-04-15,56,26.673055800877663,6.1357882066964615,16.78265352682678,1.636602212195818,4.47644654007847
lucknow_lcs,2022-04-16,56,25.78705431093749,4.975120772358546,14.11091300423515,1.282937095602831,3.6387888001712585
lucknow_lcs,2022-04-17,57,35.701221531873855,4.7754847812253605,13.83815852243003,1.7049064009661876,4.940391630024627
lucknow_lcs,2022-04-18,56,36.8340215353681,4.887292187879068,14.331122261122069,1.8001862569797389,5.278728659921635
lucknow_lcs,2022-04-19,55,60.3094755716396,3.93778309605109,11.432734390224471,2.3748563343770854,6.895022154242868
lucknow_lcs,2022-04-20,55,34.914662712307404,3.969363440124484,11.2632859773376,1.3858898569451057,3.932538309310039
lucknow_lcs,2022-04-21,54,26.205218578001148,3.0251823296965266,8.488096095636305,0.7927556418800421,2.224324134972275
lucknow_lcs,2022-04-22,55,22.888503899116543,4.319724097508201,12.503011909183872,0.9887202184892416,2.8617523683405564
lucknow_lcs,2022-04-23,54,20.94790237849316,5.385888553150962,15.184327509561417,1.128230676328501,3.1807981035336064
lucknow_lcs,2022-04-24,52,23.46830024506256,4.10794165476484,11.643804988268418,0.9640640814322036,2.732603114596403
lucknow_lcs,2022-04-25,54,23.306520294194343,3.5853402790078857,10.244869466292464,0.835618059742897,2.387722581275173
lucknow_lcs,2022-04-26,57,26.76074187121722,4.655252915976238,12.939754822571576,1.2457802162967138,3.462774386836761
lucknow_lcs,2022-04-27,60,31.651831952431714,5.146732672188506,14.32793209589696,1.629035176442004,4.535052989251834
lucknow_lcs,2022-04-28,62,54.27594684808876,5.397104224134493,15.426848509890652,2.929329420027191,8.373068097563422
lucknow_lcs,2022-04-29,60,64.94656744724679,4.20802608330235,11.687065205403108,2.732968498389699,7.59034768623084
lucknow_lcs,2022-04-30,61,63.077648829649014,3.672644761418344,10.208352322168246,2.316617965367964,6.439188629070607
lucknow_lcs,2022-05-01,62,32.527724772141895,4.502939095791526,15.086437545718953,1.4647036357362424,4.90727488279254
lucknow_lcs,2022-05-02,66,40.33364638116194,3.508206120642029,10.09822493329068,1.4149874510220355,4.072982335367788
lucknow_lcs,2022-05-03,66,31.0468401197299,4.572234182374321,12.247369994771384,1.419534236501395,3.802421381148444
lucknow_lcs,2022-05-04,66,35.139247176878065,3.0763878191008898,8.769481186952987,1.0810195198732302,3.081529670413231
lucknow_lcs,2022-05-05,65,23.15449208868509,3.90718033015071,11.165496879702246,0.9046877604354062,2.5853140916730366
lucknow_lcs,2022-05-06,64,41.79709090133956,3.715109046248613,10.520898496229318,1.552807505144422,4.397429508106634
lucknow_lcs,2022-05-07,65,42.25836239814353,3.3313729605322946,9.596551871461282,1.4077836584955,4.055345667567933
lucknow_lcs,2022-05-08,63,38.256213445706194,3.9244987737390806,11.292293285714791,1.5013646275557448,4.3200038222982
lucknow_lcs,2022-05-09,67,43.683200560427416,3.707016822210989,10.69032206130383,1.6193435932552092,4.66987482659497
lucknow_lcs,2022-05-10,65,38.91915491782264,3.5173079076822384,10.027110535771364,1.3689065135276763,3.902466683198173
lucknow_lcs,2022-05-11,62,30.178315934538787,4.344027169593669,12.347220423678673,1.3109542435221808,3.726183188591648
lucknow_lcs,2022-05-12,62,32.59209016999224,3.538294189188824,10.09702294281082,1.1532040326200177,3.2908308220057068
lucknow_lcs,2022-05-13,62,43.46880553532206,3.8287290184485903,10.733371171180446,1.6643027715038627,4.665668241784748
lucknow_lcs,2022-05-14,62,52.83711655012116,3.08560714896012,8.720920757802327,1.6303458455749291,4.607883065043724
lucknow_lcs,2022-05-15,60,42.00248042552342,3.2568910924187895,9.07377165374688,1.3679750435738178,3.811209162721727
lucknow_lcs,2022-05-16,60,52.04592670760477,3.4352391735655186,9.731212681198633,1.7879020625048376,5.064699819817781
lucknow_lcs,2022-05-17,59,37.41526004283223,3.3503902915155344,9.518061227014243,1.253557240020342,3.561207359123367
lucknow_lcs,2022-05-18,62,36.83485431139154,3.6439046440278977,10.213376522880578,1.3422269668737066,3.762082362476928
lucknow_lcs,2022-05-19,60,33.027962396857475,3.919831770682559,11.113957732457694,1.2946405632411082,3.6707137806787618
lucknow_lcs,2022-05-20,61,43.06472102722921,3.058366036626171,8.678971490911765,1.3170768016645873,3.737574860593907
lucknow_lcs,2022-05-21,58,29.77457508246267,3.7238023736951744,10.763467625922075,1.108746333678397,3.2047767497567308
lucknow_lcs,2022-05-22,57,14.747403318365754,5.29348249564017,14.543106609198956,0.7806512132191488,2.1447305866784756
lucknow_lcs,2022-05-23,60,19.82757512619451,5.960797721915462,15.73390789048233,1.181881646433279,3.1196524072716296
lucknow_lcs,2022-05-24,61,29.672045987815064,4.089857888270895,11.496081944386477,1.213544513444022,3.411122721335259
lucknow_lcs,2022-05-25,60,35.087107744308824,4.904529770054399,13.818076539642812,1.720857644770689,4.848363403655534
lucknow_lcs,2022-05-26,58,29.121860034982426,4.499974208041619,12.868299772114522,1.310476190476189,3.7474882485171537
lucknow_lcs,2022-05-27,57,32.5009066003606,4.193066719231586,11.917361650664589,1.3627846981082623,3.87325057930969
lucknow_lcs,2022-05-28,55,21.68497955391483,4.502848271659357,13.041615161312436,0.9764417270531388,2.828071581230858
lucknow_lcs,2022-05-29,57,43.91419794132895,3.96847534023043,11.053793572891731,1.742724116161618,4.854184789625573
lucknow_lcs,2022-05-30,58,41.23983440503774,3.314058373356196,9.700703442031228,1.3667121852583826,4.000554035617475
lucknow_lcs,2022-05-31,57,46.85253916215242,3.1651405336344753,9.004068849867533,1.4829487080582524,4.218634884071353
lucknow_lcs,2022-06-01,58,33.40373963232286,3.88135373445298,10.621617306707762,1.2965172956661135,3.5480173898744045
lucknow_lcs,2022-06-02,57,38.36720249753547,3.429529757648077,9.730799119978371,1.3158146268300754,3.733435402990503
lucknow_lcs,2022-06-03,56,45.61206661758632,4.190696187543098,11.87247837653659,1.9114631368028083,5.415282746264401
lucknow_lcs,2022-06-04,56,38.48207687313247,5.07173353570011,14.292868731315505,1.951708398008556,5.500192732560745
lucknow_lcs,2022-06-05,55,44.64315489511298,3.7908808736259543,10.851502608247351,1.6923688203020468,4.844453117847091
lucknow_lcs,2022-06-06,56,48.02130179172104,3.6417796828215105,10.289402887369706,1.748830012077299,4.941105213109865
lucknow_lcs,2022-06-07,57,44.77655858792872,4.090895600909551,11.8320004879144,1.831762265512264,5.297962630595003
lucknow_lcs,2022-06-08,55,42.76544654346531,4.383146634601234,12.499687610345433,1.8744722309420896,5.345547223102433
lucknow_lcs,2022-06-09,57,28.36213821719087,6.125412132586885,17.30084975154796,1.7372978554168714,4.906890919282556
lucknow_lcs,2022-06-10,57,36.21112755186704,3.203894924840259,9.203139097234423,1.160166477861701,3.332560437275302
lucknow_lcs,2022-06-11,56,38.260674684163874,4.698679994607698,13.18794988657375,1.7977466671867397,5.045798603612541
lucknow_lcs,2022-06-12,56,30.98649889135623,4.510958649330201,12.737078058082544,1.3977881518642403,3.946774551258925
lucknow_lcs,2022-06-13,56,37.41506406422103,5.272390901421472,14.717022899858616,1.9726684334830047,5.506383546328181
lucknow_lcs,2022-06-14,55,16.637673990903654,3.774839940819548,10.907344920059886,0.6280455630319768,1.814728488862955
lucknow_lcs,2022-06-15,56,15.727934007209257,4.808133199924162,13.689310848151704,0.756220016662791,2.153045776239037
