city,lowest_missing_hour,lowest_hour_missing_pct,highest_missing_hour,highest_hour_missing_pct,hourly_range_pct_points
Chicago,18,2.353843509078166,21,2.7853171361564204,0.4314736270782542
Dhaka,22,12.156555772994128,23,15.373776908023483,3.217221135029355
Lucknow,21,27.628786417132932,17,29.562029712521703,1.9332432953887704
