dataset_key,city,sensor_id,station_name,latitude,longitude,record_uptime_pct,daily_availability_pct,longest_missing_gap_days,period_mean_pm25_ugm3,period_median_daily_pm25_ugm3,period_sd_daily_pm25_ugm3
chicago_lcs_corrected_no_collocation,Chicago,DJJWX4142,South Lawndale 4,41.83003975,-87.72139660669,21.245421245421245,21.245421245421245,181,8.616724137931035,7.66,4.033057865581207
chicago_lcs_corrected_no_collocation,Chicago,DMAEX1156,South Deering 9,41.7003247,-87.58631302026,36.996336996337,36.996336996337,172,9.957029702970297,9.62,4.753541110488991
chicago_lcs_corrected_no_collocation,Chicago,DEYGE9157,South Deering 10,41.7014031,-87.5703907,53.47985347985348,53.47985347985348,109,8.781027397260274,7.960000000000001,4.258676292553997
chicago_lcs_corrected_no_collocation,Chicago,DSSQU9498,Near North Side 4,41.89454935,-87.63665349659,61.172161172161175,61.172161172161175,104,10.497844311377246,8.69,4.990743373626635
chicago_lcs_corrected_no_collocation,Chicago,DDVZB7943,Hyde Park 2,41.79954752686,-87.58353859231,70.32967032967034,70.32967032967034,80,8.411302083333334,7.51,4.048489715477948
dhaka_lcs,Dhaka,81432151044,"75. Uttara, Rd 12",23.87293,90.389886,72.24885844748859,73.6986301369863,46,46.873531890240685,27.489583333333332,43.81790193794772
dhaka_lcs,Dhaka,81432151062,74. CARS,23.729204,90.398569,86.67808219178083,87.94520547945206,38,51.681197594275424,33.572916666666664,47.36515485683964
dhaka_lcs,Dhaka,81432152006,73. Science Lab,23.74006,90.38504,87.55707762557078,88.76712328767124,38,60.378759235115176,38.85416666666667,55.19407898568017
dhaka_lcs,Dhaka,81432151066,41. Banani ,23.7870494,90.4036932,80.06849315068493,81.64383561643835,35,60.751853435985176,47.270833333333336,50.717202680950635
dhaka_lcs,Dhaka,81432151048,33. DU Club,23.732466,90.389458,78.17351598173516,80.54794520547945,34,48.220465829439256,34.88066123188406,38.20598044817689
lucknow_lcs,Lucknow,81432147056,Rajajipuram-II,26.84018,80.88633,4.52054794520548,6.301369863013699,326,45.11174242424242,39.035714285714285,21.745771013298146
lucknow_lcs,Lucknow,81432144008,Chak Ganjaria,26.79835,81.02416,14.246575342465754,16.986301369863014,173,34.47309027777778,31.524305555555557,20.021650392133242
lucknow_lcs,Lucknow,81432147060,Shanti Nagar,26.75587,80.87343,52.853881278538815,55.61643835616439,162,24.81814254859611,21.390151515151516,14.81192516313867
lucknow_lcs,Lucknow,81432144016,Lohiya college,26.85114,81.03126,8.938356164383562,11.506849315068493,150,42.5460834397616,41.05034722222222,18.65952567191666
lucknow_lcs,Lucknow,81432131007,Charbagh,26.83767,80.9345,61.198630136986296,61.917808219178085,139,30.913309084126094,23.008680555555557,26.17345130838496
