filter_name,description,sensors_retained,sensors_removed,removed_sensor_ids,record_missing_fraction_pct,daily_missing_fraction_mean_pct,daily_missing_fraction_median_pct,daily_missing_fraction_p90_pct,daily_missing_fraction_max_pct,daily_valid_sensor_min,daily_valid_sensor_median,days_missing_ge_25pct,days_missing_ge_30pct,days_missing_ge_40pct,days_missing_ge_50pct,longest_daily_missing_ge_25pct_episode_days,median_sensor_daily_uptime_pct,min_sensor_daily_uptime_pct,sensors_with_gap_gt_30d,sensors_with_gap_gt_90d,baseline_minus_filtered_missing_mean_pct_points,baseline_minus_filtered_missing_mean_ci_low,baseline_minus_filtered_missing_mean_ci_high,reference_mean_bias_filtered_minus_baseline_ugm3,reference_mean_mae_vs_baseline_ugm3,reference_mean_rmse_vs_baseline_ugm3,reference_mean_max_abs_diff_ugm3,reference_mean_p95_abs_diff_ugm3,reference_mean_pearson_r
baseline_all_sensors,All retained Lucknow sensors.,71,0,,28.341211653482535,28.34121165348254,27.406103286384987,38.54460093896714,49.823943661971825,39,56.0,255,112,32,0,66,73.21917808219179,4.52054794520548,37,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
remove_5_most_missing,Remove the five sensors with lowest hourly-record uptime.,66,5,81432147056;81432144016;81432144008;81432147034;81432147039,24.19503251695032,24.195032516950324,23.169191919191924,34.00252525252525,46.90656565656566,38,55.0,134,69,17,0,60,75.59360730593608,30.46803652968037,32,10,4.146179136532214,4.04573798470914,4.245162409353033,-0.4876413323838335,0.5486514412114377,1.0049956249831244,6.946784661220931,2.393851226859761,0.9998997987136329
record_presence_ge_50pct,Keep sensors with at least 50% hourly-record presence.,64,7,81432147034;81432147039;81432147053;81432147056;81432144008;81432144016;81432144024,22.806435502283094,22.806435502283104,21.875,32.48697916666667,45.247395833333336,38,54.0,106,58,14,0,60,76.86643835616438,51.27853881278539,30,9,5.534776151199434,5.425738793491543,5.639560886652679,-0.3456109552630197,0.5084421720688664,0.8686619892498897,5.614429337768627,1.9401895288730975,0.9999089696005475
daily_presence_ge_50pct,Keep sensors with valid daily means on at least 50% of days.,66,5,81432147039;81432147056;81432144008;81432144016;81432144024,24.242424242424242,24.24242424242424,23.421717171717184,33.8888888888889,46.02272727272726,39,55.0,140,66,15,0,60,75.59360730593608,27.34018264840183,32,9,4.0987874110582965,4.007285010046441,4.190201442848317,-0.14142861962644301,0.22104056567983071,0.5217953056828127,4.334693943240168,1.045145723568641,0.9999598881498352
