city,threshold_missing_pct,start_date,end_date,duration_days,mean_missing_pct,max_missing_pct,mean_pm25_ugm3,mean_spatial_cv
Chicago,10.0,2026-04-14,2026-04-14,1,100.0,100.0,,
Chicago,25.0,2026-04-14,2026-04-14,1,100.0,100.0,,
Chicago,50.0,2026-04-14,2026-04-14,1,100.0,100.0,,
Dhaka,10.0,2022-04-01,2022-05-09,39,37.66483516483517,61.78571428571429,28.406791967558622,0.2660063322426424
Dhaka,10.0,2023-03-02,2023-03-31,30,20.670634920634924,26.190476190476197,60.45974734810354,0.3428752525263294
Dhaka,10.0,2022-10-03,2022-10-26,24,18.12003968253968,34.999999999999986,31.4254609869142,0.36412086801442406
Dhaka,10.0,2022-06-28,2022-07-16,19,15.219298245614036,23.333333333333318,11.68642758262365,0.3907051204995344
Dhaka,10.0,2022-08-10,2022-08-26,17,14.474789915966394,20.35714285714286,19.615620944023753,0.35611140183096757
Dhaka,10.0,2023-01-20,2023-02-03,15,13.928571428571429,17.619047619047624,122.58127489200987,0.31741488790498523
Dhaka,10.0,2022-08-28,2022-09-09,13,15.787545787545792,21.666666666666668,21.995182086838305,0.31297798082747963
Dhaka,10.0,2023-02-14,2023-02-26,13,14.86263736263736,18.333333333333336,80.29303608648024,0.32258832131517906
Dhaka,10.0,2022-11-05,2022-11-10,6,11.468253968253968,12.976190476190474,59.72334256918359,0.3856905903907449
Dhaka,10.0,2022-05-13,2022-05-16,4,13.720238095238102,15.000000000000036,15.502820979367042,0.25188131982283096
Dhaka,10.0,2022-07-18,2022-07-21,4,13.303571428571438,14.404761904761909,14.436831312288165,0.3374636496944029
Dhaka,10.0,2023-01-09,2023-01-12,4,12.142857142857144,13.214285714285722,139.66380544868287,0.3014651645601193
Dhaka,10.0,2022-08-06,2022-08-08,3,14.047619047619051,17.14285714285714,13.402945429775253,0.36628062625282265
Dhaka,10.0,2023-01-03,2023-01-05,3,11.746031746031745,12.619047619047619,122.5968922554582,0.2932964682336145
Dhaka,10.0,2022-11-02,2022-11-03,2,11.607142857142861,13.095238095238093,48.104266822974424,0.3183635375158508
Dhaka,10.0,2022-07-23,2022-07-24,2,11.904761904761918,12.380952380952392,15.606595604474482,0.3458580139565338
Dhaka,10.0,2022-09-11,2022-09-12,2,10.773809523809529,11.309523809523824,13.960414866479589,0.39163262834394286
Dhaka,10.0,2022-12-19,2022-12-20,2,11.190476190476184,11.309523809523803,132.86980703307694,0.30747023307601573
Dhaka,10.0,2022-05-19,2022-05-19,1,21.7857142857143,21.7857142857143,126.8025905944316,0.7818189131943838
Dhaka,10.0,2022-12-15,2022-12-15,1,12.5,12.5,172.2949889336396,0.25424117861728845
Dhaka,10.0,2022-08-04,2022-08-04,1,12.142857142857144,12.142857142857144,23.32750879385955,0.30187935225752544
Dhaka,10.0,2022-09-14,2022-09-14,1,11.190476190476184,11.190476190476184,20.018409408004242,0.34503874895753167
Dhaka,10.0,2022-10-01,2022-10-01,1,10.59523809523808,10.59523809523808,54.90489166186896,0.21706017854323617
Dhaka,10.0,2023-02-28,2023-02-28,1,10.238095238095235,10.238095238095235,72.93846112277669,0.3103865247726051
Dhaka,10.0,2022-06-23,2022-06-23,1,10.000000000000009,10.000000000000009,13.90667177306803,0.5439122522695857
Dhaka,25.0,2022-04-01,2022-04-21,21,57.68140589569162,61.78571428571429,28.316687726282257,0.26865308564616236
Dhaka,25.0,2023-03-10,2023-03-12,3,25.873015873015877,26.190476190476197,70.22419636284336,0.30741351175768844
Dhaka,25.0,2022-10-04,2022-10-04,1,34.999999999999986,34.999999999999986,22.31734648317625,0.384086948536516
Dhaka,25.0,2022-10-18,2022-10-18,1,25.238095238095237,25.238095238095237,60.180979972192965,0.23425405364616692
Dhaka,50.0,2022-04-01,2022-04-20,20,58.52976190476191,61.78571428571429,27.938475811577767,0.272883019832158
Lucknow,10.0,2022-04-01,2023-03-31,365,28.34121165348254,49.823943661971825,62.046879412326305,0.26229362586395805
Lucknow,25.0,2023-01-25,2023-03-31,66,38.269135012092754,49.823943661971825,56.179216459700115,0.28968255482242145
Lucknow,25.0,2022-10-14,2022-12-01,49,33.35968190092938,41.37323943661971,108.05718406241344,0.26479240090596995
Lucknow,25.0,2022-04-01,2022-04-26,26,27.98167208378476,32.74647887323944,44.21576999914664,0.2133558709463842
Lucknow,25.0,2022-08-14,2022-08-30,17,29.04929577464788,32.33568075117369,15.241711353485682,0.28947538914163223
Lucknow,25.0,2022-05-31,2022-06-16,17,27.36467826567246,29.166666666666686,35.37754886301462,0.23328389914349756
Lucknow,25.0,2023-01-03,2023-01-13,11,27.694195475885618,29.401408450704224,183.1621667818004,0.31223817605473553
Lucknow,25.0,2022-06-30,2022-07-09,10,27.458920187793424,29.988262910798124,22.565478759113315,0.22951531373531467
Lucknow,25.0,2022-07-12,2022-07-21,10,27.083333333333336,29.753521126760585,14.350242582417689,0.2828054383837692
Lucknow,25.0,2022-09-01,2022-09-08,8,28.4037558685446,31.396713615023465,22.071212951830315,0.21942513340311565
Lucknow,25.0,2023-01-15,2023-01-20,6,26.26173708920188,28.227699530516446,162.17962088958367,0.7661956971744659
Lucknow,25.0,2022-09-10,2022-09-14,5,27.79342723004695,30.340375586854464,16.34492173836124,0.2160801896204191
Lucknow,25.0,2022-07-23,2022-07-26,4,27.72887323943662,30.1056338028169,19.16426337399775,0.3367108016908093
