dataset_key,city,display_name,source_frequency,timestamp_start,timestamp_end,retained_sensor_count,missing_pm_fraction_pct,nonpositive_value_count,pm_gt_250_count,daily_mean_pm25_median_ugm3,daily_mean_pm25_p90_ugm3,period_sensor_mean_mean_ugm3,period_sensor_mean_median_ugm3,period_sensor_mean_cv,median_sensor_record_uptime_pct,daily_days_total,daily_days_with_zero_valid_sensors,daily_valid_sensor_min,daily_valid_sensor_median,daily_missing_fraction_median_pct,max_longest_missing_gap_days,convex_hull_area_km2,sensor_density_per_100_km2_hull,median_nearest_neighbor_km,mean_pairwise_distance_km,strongest_missingness_association_variable,strongest_missingness_spearman_rho,strongest_missingness_evidence,mar_screen_conclusion
dhaka_lcs,Dhaka,Dhaka LCS,hourly,2022-04-01 00:00:00,2023-03-31 23:00:00,35,14.20352250489237,0,3502,35.341113828443305,125.730261584089,55.1472185039936,54.32245672233662,0.2116685378507993,87.63698630136987,365,0,15,33.0,11.309523809523814,46,342.3484853022417,10.223500760957162,1.5747704442979846,9.141209432266738,daily_spatial_sd,-0.13317910298354724,weak evidence,weak evidence of non-random missingness with observed daily conditions
lucknow_lcs,Lucknow,Lucknow LCS,hourly,2022-04-01 00:00:00,2023-03-31 23:00:00,71,28.34121165348254,0,7911,40.25105628429394,142.1607181213315,61.80224263159597,59.48726664508471,0.2770871325795733,73.21917808219179,365,0,39,56.0,27.406103286384987,326,1504.542980569215,4.719040992311068,1.9272570308506614,15.720550753084817,daily_spatial_cv,0.2982067778103084,weak evidence,weak evidence of non-random missingness with observed daily conditions
chicago_lcs_corrected_no_collocation,Chicago,Chicago corrected LCS (collocation excluded),official_daily,2025-09-01 00:00:00,2026-05-31 00:00:00,277,2.782295923090147,0,0,8.93651429738562,17.66175681725682,10.253490712654873,10.243088235294117,0.10461563807761466,99.63369963369964,273,1,0,270.0,2.527075812274371,181,695.8334436235659,39.80837692386805,1.369412058614037,15.618534559389339,daily_median_pm25,-0.06866551261099897,little evidence,no strong evidence against concentration/variability-independent missingness
