dataset_key,city,date,daily_reference_mean_ugm3,daily_reference_median_ugm3,daily_spatial_sd_ugm3,daily_spatial_cv,daily_valid_sensor_count,daily_missing_fraction
dhaka_lcs,Dhaka,2022-04-01,31.78764180037957,31.055706521739133,4.973397407943584,0.15645694761428316,16,0.5738095238095238
dhaka_lcs,Dhaka,2022-04-02,46.539853050595234,41.65625,21.056077622791786,0.45243111532606106,16,0.5833333333333334
dhaka_lcs,Dhaka,2022-04-03,35.749550189393936,35.265625,6.143125501458297,0.17183784044591474,16,0.5964285714285715
dhaka_lcs,Dhaka,2022-04-04,25.32180826071048,25.68402777777778,3.160569873679956,0.1248161206000411,16,0.594047619047619
dhaka_lcs,Dhaka,2022-04-05,31.129267310789047,29.427083333333332,5.532742766866851,0.17773443594508456,15,0.5976190476190476
dhaka_lcs,Dhaka,2022-04-06,37.4128174864588,33.895833333333336,11.350697257325512,0.3033906030048067,15,0.6107142857142858
dhaka_lcs,Dhaka,2022-04-07,37.293493357487925,34.302083333333336,8.899043049369336,0.23862186800428964,15,0.5833333333333333
dhaka_lcs,Dhaka,2022-04-08,33.34919704861112,31.171875,8.334370182138986,0.24991216939917554,16,0.5833333333333333
dhaka_lcs,Dhaka,2022-04-09,20.759639190821257,18.60625,7.6773191234955425,0.3698194873680666,16,0.5607142857142857
dhaka_lcs,Dhaka,2022-04-10,23.78986450785024,22.83159722222222,6.303970275076599,0.2649855476476715,16,0.5535714285714286
dhaka_lcs,Dhaka,2022-04-11,27.06016945954106,25.057291666666664,5.90638218425051,0.21826848472184998,16,0.5535714285714286
dhaka_lcs,Dhaka,2022-04-12,30.692274305555554,29.583333333333336,7.437263893246326,0.24231713229215213,16,0.5714285714285714
dhaka_lcs,Dhaka,2022-04-13,20.965395637342148,20.78125,4.769446820520879,0.22749138165682226,15,0.5880952380952381
dhaka_lcs,Dhaka,2022-04-14,21.23461157904093,18.743055555555554,7.15382018162097,0.3368943272163246,15,0.5904761904761904
dhaka_lcs,Dhaka,2022-04-15,20.782082978118787,19.510416666666668,5.394355957817561,0.25956762676278483,15,0.6035714285714285
dhaka_lcs,Dhaka,2022-04-16,22.760753105590062,20.854166666666668,7.234651037750303,0.31785639975038726,15,0.588095238095238
dhaka_lcs,Dhaka,2022-04-17,19.546391908212563,17.020833333333332,8.046575017449204,0.4116654907583417,15,0.5821428571428571
dhaka_lcs,Dhaka,2022-04-18,21.140343915343916,18.28125,10.806640742045616,0.5111856640232814,15,0.5904761904761904
dhaka_lcs,Dhaka,2022-04-19,24.932085346215782,22.864583333333332,6.480950712752083,0.25994418929485047,15,0.5833333333333333
dhaka_lcs,Dhaka,2022-04-20,26.522275793497023,25.806818181818183,4.308903472311266,0.16246356481097154,15,0.6178571428571429
dhaka_lcs,Dhaka,2022-04-21,35.88092602037202,34.575,6.604042379239607,0.18405440192625033,31,0.40714285714285714
dhaka_lcs,Dhaka,2022-04-22,27.219484356353217,26.072916666666668,8.230219520501542,0.3023650048896151,31,0.14166666666666672
dhaka_lcs,Dhaka,2022-04-23,35.07801432097978,32.677083333333336,6.931250888600858,0.19759530357610214,31,0.12976190476190474
dhaka_lcs,Dhaka,2022-04-24,24.096548439969723,23.4375,4.368193331216757,0.1812787977539179,31,0.13214285714285712
dhaka_lcs,Dhaka,2022-04-25,26.447725944579027,25.645833333333332,6.24590705958161,0.2361604575255299,31,0.13214285714285723
dhaka_lcs,Dhaka,2022-04-26,29.019742480910082,28.416666666666668,6.19911955384174,0.21361731786281968,31,0.1261904761904762
dhaka_lcs,Dhaka,2022-04-27,32.15359591709522,30.958333333333332,7.984444178942555,0.24832196683474014,31,0.1261904761904762
dhaka_lcs,Dhaka,2022-04-28,35.50072021751061,32.1875,11.816868632165157,0.33286278587487717,31,0.13809523809523805
dhaka_lcs,Dhaka,2022-04-29,32.684864041668355,30.608695652173914,6.407577483460536,0.19604112396771256,31,0.14880952380952384
dhaka_lcs,Dhaka,2022-04-30,24.804691500256016,23.104166666666668,4.878328865561999,0.1966696044380011,31,0.13928571428571423
dhaka_lcs,Dhaka,2022-05-01,31.306702411563037,28.645833333333332,6.356787760442549,0.20304878095671577,31,0.13571428571428568
dhaka_lcs,Dhaka,2022-05-02,22.373280933458,19.802083333333332,7.188886004576012,0.3213156812341024,31,0.1511904761904762
dhaka_lcs,Dhaka,2022-05-03,23.377847891355955,20.229166666666668,10.49301638585575,0.4488444117961594,31,0.1607142857142858
dhaka_lcs,Dhaka,2022-05-04,20.13071723546829,19.083333333333332,5.599847425440714,0.2781742627418336,31,0.125
dhaka_lcs,Dhaka,2022-05-05,22.66432744343859,19.84375,7.710490329885561,0.34020380040519477,31,0.13571428571428568
dhaka_lcs,Dhaka,2022-05-06,24.532021953489345,22.098011363636363,7.1330416463058475,0.2907645223793414,30,0.1869047619047619
dhaka_lcs,Dhaka,2022-05-07,40.64098839717046,37.515625,8.651811306443586,0.21288388023176003,30,0.16785714285714282
dhaka_lcs,Dhaka,2022-05-08,43.93470490551292,40.564538043478265,12.783135900236276,0.290957590991632,30,0.17142857142857137
dhaka_lcs,Dhaka,2022-05-09,17.248466092080225,16.260416666666668,4.1642431021484665,0.2414268654335885,33,0.12738095238095237
dhaka_lcs,Dhaka,2022-05-10,16.591056585677755,13.0,10.367553516660445,0.624888081305819,34,0.06785714285714284
dhaka_lcs,Dhaka,2022-05-11,19.82071683910718,19.395833333333336,4.639788042662751,0.2340878021882759,34,0.042857142857142816
dhaka_lcs,Dhaka,2022-05-12,20.957231257127358,19.166666666666664,7.42950478700599,0.3545079355117239,34,0.0892857142857143
dhaka_lcs,Dhaka,2022-05-13,18.36820174672997,16.920454545454547,3.9459896508569177,0.2148272163637036,31,0.12976190476190474
dhaka_lcs,Dhaka,2022-05-14,15.893994954807543,15.431159420289855,3.31082779534791,0.20830683567987832,31,0.13095238095238093
dhaka_lcs,Dhaka,2022-05-15,13.149045902574128,11.722222222222221,4.136523614544678,0.314587358291516,31,0.15000000000000036
dhaka_lcs,Dhaka,2022-05-16,14.60004131335653,13.756944444444445,3.939147633264329,0.2698038689562259,33,0.13809523809523805
dhaka_lcs,Dhaka,2022-05-17,13.633304372790464,12.805555555555557,3.305944626050969,0.24249034098065167,34,0.09523809523809534
dhaka_lcs,Dhaka,2022-05-18,9.818348930481283,9.359375,2.7640891446731257,0.28152280635412635,34,0.04047619047619044
dhaka_lcs,Dhaka,2022-05-19,126.8025905944316,155.4296875,99.13666356877091,0.7818189131943838,34,0.21785714285714297
dhaka_lcs,Dhaka,2022-05-20,57.32173322760477,68.38020833333334,24.902238572227304,0.4344292674010594,34,0.036904761904761996
dhaka_lcs,Dhaka,2022-05-21,21.92906220706333,20.06423611111111,6.50756516530474,0.2967552877481765,34,0.05714285714285716
dhaka_lcs,Dhaka,2022-05-22,22.80946735578289,21.322916666666664,6.5015259738266495,0.2850362909582944,34,0.042857142857142816
dhaka_lcs,Dhaka,2022-05-23,22.66494633838383,20.25,7.852293655814277,0.34645101464529654,34,0.0535714285714286
dhaka_lcs,Dhaka,2022-05-24,31.46222643097643,26.59375,11.42121895063276,0.3630136912176022,33,0.0702380952380951
