filter_name,x_variable,baseline_spearman_rho,filtered_spearman_rho,spearman_delta_filtered_minus_baseline,abs_spearman_reduction,abs_spearman_reduction_pct,baseline_pearson_r,filtered_pearson_r,n_days
remove_5_most_missing,daily_mean_pm25,0.06175669156921032,0.08867087950062108,0.02691418793141076,-0.02691418793141076,-43.58100676628411,-0.04885151935448712,-0.042946962106228975,365
remove_5_most_missing,daily_median_pm25,0.062009762928240036,0.08975041094769931,0.027740648019459274,-0.027740648019459274,-44.73593626145897,-0.04650146770976184,-0.03969363369086784,365
remove_5_most_missing,daily_spatial_sd,0.15388194622198664,0.17402345528581473,0.020141509063828084,-0.020141509063828084,-13.088935744789968,0.025480784134446367,0.024000655888738672,365
remove_5_most_missing,daily_spatial_cv,0.2982067778103084,0.24590662750191997,-0.05230015030838844,0.05230015030838844,17.53821649944421,0.1888162363583865,0.19286358902567383,365
remove_5_most_missing,calendar_time,0.4226693944762842,0.39928301047844894,-0.02338638399783527,0.02338638399783527,5.533020441854459,0.49072398850304794,0.47852489435819623,365
record_presence_ge_50pct,daily_mean_pm25,0.06175669156921032,0.06731473973048738,0.005558048161277057,-0.005558048161277057,-8.999912430620071,-0.04885151935448712,-0.04211966683835515,365
record_presence_ge_50pct,daily_median_pm25,0.062009762928240036,0.06937311862324107,0.007363355695001031,-0.007363355695001031,-11.874510314645413,-0.04650146770976184,-0.03746110820591381,365
record_presence_ge_50pct,daily_spatial_sd,0.15388194622198664,0.15087823508080783,-0.003003711141178811,0.003003711141178811,1.9519581178455623,0.025480784134446367,0.010398623386645168,365
record_presence_ge_50pct,daily_spatial_cv,0.2982067778103084,0.22038782217637748,-0.07781895563393093,0.07781895563393093,26.095636123814785,0.1888162363583865,0.17799169574102847,365
record_presence_ge_50pct,calendar_time,0.4226693944762842,0.4185860681748706,-0.0040833263014136145,0.0040833263014136145,0.9660804294744668,0.49072398850304794,0.4933047841072377,365
daily_presence_ge_50pct,daily_mean_pm25,0.06175669156921032,0.05331550276606454,-0.008441188803145781,0.008441188803145781,13.668460192181437,-0.04885151935448712,-0.07493725288653465,365
daily_presence_ge_50pct,daily_median_pm25,0.062009762928240036,0.05418589379617249,-0.007823869132067549,0.007823869132067549,12.617156980783198,-0.04650146770976184,-0.07225089063392454,365
daily_presence_ge_50pct,daily_spatial_sd,0.15388194622198664,0.13553431766342702,-0.01834762855855962,0.01834762855855962,11.923184628878909,0.025480784134446367,0.004388906699968513,365
daily_presence_ge_50pct,daily_spatial_cv,0.2982067778103084,0.2604011421167568,-0.03780563569355161,0.03780563569355161,12.677658090521357,0.1888162363583865,0.1804748215895818,365
daily_presence_ge_50pct,calendar_time,0.4226693944762842,0.3841227910491978,-0.038546603427086434,0.038546603427086434,9.119799997548501,0.49072398850304794,0.44824031046748564,365
