filter_name,sensor_id,station_name,latitude,longitude,record_uptime_pct,daily_presence_pct,longest_missing_gap_days,period_mean_pm25_ugm3
remove_5_most_missing,81432147056,Rajajipuram-II,26.84018,80.88633,4.52054794520548,6.301369863013699,326,46.912953797645
remove_5_most_missing,81432144016,Lohiya college,26.85114,81.03126,8.938356164383562,11.506849315068493,150,44.45232582900479
remove_5_most_missing,81432144008,Chak Ganjaria,26.79835,81.02416,14.246575342465754,16.986301369863014,173,33.34618976161753
remove_5_most_missing,81432147034,Talkatora_BPS,26.83298,80.90047,27.34018264840183,68.76712328767123,42,81.57651200028626
remove_5_most_missing,81432147039,Nagram,26.61845,81.14324,29.600456621004568,47.12328767123288,47,87.79294966076321
record_presence_ge_50pct,81432147034,Talkatora_BPS,26.83298,80.90047,27.34018264840183,68.76712328767123,42,81.57651200028626
record_presence_ge_50pct,81432147039,Nagram,26.61845,81.14324,29.600456621004568,47.12328767123288,47,87.79294966076321
record_presence_ge_50pct,81432147053,Ambalika,26.64055,80.9382,32.27168949771689,66.84931506849315,37,51.376917218432
record_presence_ge_50pct,81432147056,Rajajipuram-II,26.84018,80.88633,4.52054794520548,6.301369863013699,326,46.912953797645
record_presence_ge_50pct,81432144008,Chak Ganjaria,26.79835,81.02416,14.246575342465754,16.986301369863014,173,33.34618976161753
record_presence_ge_50pct,81432144016,Lohiya college,26.85114,81.03126,8.938356164383562,11.506849315068493,150,44.45232582900479
record_presence_ge_50pct,81432144024,Umarbhari,26.95505,80.90484,30.468036529680365,35.61643835616438,94,43.779917742499045
daily_presence_ge_50pct,81432147039,Nagram,26.61845,81.14324,29.600456621004568,47.12328767123288,47,87.79294966076321
daily_presence_ge_50pct,81432147056,Rajajipuram-II,26.84018,80.88633,4.52054794520548,6.301369863013699,326,46.912953797645
daily_presence_ge_50pct,81432144008,Chak Ganjaria,26.79835,81.02416,14.246575342465754,16.986301369863014,173,33.34618976161753
daily_presence_ge_50pct,81432144016,Lohiya college,26.85114,81.03126,8.938356164383562,11.506849315068493,150,44.45232582900479
daily_presence_ge_50pct,81432144024,Umarbhari,26.95505,80.90484,30.468036529680365,35.61643835616438,94,43.779917742499045
