city,month,n_days,mean_missing_pct,median_missing_pct,mean_pm25_ugm3,median_pm25_ugm3,mean_spatial_cv,zero_valid_sensor_days
Chicago,2025-09,30,2.7677496991576365,2.88808664259927,10.93185048379687,11.3325,0.12594821140983262,0
Chicago,2025-10,31,2.3873296844066574,2.16606498194945,7.447020150974539,6.22,0.1429241975564667,0
Chicago,2025-11,30,1.8892900120336904,1.8050541516245502,9.85655974031385,8.705,0.15462646662184926,0
Chicago,2025-12,31,2.2708745778502335,2.16606498194945,13.743263556233625,13.255,0.1501760125638856,0
Chicago,2026-01,31,2.0961919180156032,2.16606498194945,9.407384988354186,8.13,0.16665710139623532,0
Chicago,2026-02,28,2.7978339350180463,2.88808664259927,13.927240984528085,14.3125,0.15543335039793632,0
Chicago,2026-03,31,2.690112961453353,2.88808664259927,10.89012312719367,8.38,0.18533517661726567,0
Chicago,2026-04,30,5.679903730445244,2.52707581227437,8.466876443922636,8.02,0.1436725776005782,1
Chicago,2026-05,31,2.5270758122743673,2.52707581227437,7.820807775689923,6.805,0.14126715273920157,0
Dhaka,2022-04,30,44.42460317460318,57.797619047619044,28.721860982374984,25.939867424242426,0.2582209053764242,0
Dhaka,2022-05,31,9.658218125960056,8.92857142857143,29.22421613604434,20.25,0.3134651815992244,0
Dhaka,2022-06,30,6.6428571428571335,6.8452380952380905,17.78735503244282,16.901041666666664,0.3465252509010171,0
Dhaka,2022-07,31,12.753456221198158,12.73809523809524,14.062697814479284,13.138392857142858,0.36916645765578165,0
Dhaka,2022-08,31,12.983870967741936,12.97619047619047,20.18990427057569,15.50173611111111,0.34464970350903856,0
Dhaka,2022-09,30,9.742063492063485,8.392857142857126,30.029266438899047,23.31280193236715,0.29376065762281317,0
Dhaka,2022-10,31,16.002304147465434,14.76190476190476,37.32684058371986,30.838541666666668,0.3460912102636629,0
Dhaka,2022-11,30,7.849206349206347,7.678571428571425,69.47446299104425,62.22395833333333,0.3702409091397768,0
Dhaka,2022-12,31,7.062211981566813,7.023809523809529,127.40044440889488,135.03125,0.31222908534108446,0
Dhaka,2023-01,31,11.255760368663593,11.3095238095238,133.0425011023842,131.05729166666666,0.29677861342526896,0
Dhaka,2023-02,28,12.011054421768701,11.9047619047619,84.15575583534368,78.09114583333333,0.35860474804235054,0
Dhaka,2023-03,31,20.226574500768045,21.07142857142857,61.22768781336913,59.5,0.3421184461331131,0
Lucknow,2022-04,30,27.190923317683875,27.406103286384965,45.452067168507625,38.604166666666664,0.21567689821738611,0
Lucknow,2022-05,31,21.531879448735413,22.41784037558685,35.967952607108806,36.13888888888889,0.1973354234525258,0
Lucknow,2022-06,30,26.55516431924882,26.848591549295765,30.7224583048619,32.39488636363636,0.2253316287373255,0
Lucknow,2022-07,31,26.720808723307588,26.467136150234737,17.997720793229217,16.68402777777778,0.2728296326685887,0
Lucknow,2022-08,31,27.20922308041799,27.758215962441312,16.707891567109957,14.192708333333334,0.2676064777612127,0
Lucknow,2022-09,30,24.334898278560242,24.53051643192488,22.16759379224687,19.744918285296578,0.23056404692487475,0
Lucknow,2022-10,31,28.59874299560805,27.87558685446009,59.9145676677172,59.854166666666664,0.2745756487239769,0
Lucknow,2022-11,30,34.53247261345852,34.771126760563384,120.85378392256256,113.02864583333331,0.28135065877537285,0
Lucknow,2022-12,31,18.626003331818865,17.899061032863848,141.48850961763856,135.56770833333331,0.21823070136928907,0
Lucknow,2023-01,31,26.751097985764044,26.81924882629107,145.46858284078704,127.3565643648764,0.3698798036636239,0
Lucknow,2023-02,28,34.947183098591545,34.38967136150234,69.20699952522675,69.03695436507937,0.272740881003834,0
Lucknow,2023-03,31,43.711191882477664,44.01408450704226,38.372126620840916,32.416666666666664,0.31930785405718803,0
