city,n_months,lowest_missing_month,lowest_month_mean_missing_pct,highest_missing_month,highest_month_mean_missing_pct,monthly_missing_range_pct_points
Chicago,9,2025-11,1.8892900120336904,2026-04,5.679903730445244,3.790613718411554
Dhaka,12,2022-06,6.6428571428571335,2022-04,44.42460317460318,37.781746031746046
Lucknow,12,2022-12,18.626003331818865,2023-03,43.711191882477664,25.0851885506588
