filter_name,start_date,end_date,duration_days,mean_missing_pct,max_missing_pct
daily_presence_ge_50pct,2022-09-03,2022-09-05,3,25.86279461279461,26.073232323232332
daily_presence_ge_50pct,2022-08-15,2022-08-16,2,27.52525252525252,28.72474747474746
daily_presence_ge_50pct,2022-08-28,2022-08-29,2,26.957070707070706,28.535353535353536
daily_presence_ge_50pct,2022-04-24,2022-04-25,2,27.083333333333336,27.90404040404041
daily_presence_ge_50pct,2022-09-11,2022-09-12,2,26.98863636363636,27.52525252525252
daily_presence_ge_50pct,2022-09-16,2022-09-16,1,32.32323232323234,32.32323232323234
daily_presence_ge_50pct,2022-09-07,2022-09-07,1,26.704545454545446,26.704545454545446
daily_presence_ge_50pct,2022-10-05,2022-10-05,1,26.641414141414145,26.641414141414145
daily_presence_ge_50pct,2022-07-24,2022-07-24,1,26.32575757575758,26.32575757575758
daily_presence_ge_50pct,2022-08-07,2022-08-07,1,26.07323232323232,26.07323232323232
daily_presence_ge_50pct,2022-06-11,2022-06-11,1,25.8838383838384,25.8838383838384
daily_presence_ge_50pct,2022-08-21,2022-08-21,1,25.757575757575747,25.757575757575747
daily_presence_ge_50pct,2022-07-04,2022-07-04,1,25.568181818181824,25.568181818181824
daily_presence_ge_50pct,2022-07-20,2022-07-20,1,25.441919191919204,25.441919191919204
daily_presence_ge_50pct,2022-06-13,2022-06-13,1,25.315656565656575,25.315656565656575
daily_presence_ge_50pct,2023-01-08,2023-01-08,1,25.315656565656564,25.315656565656564
daily_presence_ge_50pct,2022-06-30,2022-06-30,1,25.25252525252526,25.25252525252526
daily_presence_ge_50pct,2022-09-01,2022-09-01,1,25.189393939393945,25.189393939393945
daily_presence_ge_50pct,2022-04-15,2022-04-15,1,25.12626262626261,25.12626262626261
