city,strongest_daily_domain,strongest_daily_variable,strongest_daily_spearman_rho,strongest_daily_p_value,strongest_daily_effect_strength,largest_high_low_variable,largest_high_low_missing_pct_point_difference,largest_high_low_p_value,monthly_missing_range_pct_points,highest_missing_month,strongest_sensor_variable,strongest_sensor_y,strongest_sensor_spearman_rho,strongest_sensor_p_value
Chicago,temporal_structure,calendar_time,0.1082317377939021,0.09919008099190081,weak evidence,calendar_time,1.5860803692963246,0.5582441755824418,3.790613718411554,2026-04,sensor_daily_pm25_sd,sensor_longest_missing_gap_days,-0.10927045908627911,0.06919308069193081
Dhaka,spatial_variability,daily_spatial_sd,-0.13317910298354724,0.0103989601039896,weak evidence,calendar_time,-5.790631469979294,0.010298970102989701,37.781746031746046,2022-04,sensor_latitude,sensor_record_missing_pct,0.49131652661064423,0.0032996700329967
Lucknow,temporal_structure,calendar_time,0.42266939447628415,9.999000099990002e-05,moderate evidence,calendar_time,9.77941926923862,9.999000099990002e-05,25.0851885506588,2023-03,sensor_latitude,sensor_record_missing_pct,-0.16361502347417842,0.17128287171282872
