network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
chicago_lcs_corrected,S1_daily_18h,150,0.40809670947520815,1.0,242,3860260243
chicago_lcs_corrected,S1_daily_18h,200,0.27819372455287217,1.0,242,3860260243
chicago_lcs_corrected,S2_daily_12h,1,5.535335070567586,0.9008264462809917,242,2870091628
chicago_lcs_corrected,S2_daily_12h,2,3.9415275884681837,0.987603305785124,242,2870091628
chicago_lcs_corrected,S2_daily_12h,3,3.3350651534498454,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,5,2.716437207997621,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,7,2.243305105711422,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,10,1.9057271950108796,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,15,1.6405058403718904,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,20,1.4513901000676355,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,30,1.172897678276486,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,40,1.0387575438182044,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,50,0.8964700469084366,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,75,0.718392978238934,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,100,0.5778135050686977,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,150,0.4157757853757167,1.0,242,2870091628
chicago_lcs_corrected,S2_daily_12h,200,0.28452413505182905,1.0,242,2870091628
chicago_lcs_corrected,S3_annual_75pct,1,5.461732967134295,0.8930041152263375,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,2,3.825626129833718,0.9835390946502057,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,3,3.217596021560979,0.9958847736625515,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,5,2.5863378124850414,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,7,2.2242312837323954,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,10,1.9625775153472647,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,15,1.592320037521509,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,20,1.4069116321803372,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,30,1.1630520031530616,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,40,1.0142200149045169,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,50,0.9034165424601341,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,75,0.6885584889948493,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,100,0.578420469292098,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,150,0.39629421717881613,1.0,243,4062788251
chicago_lcs_corrected,S3_annual_75pct,200,0.25470382960113236,1.0,243,4062788251
chicago_lcs_corrected,S4_daily_18h_annual_75pct,1,5.541971846533228,0.9049586776859504,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,2,3.904384812563456,0.987603305785124,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,3,3.303850162314964,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,5,2.6094084353535334,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,7,2.292501971029276,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,10,1.9080461712285,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,15,1.6058822603399636,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,20,1.4459878866689095,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,30,1.1606094049602191,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,40,1.029855936594481,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,50,0.9074124837857549,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,75,0.709759821299771,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,100,0.5816060126874676,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,150,0.39087759251854237,1.0,242,1231750058
chicago_lcs_corrected,S4_daily_18h_annual_75pct,200,0.2613349266342309,1.0,242,1231750058
chicago_lcs_corrected,S5_drop_gap_gt_30d,1,5.410613818849258,0.897119341563786,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,2,3.762710277493484,0.9835390946502057,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,3,3.2432240646298025,0.9958847736625515,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,5,2.5870209603122825,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,7,2.2247032814963044,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,10,1.8617650579697829,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,15,1.588247445747564,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,20,1.429896965003718,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,30,1.1602345414730553,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,40,1.0165874823519623,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,50,0.9102237763800184,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,75,0.7168869854060398,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,100,0.5692195688412576,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,150,0.3867921040690817,1.0,243,2541556961
chicago_lcs_corrected,S5_drop_gap_gt_30d,200,0.2490897995380852,1.0,243,2541556961
chicago_lcs_raw,S0_baseline,1,7.7069206087146656,0.4074074074074074,243,3968769211
chicago_lcs_raw,S0_baseline,2,5.652866134392351,0.6460905349794238,243,3968769211
chicago_lcs_raw,S0_baseline,3,4.584639790976668,0.7489711934156379,243,3968769211
chicago_lcs_raw,S0_baseline,5,3.7733481805615803,0.8559670781893004,243,3968769211
chicago_lcs_raw,S0_baseline,7,3.2225855960244134,0.9094650205761317,243,3968769211
chicago_lcs_raw,S0_baseline,10,2.8005525177633466,0.9588477366255144,243,3968769211
chicago_lcs_raw,S0_baseline,15,2.2956662121469478,0.9670781893004116,243,3968769211
chicago_lcs_raw,S0_baseline,20,1.9169649017524186,0.9794238683127572,243,3968769211
chicago_lcs_raw,S0_baseline,30,1.5540757363358562,0.9917695473251029,243,3968769211
chicago_lcs_raw,S0_baseline,40,1.4017796191590903,0.9958847736625515,243,3968769211
chicago_lcs_raw,S0_baseline,50,1.1656500842396391,0.9958847736625515,243,3968769211
chicago_lcs_raw,S0_baseline,75,0.9165807743331977,1.0,243,3968769211
chicago_lcs_raw,S0_baseline,100,0.7548174253960347,1.0,243,3968769211
chicago_lcs_raw,S0_baseline,150,0.5208577971962636,1.0,243,3968769211
chicago_lcs_raw,S0_baseline,200,0.35556839028045606,1.0,243,3968769211
chicago_lcs_raw,S1_daily_18h,1,7.723880379566388,0.4132231404958678,242,63240004
chicago_lcs_raw,S1_daily_18h,2,5.591952799103674,0.6446280991735537,242,63240004
chicago_lcs_raw,S1_daily_18h,3,4.800366077402021,0.7520661157024794,242,63240004
chicago_lcs_raw,S1_daily_18h,5,3.734374802543482,0.8636363636363636,242,63240004
chicago_lcs_raw,S1_daily_18h,7,3.2551049021047804,0.9173553719008265,242,63240004
chicago_lcs_raw,S1_daily_18h,10,2.7603735268679572,0.9628099173553719,242,63240004
chicago_lcs_raw,S1_daily_18h,15,2.2207537730581244,0.9669421487603306,242,63240004
chicago_lcs_raw,S1_daily_18h,20,1.9938162078411663,0.9834710743801653,242,63240004
chicago_lcs_raw,S1_daily_18h,30,1.5746018282983751,0.9917355371900827,242,63240004
chicago_lcs_raw,S1_daily_18h,40,1.37499557934668,0.9958677685950413,242,63240004
chicago_lcs_raw,S1_daily_18h,50,1.1978491384354402,0.9958677685950413,242,63240004
chicago_lcs_raw,S1_daily_18h,75,0.9353326798323978,1.0,242,63240004
chicago_lcs_raw,S1_daily_18h,100,0.7496776668248952,1.0,242,63240004
chicago_lcs_raw,S1_daily_18h,150,0.5228394151568971,1.0,242,63240004
