network,analysis,x,y,n,pearson_r,pearson_p_approx,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p_approx,spearman_ci_low,spearman_ci_high
dhaka_lcs,M1_missingness_vs_mean_concentration,frac_missing,mean_conc,365,-0.18524569753682693,0.00036287693950831645,-0.23437823026916021,-0.1338403421164332,-0.12667973006987002,0.015381708380466597,-0.21389750360791382,-0.036828262353921525
dhaka_lcs,M2_missingness_vs_cross_sensor_sd,frac_missing,sd_conc,365,-0.18290614832208585,0.0004321449536166533,-0.24426544359526595,-0.11693420874758499,-0.13317222217495983,0.010805880173264448,-0.22554303097357262,-0.03944451986365529
dhaka_lcs,M2_missingness_vs_cross_sensor_cv,frac_missing,cv_conc,365,-0.09317842300675373,0.07540417861224813,-0.2060182392743407,0.02813051397539257,0.038909173503068537,0.45889268109560377,-0.06705561185644322,0.14387365149689976
lucknow_lcs,M1_missingness_vs_mean_concentration,frac_missing,mean_conc,365,-0.04885151935448714,0.35226547914465844,-0.13256590115093342,0.04144197317960062,0.06181899642497809,0.23892086585663996,-0.03603552147912334,0.16185980043313042
lucknow_lcs,M2_missingness_vs_cross_sensor_sd,frac_missing,sd_conc,365,0.025480784134446297,0.6277402269776393,-0.03766051210877861,0.09911935055025152,0.15392603495241317,0.0031561386167777705,0.054528111719329725,0.2522001775850477
lucknow_lcs,M2_missingness_vs_cross_sensor_cv,frac_missing,cv_conc,365,0.18881623635838637,0.00027679315498030377,0.11295172890968092,0.2788276957525498,0.29818899190523485,4.881268278467132e-09,0.20306543046971134,0.3854563698793961
chicago_aqs,M1_missingness_vs_mean_concentration,frac_missing,mean_conc,214,-0.08276129101135096,0.22822906314885305,-0.1682244742642702,0.05064897082518149,-0.013626071401785827,0.8430901525213876,-0.14824417702006146,0.12147304356341662
chicago_aqs,M2_missingness_vs_cross_sensor_sd,frac_missing,sd_conc,214,-0.03018913845345203,0.6609109150371957,-0.12139020982393899,0.17360538084735205,0.04947273282049059,0.4720053083464619,-0.09128772019264483,0.1876646383899165
chicago_aqs,M2_missingness_vs_cross_sensor_cv,frac_missing,cv_conc,214,0.032814425146468124,0.6334844241923436,-0.033319367948046956,0.20024143018460852,0.11538063265683995,0.09227875810214092,-0.02056215293420741,0.24467925474728033
chicago_lcs_corrected,M1_missingness_vs_mean_concentration,frac_missing,mean_conc,243,-0.13696118391043058,0.032743695833047815,-0.21650377593051529,-0.05104103615866604,-0.10030326386242128,0.11896460441610213,-0.20770593759226771,0.011769272721908978
chicago_lcs_corrected,M2_missingness_vs_cross_sensor_sd,frac_missing,sd_conc,243,-0.1117362859233059,0.08216334880998089,-0.20783437925579226,-0.016598393930521545,-0.12630942451789565,0.049150462476347245,-0.24754173023003806,-0.0051210728131676694
chicago_lcs_corrected,M2_missingness_vs_cross_sensor_cv,frac_missing,cv_conc,243,0.041130542405614576,0.5237658024798995,-0.07043414892481302,0.16157888662883488,-0.018818910769069414,0.7706110295977373,-0.14400787131628937,0.10639184418039911
chicago_lcs_raw,M1_missingness_vs_mean_concentration,frac_missing,mean_conc,243,-0.1738209561743551,0.006519406759874613,-0.25181075095388983,-0.09080291804666159,-0.13574313430944795,0.034346117717121594,-0.24872551941681856,-0.02018269220094887
chicago_lcs_raw,M2_missingness_vs_cross_sensor_sd,frac_missing,sd_conc,243,-0.09451739040691863,0.1419301962675572,-0.19086561401319124,0.0020084430037638442,-0.11426292963934398,0.07541726928589187,-0.23480412001433235,0.008692026086506922
chicago_lcs_raw,M2_missingness_vs_cross_sensor_cv,frac_missing,cv_conc,243,0.11880910109835548,0.06441204001861345,0.005448196477671787,0.2450962150625719,0.06626722176639603,0.3038961653867287,-0.05755466251307087,0.18881781078749862
