network,gap_count,mean_gap_hours,median_gap_hours,p75_gap_hours,p95_gap_hours,max_gap_hours,missing_hours_le_24h_pct,missing_hours_1_7d_pct,missing_hours_7_30d_pct,missing_hours_gt_30d_pct,gap_gt_30d_count
dhaka_lcs,4890,8.905521472392637,1.0,2.0,13.0,1116,25.082667401488013,19.796546339671167,42.32111692844677,12.799669330394048,6
lucknow_lcs,11114,15.860266330754005,1.0,2.0,23.0,7841,15.63388192045203,12.027503106012901,23.78156361511536,48.557051358419706,48
chicago_aqs,140,57.135714285714286,1.0,1.0,714.0,1256,2.0252531566445806,1.9377422177772223,80.33504188023502,15.701962745343167,1
chicago_lcs_corrected,3527,16.178905585483413,3.0,3.0,5.0,4349,17.461402309727845,5.034786113593747,6.958975167796996,70.54483640888142,25
chicago_lcs_raw,3527,16.178905585483413,3.0,3.0,5.0,4349,17.461402309727845,5.034786113593747,6.958975167796996,70.54483640888142,25
