city,dataset_key,time_index,sample_size,ape_median_pct,absolute_error_median_ugm3,n_sensors_available,reference_mean_ugm3,daily_mean_ugm3,daily_sd_ugm3,daily_cv_pct,valid_sensor_count
Chicago,chicago_lcs_corrected_no_collocation,2025-09-01,5,5.952219010372378,0.5185925925925918,270,8.712592592592591,8.712592592592591,1.8104678944877615,20.779898465894224,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-02,5,4.576866558337003,0.4579629629629629,270,10.006037037037038,10.006037037037036,1.5801271178801828,15.791737648295637,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-03,5,2.476606914338246,0.2802592592592567,270,11.316259259259258,11.316259259259258,1.2161749437778495,10.747146348584613,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-04,5,2.1227336201107847,0.2798148148148183,270,13.181814814814816,13.181814814814816,1.1607176519023468,8.805446504967101,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-05,5,2.3655992882105252,0.2865555555555552,270,12.113444444444443,12.113444444444445,1.450003072252439,11.970196246844141,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-06,5,3.1301325084113256,0.1454074074074069,270,4.645407407407407,4.645407407407408,0.8547694860571292,18.400312633379432,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-07,5,3.630404139328717,0.2375185185185184,270,6.542481481481481,6.542481481481482,1.0683225871493174,16.329012014374186,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-08,5,3.558917937020705,0.2544797047970473,271,7.150479704797048,7.150479704797047,0.941481176693438,13.166685531067598,271
Chicago,chicago_lcs_corrected_no_collocation,2025-09-09,5,3.0672674275392433,0.220553505535058,271,7.190553505535057,7.190553505535055,0.8701562587944462,12.101380764702302,271
Chicago,chicago_lcs_corrected_no_collocation,2025-09-10,5,2.854995537601575,0.2915645756457561,271,10.212435424354243,10.212435424354242,1.2189564337913017,11.936001385961072,271
Chicago,chicago_lcs_corrected_no_collocation,2025-09-11,5,2.6699044005707853,0.2892767527675257,271,10.834723247232477,10.834723247232473,1.9597692175578212,18.087856725444347,271
Chicago,chicago_lcs_corrected_no_collocation,2025-09-12,5,2.6301387482113756,0.3018302583025818,271,11.475830258302585,11.475830258302583,1.2641738455694236,11.015968493040525,271
Chicago,chicago_lcs_corrected_no_collocation,2025-09-13,5,1.9407702212337723,0.2763333333333353,270,14.238333333333337,14.238333333333333,1.0940650130536596,7.68394015957153,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-14,5,2.1543194917129336,0.3786296296296285,270,17.575370370370372,17.575370370370372,1.5427727090639685,8.778038109881704,270
Chicago,chicago_lcs_corrected_no_collocation,2025-09-15,5,2.3381627001645535,0.3043432835820905,268,13.01634328358209,13.01634328358209,1.483226840116882,11.395111574751729,268
Chicago,chicago_lcs_corrected_no_collocation,2025-09-16,5,3.3415082412436603,0.4244535315985107,269,12.702453531598511,12.702453531598513,1.6364778120593269,12.883163146304286,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-17,5,3.800442311047078,0.5021189591078059,269,13.212118959107803,13.212118959107809,1.8517471501757434,14.015519811068888,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-18,5,3.164159831655456,0.4919033457249053,269,15.546096654275097,15.546096654275091,1.8744840100827556,12.057586233823413,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-19,5,2.427818424986236,0.3441635687732347,269,14.175836431226768,14.175836431226765,1.5314196135765394,10.80302824461986,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-20,5,2.334955208949132,0.383194029850749,268,16.411194029850748,16.411194029850748,1.5728106689661228,9.583767434016663,268
Chicago,chicago_lcs_corrected_no_collocation,2025-09-21,5,1.9706641349624896,0.284736059479556,269,14.448736059479554,14.448736059479554,1.2652926778704103,8.757116696309742,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-22,5,3.246441707980167,0.2565799256505574,269,7.903420074349443,7.903420074349443,0.9609685986055759,12.158895637148284,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-23,5,2.9933689393148963,0.3519033457249083,269,11.756096654275092,11.756096654275094,1.3116999359481483,11.157614423586333,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-24,5,3.231861571153908,0.1424758364312266,269,4.408475836431227,4.4084758364312275,0.5725332392518985,12.987101676287708,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-25,5,3.6111514722697873,0.212498141263941,269,5.884498141263941,5.884498141263941,0.8257544204360439,14.032707643249909,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-26,5,3.0456608317125067,0.3056133828996277,269,10.034386617100372,10.03438661710037,1.2415899529085732,12.373351758170092,269
Chicago,chicago_lcs_corrected_no_collocation,2025-09-27,5,2.8593590345990125,0.286104477611941,268,10.00589552238806,10.005895522388059,1.1997251324940759,11.99018248601244,268
Chicago,chicago_lcs_corrected_no_collocation,2025-09-28,5,2.601396495586534,0.3094477611940283,268,11.89544776119403,11.89544776119403,1.1704668652525558,9.839620069375748,268
Chicago,chicago_lcs_corrected_no_collocation,2025-09-29,5,3.855708873042646,0.3599999999999994,266,9.336804511278196,9.336804511278196,1.2451693585417485,13.336140400472907,266
Chicago,chicago_lcs_corrected_no_collocation,2025-09-30,5,4.342494688241875,0.5220524344569313,267,12.02194756554307,12.021947565543071,1.78887853648394,14.880105962291562,267
Chicago,chicago_lcs_corrected_no_collocation,2025-10-01,5,3.7307426605925538,0.2881567164179097,268,7.723843283582091,7.723843283582089,0.994830347868853,12.879991363670968,268
Chicago,chicago_lcs_corrected_no_collocation,2025-10-02,5,2.9779716584929767,0.2065939849624065,266,6.937406015037594,6.937406015037594,0.7219457726731724,10.406566533777543,266
Chicago,chicago_lcs_corrected_no_collocation,2025-10-03,5,2.389801266085525,0.2780754716981146,265,11.635924528301889,11.635924528301887,1.0514632634012693,9.036353414323123,265
