variant,sample_size,days_evaluated,daily_median_mdape_pct,daily_p95_mdape_pct,daily_median_absolute_error_ugm3
aqs,5,212,2.55949201066482,7.968503212652598,0.20258140000000013
aqs,10,185,0.0,2.1865478782534937e-14,0.0
aqs,20,0,,,
corrected_all,5,272,3.5405061409229246,5.6855764048339115,0.31140967952910525
corrected_all,10,272,2.6030939325800393,4.166220169577999,0.22875736548968906
corrected_all,20,272,1.8743024783261424,3.077122821128345,0.17043510031874476
corrected_collapsed,5,272,3.562625009565246,5.690317736532749,0.3126909135640479
corrected_collapsed,10,272,2.60494687809938,4.130281525735214,0.22797833324085914
corrected_collapsed,20,272,1.873406761298794,3.051736054953145,0.16835149572649666
corrected_no_collocation,5,272,3.520474207076921,5.6451932460991765,0.3128852402588458
corrected_no_collocation,10,272,2.608840055739618,4.146736726444616,0.22927777777777725
corrected_no_collocation,20,272,1.878753504794314,3.0736639620521387,0.16834734180675248
raw_all,5,272,5.437082733400099,13.092661995324876,0.7526494661921657
raw_all,10,272,4.017682418900707,9.649835646270029,0.5422462686567187
raw_all,20,272,2.875994404308923,6.974593828792745,0.38697283596610266
raw_collapsed,5,272,5.503196806985229,13.031541777841088,0.7485879120879118
raw_collapsed,10,272,4.021521989850312,9.697494429565586,0.5452984848484839
raw_collapsed,20,272,2.8742548675172683,7.026158365157943,0.3875754509155991
raw_no_collocation,5,272,5.534290423761562,12.960105769892394,0.7452896678966776
raw_no_collocation,10,272,4.057970037580839,9.66718599579334,0.5402314814814817
raw_no_collocation,20,272,2.878044105788195,7.098914242698073,0.3903906826568253
