variant,sample_size,n_sensors_available,n_draws,seed,reference_mean_ugm3,ape_median_pct,ape_p95_pct,absolute_error_median_ugm3
aqs,1,10,10000,718120447,9.302139196198945,6.410560047726058,16.496107585900226,0.5963192188953954
aqs,2,10,10000,742733962,9.302139196198944,4.083467640035491,9.489317261613571,0.3798498439078415
aqs,3,10,10000,3675581711,9.302139196198944,2.944579102297416,7.371238151266812,0.2739088468378909
aqs,5,10,10000,2165011251,9.302139196198944,1.9186677973034625,5.196327847168668,0.1784771492178123
aqs,7,10,10000,3404475556,9.302139196198944,1.2581541361684347,3.159102064828639,0.1170352490491222
aqs,10,10,10000,3087499840,9.302139196198945,0.0,1.9096218643192398e-14,0.0
corrected_all,1,286,10000,3486701231,10.257711723328933,5.2409537751479025,19.008382122325546,0.5376019298075967
corrected_all,2,286,10000,1844777929,10.257711723328931,3.869219500975965,13.11988782613326,0.3968933823529408
corrected_all,3,286,10000,2956926395,10.257711723328931,3.2466163418542333,11.071431272327294,0.3330285451098946
corrected_all,5,286,10000,281513064,10.257711723328931,2.5433194694842114,9.173173618176754,0.2608863793829892
corrected_all,7,286,10000,1489894780,10.257711723328931,2.2334183959124334,7.794849403493243,0.2290976206284947
corrected_all,10,286,10000,87626311,10.257711723328931,1.9122358440036753,6.52574936475402,0.1961516403480629
corrected_all,15,286,10000,3412991871,10.257711723328931,1.6325474889151312,5.239409528784476,0.1674620151593595
corrected_all,20,286,10000,3992328595,10.257711723328931,1.4020230287569069,4.629535382691575,0.1438154805845686
corrected_all,30,286,10000,2985685188,10.257711723328931,1.1496874673140738,3.5798932970641824,0.1179316261163192
corrected_all,40,286,10000,1654017260,10.257711723328931,1.0145098686661564,3.0140207277799744,0.1040654977324972
corrected_all,50,286,10000,2694270631,10.257711723328931,0.8696624368265935,2.610053480110367,0.0892074657357495
corrected_all,75,286,10000,282607440,10.257711723328931,0.694622642601401,1.9966085524886132,0.0712523882430211
corrected_all,100,286,10000,587350996,10.257711723328931,0.5776070500218833,1.6468833545220518,0.0592492660848691
corrected_all,150,286,10000,1184410389,10.257711723328931,0.4004330983864362,1.1346239785341707,0.0410752728772747
corrected_all,200,286,10000,3461282520,10.257711723328931,0.279170504527835,0.7886189345891637,0.0286365055710282
