dataset_key,city,network,sensor_id,station_name,source_frequency,observed_source_records,source_record_uptime_pct,period_mean_pm25_ugm3,reference_mean_pm25_ugm3,mean_minus_reference_ugm3,source_sd_pm25_ugm3,lag1_autocorrelation_source_resolution,ar1_effective_n_source_resolution,bonferroni_z,ci_low_ugm3,ci_high_ugm3,ci_excludes_reference,longest_missing_gap_source_rows,longest_missing_gap_days,long_gap_gt_30d
dhaka_lcs,Dhaka,LCS,81432151072,63. Khilkhet,hourly,8045,91.837899543379,25.025750984048063,55.14721850399361,-30.121467519945544,32.28463966463285,0.9083791999971679,386.23840378467673,3.188815258638475,19.787364029307646,30.26413793878848,True,496,20.666666666666668,False
dhaka_lcs,Dhaka,LCS,81432150006,"31. Rupnogor high school, Pallabi",hourly,6687,76.33561643835617,36.829482578136684,55.14721850399361,-18.317735925856923,43.623477492988094,0.8788416305693639,431.215703974552,3.188815258638475,30.130600111283897,43.52836504498947,True,493,20.541666666666668,False
dhaka_lcs,Dhaka,LCS,81432124031,1. Siddeshwari ,hourly,8029,91.65525114155251,39.166376053472824,55.14721850399361,-15.980842450520782,34.450773020264066,0.9454781424632619,225.01203411527754,3.188815258638475,31.842761857187945,46.4899902497577,True,427,17.791666666666668,False
dhaka_lcs,Dhaka,LCS,81432130035,12. Bashundhara RA,hourly,5405,61.70091324200913,39.60033919210607,55.14721850399361,-15.546879311887537,29.7119187358254,0.9319994518784912,190.2396826455574,3.188815258638475,32.73108635694973,46.46959202726241,True,296,12.333333333333334,False
dhaka_lcs,Dhaka,LCS,81432130042,15. Mohammadpur,hourly,8097,92.43150684931507,43.36296364908814,55.14721850399361,-11.78425485490547,42.27100580873662,0.9449019935460595,229.3835677776998,3.188815258638475,34.46294760642711,52.262979691749166,True,407,16.958333333333332,False
dhaka_lcs,Dhaka,LCS,81432151044,"75. Uttara, Rd 12",hourly,6329,72.24885844748859,46.873531890240685,55.14721850399361,-8.273686613752922,51.73545475601021,0.9541589287413043,162.2820512820514,3.188815258638475,33.92315564595515,59.82390813452622,False,1116,46.5,True
dhaka_lcs,Dhaka,LCS,81432151048,33. DU Club,hourly,6848,78.17351598173516,48.220465829439256,55.14721850399361,-6.926752674554351,47.72782244756366,0.913831149601505,308.3262009042752,3.188815258638475,39.55292763645971,56.888004022418805,False,831,34.625,True
dhaka_lcs,Dhaka,LCS,81432130025,21. Jagannath University,hourly,8624,98.44748858447488,48.490298392084114,55.14721850399361,-6.656920111909493,47.39287616680632,0.9105412406362922,403.8082635136818,3.188815258638475,40.9696579757461,56.010938808422125,False,7,0.2916666666666667,False
dhaka_lcs,Dhaka,LCS,81432151024,62. Curzon hall,hourly,8205,93.66438356164383,49.81364005687588,55.14721850399361,-5.333578447117723,57.893484256063005,0.9505077961846813,210.38461538461556,3.188815258638475,37.08587769133895,62.541402422412816,False,496,20.666666666666668,False
dhaka_lcs,Dhaka,LCS,81432130028,7. South Nilkhet,hourly,8350,95.31963470319634,49.884576561163385,55.14721850399361,-5.262641942830221,57.094118024786425,0.8733666678301891,564.4321220055824,3.188815258638475,42.2212935067319,57.547859615594874,False,168,7.0,False
dhaka_lcs,Dhaka,LCS,81432130015,18. North Badda,hourly,7483,85.42237442922375,50.1216312530625,55.14721850399361,-5.025587250931103,44.07390575821709,0.9399753932742807,231.53083986826275,3.188815258638475,40.88515166967794,59.35811083644707,False,210,8.75,False
dhaka_lcs,Dhaka,LCS,81432130001,25. Shahnoori model high school,hourly,7976,91.05022831050228,50.77522149782681,55.14721850399361,-4.371997006166794,48.66316751587596,0.9670636763338721,204.5128205128207,3.188815258638475,39.92422897156231,61.62621402409132,False,502,20.916666666666668,False
dhaka_lcs,Dhaka,LCS,81432151018,69. Kazlarpar School,hourly,6754,77.10045662100457,50.995385450597176,55.14721850399361,-4.15183305339643,58.85100805323804,0.885779345669587,409.08619617619695,3.188815258638475,41.71692644965849,60.273844451535865,False,663,27.625,False
dhaka_lcs,Dhaka,LCS,81432151062,74. CARS,hourly,7593,86.67808219178082,51.681197594275424,55.14721850399361,-3.466020909718182,57.498471332793535,0.957361414073689,194.69230769230785,3.188815258638475,38.540716623731896,64.82167856481895,False,926,38.583333333333336,True
dhaka_lcs,Dhaka,LCS,81432130033,"14. Hemayatpur, NAAFCO",hourly,7485,85.44520547945206,52.5852928078379,55.14721850399361,-2.561925696155704,44.93050097891062,0.8903957698587309,433.9766707522344,3.188815258638475,45.70768465392773,59.462900961748076,False,566,23.583333333333332,False
dhaka_lcs,Dhaka,LCS,81432152014,"35. Mirpur, Pirerbag",hourly,7677,87.63698630136986,53.4673483565629,55.14721850399361,-1.6798701474307052,59.6934774273033,0.9474824697844506,207.02475412238073,3.188815258638475,40.23779750225201,66.6968992108738,False,493,20.541666666666668,False
dhaka_lcs,Dhaka,LCS,81432130036,10. Dholaipar,hourly,7782,88.83561643835617,53.59212498929153,55.14721850399361,-1.5550935147020795,51.94111475595324,0.9122482227336075,357.1107153185719,3.188815258638475,44.82738201717064,62.35686796141241,False,588,24.5,False
dhaka_lcs,Dhaka,LCS,81432124034,2. Dhaka University ,hourly,8742,99.79452054794521,54.32245672233662,55.14721850399361,-0.8247617816569885,58.79160811920757,0.957029802189301,224.15384615384636,3.188815258638475,41.80051721314947,66.84439623152377,False,7,0.2916666666666667,False
