target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
31,2022-04-01,5,4.859770963921164,4.065944260751324,4.511379886870371,5.2275099183125455,5.703641710280916,4.8640168244387105,0.5346642302201441,100,5.1250271614421266
31,2022-04-01,10,3.0115486614331743,2.4918293036714525,2.7958095697076573,3.213214456758582,3.5323436271156354,2.998404053689959,0.3268530598371951,100,3.3885628144032864
31,2022-04-01,20,1.2458031170470143,0.877654241952375,1.0878004227053086,1.350335259092839,1.502681929947645,1.213965515954409,0.1915261913877888,100,2.1790043938549246
31,2022-04-02,5,2.977775338889792,2.3657794943789416,2.733822463768117,3.2045463466183532,3.6298049249647493,2.9894235478471516,0.36390658485124916,100,3.045519066366868
31,2022-04-02,10,1.8742713333722723,1.4470435024381638,1.6842291984490183,1.9932068688724547,2.235937459501298,1.8460859127188955,0.22979739529090878,100,2.1220197902942424
31,2022-04-02,20,0.7142805666793866,0.5060331615150411,0.6382403762725746,0.8094598741930348,0.9019151379635085,0.7155952224895592,0.12860207263472714,100,1.3454581658568363
31,2022-04-03,5,3.881750796003516,3.1106615129033575,3.5395546497584567,4.173578516139657,4.730856787988569,3.8871095917560665,0.48634134834382264,100,4.263462066315327
31,2022-04-03,10,2.3742406515334515,1.9192214510642316,2.141893404150199,2.5676270174571707,2.9083030303030277,2.376070526007593,0.30289346050029653,100,2.821059083922208
31,2022-04-03,20,0.8590603294881767,0.601940482517843,0.7626247596773563,1.0033195576690783,1.166606102922345,0.8717423806355032,0.19326136262382818,100,1.7674403683574873
31,2022-04-04,5,1.9605591513516352,1.628047849945951,1.8151052449965506,2.107951947659829,2.2567912113173736,1.9560087227958645,0.21014218159155168,100,2.0194020216689026
31,2022-04-04,10,1.2072759894091396,0.9946080850239489,1.1068441960553042,1.3021139868781013,1.3837731106453903,1.2016646245843035,0.12874762650592797,100,1.390954355959007
31,2022-04-04,20,0.47465792988211675,0.3527629784919132,0.4333574188492655,0.5368275493377381,0.6196280469605868,0.48121030929009684,0.08020137650978265,100,0.842349715422511
31,2022-04-05,5,2.1996412037037025,1.660891403194732,2.063214221014487,2.401979112810686,2.5878763491649592,2.2010614685106797,0.28277639426665235,100,2.302736382751636
31,2022-04-05,10,1.3560089435300746,1.0510264927680069,1.2738351161720738,1.4721582689653259,1.5825232178488846,1.3497404222915876,0.16016953491896446,100,1.566352467709503
31,2022-04-05,20,0.5488671801477505,0.35100772564479304,0.4687354580679992,0.6084636287625447,0.6830341109931373,0.5368034262250359,0.1016895299063376,100,0.9844272009693248
31,2022-04-06,5,2.601336817665141,2.0866139760779148,2.4033957195032203,2.848322024909666,3.288688344514312,2.6243612059908874,0.35387290405574695,100,2.6041515700483053
31,2022-04-06,10,1.6224222524154612,1.3563967889412027,1.5146263955748482,1.7632847738276967,1.9879324798206695,1.6386859007276593,0.2058566483674691,100,1.8756620241970303
31,2022-04-06,20,0.6182364971787777,0.38046608661362524,0.5310296482380297,0.6934961739760137,0.8246555494603955,0.6117224062292067,0.1351613119054059,100,1.179058747181351
31,2022-04-07,5,2.7679059928518566,2.179295661960572,2.586351032157758,3.0376758304388414,3.3099990337338743,2.7718980916328797,0.36525468958504287,100,2.8967844202898583
31,2022-04-07,10,1.6919252142030654,1.3415810159043784,1.5730986335054054,1.8763517624811747,2.047562981430434,1.708898583770916,0.22866779949096958,100,1.9919308574879224
31,2022-04-07,20,0.620171396278284,0.43808413619894376,0.543661709742489,0.7042876259714532,0.8589734304983929,0.6177669382085728,0.14983059927277956,100,1.215175916879648
