target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
31,2,12.21590198401591,10.062506564771875,11.246252303776691,13.226903093483068,14.142864745764891,12.19445525949857,1.3583691236099051,100,12.22688535272032,7.55648935197528
31,3,9.988174554066852,8.51457778018825,9.497638469507896,10.759376202393671,11.575280278187345,10.080354159503187,1.0107762222814576,100,10.406241274070622,6.431290481030409
31,4,8.517330710156543,7.365502651813461,8.09755404799164,9.288224242908843,9.799653335868362,8.655673356051892,0.87007364672608,100,8.899538882547661,5.50011461328533
31,5,7.558765721110484,6.404516869322328,7.229353247726484,8.156452108233829,8.662846534516603,7.659732759777654,0.7553036704363804,100,7.975001654931881,4.928729872654795
31,6,6.819125670466577,5.792801373420023,6.479035364115588,7.339125678596268,7.748627035830135,6.858173381020934,0.662212661344872,100,7.2365949368086815,4.47237796111229
31,7,6.248628807616945,5.195075646375115,5.9178972834549555,6.686872585057124,7.047660375647658,6.253076480957965,0.5994290722129084,100,6.741922737625782,4.166659448342223
31,8,5.741373463883211,4.74846530310917,5.403548333884746,6.097270001933781,6.457781722063114,5.718331190852188,0.5524398281861285,100,6.398127666712988,3.954186384461231
31,9,5.2814083445196776,4.370193306598576,5.031317436556167,5.6377508622790256,5.927925009675676,5.286111903796163,0.5060979524336481,100,5.794423997565589,3.581083978078908
31,10,4.905200494359712,4.126941937016832,4.647751810660097,5.236631315326586,5.536995825412455,4.902829649463623,0.46498046782545654,100,5.64059527866875,3.486014379989207
31,11,4.5678039597554525,3.7546621662545503,4.300538379350192,4.86156827029315,5.1155428356139305,4.556959750227885,0.44572364805179027,100,5.357137497458326,3.310831114287403
31,12,4.246220657054545,3.526136566012171,4.042112520501686,4.558783433954392,4.841054573077677,4.260068944360278,0.4108202630429285,100,4.891025348412384,3.022763352998684
31,13,3.9821178246732236,3.2977773234214114,3.748751840191436,4.241372601967275,4.5054567711652025,3.976619589317961,0.38651921490673663,100,4.7927167824910155,2.962006454560317
31,14,3.7439865858478183,3.1031549933740745,3.5469795425583595,3.963838652507476,4.193774578550592,3.7286017426043374,0.35776132323171966,100,4.624872707384435,2.85827505202019
31,15,3.47422556571734,2.9163342177513694,3.2976369502907703,3.7173033941878986,3.976732151544391,3.4946015669138366,0.33971761427107855,100,4.270163298206924,2.639056682323204
31,16,3.2796721638309325,2.711648772231432,3.1059747324597553,3.4964869407204815,3.7168278876097536,3.274420547085538,0.3169066704955228,100,4.132439577260514,2.5539403341426414
31,17,3.070136794652764,2.586220976259906,2.915652952139405,3.2573742544482034,3.47615876912335,3.0752157340378625,0.2902106523570406,100,3.9023306894661953,2.41172788099113
31,18,2.885776512802713,2.4053902710315374,2.7255653151826595,3.054874879072694,3.259521444163472,2.873981199154611,0.27083845233468856,100,3.86965589734964,2.391534126687887
31,19,2.6701644245754137,2.2500916541882052,2.5502303189957156,2.872550092171506,3.0286338657004896,2.686827150733084,0.2591629081370333,100,3.71198043395444,2.294087154229892
31,20,2.5207195887882516,2.0851731274766876,2.389302373791095,2.688755718236756,2.8245005323350787,2.507892150959547,0.2438636912885677,100,3.60928260486568,2.2306175927190743
31,21,2.334976639163936,1.950734846188169,2.2153850062629004,2.4849568705693645,2.6359917641351105,2.335508478004465,0.2224954438042137,100,3.377056458192568,2.087096626098152
31,22,2.176036727204783,1.7989317447649946,2.0426372476588455,2.301427202110374,2.4444982081504065,2.159371899465634,0.20850062838492245,100,3.320105031335766,2.0518993670899555
31,23,1.9866752080859134,1.674220403595824,1.8823382788309362,2.1248392111804844,2.242235014843603,1.9889248695626134,0.19215725052324903,100,3.299415346795855,2.0391126780508877
31,24,1.8135963565154571,1.5171539331781958,1.7408148830785688,1.9424370229149357,2.073535299597357,1.824891269457332,0.17633245916263454,100,3.145186825084545,1.9437959928557405
31,25,1.6377071148153441,1.3813106096906032,1.5655831389462775,1.7668754465675058,1.861549286192434,1.6487970828779217,0.1590605490378902,100,3.075812853471529,1.9009213225962895
31,26,1.454130816044032,1.2522425070024665,1.3909815692680898,1.574678002200478,1.6700008687392787,1.4729053304930224,0.14419732909389896,100,2.9038782048780516,1.794661853904767
31,27,1.2789998089613743,1.0819461453376829,1.2105893284555256,1.3926233863166129,1.4558941180031568,1.2874130435803428,0.13139678188202442,100,2.864189263420114,1.77013319800702
31,28,1.0652497872119262,0.9081391100945044,1.0167034121751097,1.1531681272333483,1.2394580467633238,1.0803120529121442,0.1106846636934037,100,2.7876045474484297,1.7228021260234812
31,29,0.8352984670327175,0.6912654949379282,0.7712714816696835,0.9099187878910684,0.9793663415743092,0.8400768432655671,0.09578221222538022,100,2.696597488232341,1.6665577224748738
31,30,0.5510862447971044,0.34714786539837117,0.4669309135711467,0.6189550032071344,0.6896065904450966,0.5385979965007842,0.10202110276911625,100,2.6043826101190395,1.6095668597608608
40,2,12.460487015322911,10.365834175673028,11.757883148329995,13.355558344351145,14.453294370452527,12.433786201841501,1.34624462120259,100,12.22688535272032,7.55648935197528
40,3,10.375287646363208,8.528150997547462,9.58814773328575,11.065119815677999,11.861675015211281,10.261369776933279,1.0541744278002998,100,10.406241274070622,6.431290481030409
40,4,8.912672670135235,7.411873483074192,8.33684993317715,9.477653109422643,10.121600446046417,8.859004506219433,0.8650531739213958,100,8.899538882547661,5.50011461328533
40,5,7.860341593577107,6.61140464028129,7.36342033530902,8.300098977545517,8.923739821095568,7.832367482503034,0.7313895295927918,100,7.975001654931881,4.928729872654795
40,6,7.10548541800756,5.921512909750106,6.675685076373435,7.532644918197635,7.931388404280152,7.064705067662464,0.6665893452152201,100,7.2365949368086815,4.47237796111229
40,7,6.549685206857993,5.447219183587953,6.070817007767525,6.879587107302861,7.323831135890797,6.466211668462126,0.5997437621028826,100,6.741922737625782,4.166659448342223
40,8,6.001008126361688,5.0613190532669865,5.601168495123864,6.330781743505643,6.754538626273176,5.970551282386474,0.544591971907172,100,6.398127666712988,3.954186384461231
40,9,5.5312098866831665,4.665432308848775,5.181622443628829,5.9310121440531605,6.326179433075955,5.536716001649868,0.5183760742862678,100,5.794423997565589,3.581083978078908
40,10,5.1995842601125,4.324893469903186,4.864592873172424,5.526596270518493,5.926689238291803,5.173125975264026,0.48280456505814223,100,5.64059527866875,3.486014379989207
40,11,4.870625655401807,4.06218093885097,4.585942580467401,5.140393640580854,5.449008156788946,4.8475355366172606,0.43856216036169654,100,5.357137497458326,3.310831114287403
40,12,4.583786171415692,3.900041164565039,4.30697868995338,4.849619749908081,5.145483985851525,4.561543316568671,0.4104989286679034,100,4.891025348412384,3.022763352998684
40,13,4.338851624055952,3.6499062922932812,4.056750574286373,4.5887594293348934,4.84276373545511,4.304557426430777,0.3907677724793552,100,4.7927167824910155,2.962006454560317
40,14,4.109780109429874,3.442458973551492,3.8450023277499015,4.363246453594028,4.619069986881049,4.083846384542339,0.37319990590106916,100,4.624872707384435,2.85827505202019
40,15,3.8787191729305643,3.281302932747045,3.638220813774888,4.111430684716444,4.336284774715903,3.860495239261519,0.3404036666982679,100,4.270163298206924,2.639056682323204
40,16,3.6709446071171237,3.117787920803158,3.4847865256672814,3.925100472353968,4.1358650904151135,3.6643636202479275,0.32806026690143564,100,4.132439577260514,2.5539403341426414
40,17,3.497508426271288,2.9175068232592563,3.3062468515096697,3.720194803084224,3.9044805874335258,3.477748378751715,0.3115621290243949,100,3.9023306894661953,2.41172788099113
40,18,3.3377318542565915,2.8186154985540735,3.139383310420688,3.5514544752375796,3.7790452712991596,3.3164338622409115,0.2956215874195298,100,3.86965589734964,2.391534126687887
40,19,3.1680777103326037,2.683689529701204,2.974851211452413,3.341852113387525,3.5492720769425254,3.148809237832118,0.28893730070406737,100,3.71198043395444,2.294087154229892
40,20,3.016256323228391,2.5210135868799535,2.8177298426283293,3.1797984637205614,3.383691222128232,2.993170457152566,0.2673986970065721,100,3.60928260486568,2.2306175927190743
40,21,2.8948367481249955,2.423911565102037,2.69639849298473,3.018860911507022,3.2291210375577597,2.8493329652037334,0.2531785051030777,100,3.377056458192568,2.087096626098152
40,22,2.714783865635883,2.315174571708444,2.537200638469943,2.876867082153778,3.0317579912875052,2.7050954454888214,0.2430171600853876,100,3.320105031335766,2.0518993670899555
40,23,2.589472110377729,2.1916164031504795,2.44858627925481,2.7635050779668826,2.935015401094713,2.581570679993841,0.2315141226988377,100,3.299415346795855,2.0391126780508877
40,24,2.4355844086023146,2.0663179781543324,2.3220172252268547,2.59645697130857,2.7344208227940845,2.442330959909416,0.2186479986317594,100,3.145186825084545,1.9437959928557405
40,25,2.347650117433577,1.9610704263815286,2.1888615851362725,2.4693057701623795,2.604400905679858,2.3166668357707305,0.20664886052774273,100,3.075812853471529,1.9009213225962895
