target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
31,2,7.532574243584108,6.080899359359673,6.777317902338808,8.23317264650426,8.922015248483548,7.5299068025386156,0.9227507858366479,100,7.55648935197528
31,3,6.156155610615373,5.108576915040613,5.758537277870847,6.745368670498587,7.285418118608762,6.223490005490427,0.6921292440256087,100,6.431290481030409
31,4,5.3358786114679795,4.4693281872730175,4.967145210517822,5.7809294351434515,6.2844300633092525,5.342904229135508,0.5866316130376213,100,5.50011461328533
31,5,4.681205311748407,3.9079008428269306,4.383244862597987,5.099788086967956,5.512376993795725,4.727811933216067,0.5080794859647232,100,4.928729872654795
31,6,4.204034527733782,3.5353123453561897,3.964522180378955,4.558805742938004,4.896423489303364,4.232802276728873,0.4438292489285866,100,4.47237796111229
31,7,3.8505849192605552,3.177361896505536,3.6040426681753495,4.13836240197974,4.488080915443519,3.859294817675769,0.4020294299741848,100,4.166659448342223
31,8,3.534801163334569,2.905386713909056,3.317216564304143,3.810215120112095,4.058480750059923,3.5289853416438213,0.36702927445445277,100,3.954186384461231
31,9,3.2439075934943666,2.701801894574343,3.0651383524549694,3.4870041409220534,3.762046901535842,3.2623113863015636,0.3377430207002232,100,3.581083978078908
31,10,2.9933226250299967,2.5286340547170645,2.846414807146358,3.2596969772581534,3.448764320061532,3.025565760330467,0.30856020950869156,100,3.486014379989207
31,11,2.822007853648243,2.3434414129969188,2.6247903329860884,3.0428752256052105,3.21762305328308,2.8122235641687814,0.2952327513486944,100,3.310831114287403
31,12,2.6090839641718038,2.160803707363981,2.488391578791254,2.826114893780158,3.0443156639605635,2.629040775799732,0.273244980735537,100,3.022763352998684
31,13,2.4512289470495237,2.0159594761891406,2.2890172667710047,2.651939616974162,2.823334115603669,2.4540798053916753,0.25658244803155306,100,2.962006454560317
31,14,2.2889627021917196,1.9101918462924152,2.148509106287846,2.4737865919444726,2.624855387604896,2.3008544673073548,0.23595043442840152,100,2.85827505202019
31,15,2.141967146587694,1.7838275576237501,2.0206000830386737,2.3218948288390937,2.4623538386218162,2.156408094244914,0.2229954186162522,100,2.639056682323204
31,16,1.9959220255053562,1.6737779940359,1.8920684610691403,2.171599471837295,2.3156235940804857,2.0205731152375694,0.2087542378050542,100,2.5539403341426414
31,17,1.9002252151802015,1.5765052488933713,1.774547671277836,2.0431999547127075,2.1830287995613364,1.8978652335408617,0.1937862030543892,100,2.41172788099113
31,18,1.7661254129727215,1.4697528039847922,1.6608632571967235,1.9099185902776377,2.041333010658949,1.773651117515663,0.18079546689800094,100,2.391534126687887
31,19,1.6706098890624919,1.3733915936138825,1.5479902283907263,1.7825111720776539,1.892262904898068,1.6580424757737875,0.17125371699020925,100,2.294087154229892
31,20,1.5390310527092605,1.2706272548181379,1.4525975011090493,1.6689421987769801,1.7731870035576036,1.5477132145702635,0.1620359628900229,100,2.2306175927190743
31,21,1.4331302698218167,1.1915483857715476,1.352033718041782,1.5494417481959433,1.6674165856043461,1.4413952173821545,0.14907245989074677,100,2.087096626098152
31,22,1.337059490547123,1.100028981170142,1.2451995133869609,1.4316993583407678,1.5339540429817273,1.3325831015496477,0.1381287930455677,100,2.0518993670899555
31,23,1.216497340452369,1.0140488855076397,1.1494462501772267,1.324721250412387,1.4068784478489156,1.227394009699576,0.12722738113109486,100,2.0391126780508877
31,24,1.118932188950609,0.9254624551457582,1.0572874702330273,1.2151700372230723,1.2937031789645688,1.1262639101376037,0.1177475657644944,100,1.9437959928557405
31,25,1.016415648154947,0.8445543811799565,0.9509233448264132,1.0947201531820339,1.171462440404993,1.0176315404996492,0.10668189914261626,100,1.9009213225962895
31,26,0.9005993192164699,0.7611852905458163,0.8406044406071569,0.9837115956839151,1.054761970678101,0.9091134542866874,0.09696690481495156,100,1.794661853904767
31,27,0.7868693377755243,0.6590007188914875,0.7469691039494322,0.8700495201878118,0.9211325292172565,0.7946611817589269,0.08807266588077643,100,1.77013319800702
31,28,0.6611674056089054,0.553729601415507,0.6179758804197295,0.7237106489031433,0.7777387502219039,0.6668562313279897,0.07442672351801335,100,1.7228021260234812
31,29,0.515695074065885,0.4195565848658699,0.46927620371551093,0.5740219361826497,0.6170442432627752,0.518738679920917,0.0647861554018446,100,1.6665577224748738
31,30,0.33706685542590975,0.21134938821937616,0.29879730316032393,0.38239182333439103,0.4298096301300379,0.3325743517644167,0.0654056901999683,100,1.6095668597608608
40,2,7.656947720311106,6.177093053277777,7.243767289921879,8.266782415313177,9.071472867592892,7.682695874199039,0.8724101007912,100,7.55648935197528
40,3,6.32282406871124,5.231923083937974,5.950716962128069,6.804407981094437,7.4272787119898,6.33856508183882,0.6701455181187842,100,6.431290481030409
40,4,5.497495062149909,4.514267187289271,5.167039487576164,5.853800652203253,6.3456334882801775,5.4722273647064705,0.5506077023672892,100,5.50011461328533
40,5,4.911846348222722,4.044242437300104,4.590433719592019,5.133401344211438,5.55857868750119,4.83800571124537,0.4654807193162226,100,4.928729872654795
40,6,4.397140770844066,3.5985672495994625,4.091539469563223,4.658632829080438,5.011379764880939,4.363573426979557,0.4216280563737476,100,4.47237796111229
40,7,4.031096439922909,3.3593034510252204,3.797695025203465,4.220155716189912,4.551703200117196,3.9936617444188682,0.3771908428918743,100,4.166659448342223
