target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
31,2022-04-01,5,6.389267832504745,5.2583342567601825,5.973649105308386,6.932437040478368,7.67608712613049,6.44499301015257,0.7377736498805884,100,6.779096658605335,5.1250271614421266
31,2022-04-01,10,3.964854860259003,3.3427084944111463,3.656273623106694,4.284369803785815,4.669283573261809,3.9723256499863857,0.44607815743208634,100,4.4821996311394585,3.3885628144032864
31,2022-04-01,20,1.6403930812619318,1.174210898274328,1.4119610766676503,1.8101568863970774,2.017578161743383,1.6083683814865148,0.2574577180616458,100,2.8822640232235712,2.1790043938549246
31,2022-04-02,5,5.537037279318104,4.375349454115095,4.935790766210353,5.994623738604921,6.6443087814171555,5.493847808364287,0.6931735196490282,100,5.590484053710803,3.045519066366868
31,2022-04-02,10,3.4218131691438947,2.644344162200789,3.0724400268103027,3.7349890143817053,4.068973884179265,3.3926478938811244,0.43678533274585996,100,3.895269588133208,2.1220197902942424
31,2022-04-02,20,1.3301079583951068,0.9377396665416394,1.1765799663689627,1.4725869261901043,1.6834796973990016,1.3143206622651684,0.2371448379341509,100,2.469780112107676,1.3454581658568363
31,2022-04-03,5,6.011240584197251,4.86079686473571,5.430160877799142,6.6453451770270044,7.623868971456194,6.081378039654644,0.8257844624896266,100,6.685577863830675,4.263462066315327
31,2022-04-03,10,3.683634039848282,2.9093628055533216,3.3018478885389246,4.030724193457034,4.5907772647674525,3.7180139588599035,0.517701744827937,100,4.423731200293933,2.821059083922208
31,2022-04-03,20,1.349040469233966,0.9585850263841253,1.1717439773267806,1.566620630048218,1.8488664488398334,1.3638042207429928,0.3113710387834148,100,2.7715410665172806,1.7674403683574873
31,2022-04-04,5,5.868200093291953,4.671430169485954,5.4062635391686955,6.324066233868233,6.808565821008768,5.845504190311937,0.6371574572204041,100,6.016422110533705,2.0194020216689026
31,2022-04-04,10,3.6021868927805816,2.941588310953701,3.2889897406555226,3.9052257367710874,4.123477589545885,3.591489316844,0.3927798732349905,100,4.144082481911585,1.390954355959007
31,2022-04-04,20,1.4135088856773397,1.0455686432834934,1.3036124043769635,1.5842809672341625,1.8433574380652284,1.4369330795205957,0.23382476857886592,100,2.5096198767204654,0.842349715422511
31,2022-04-05,5,5.971489885079594,4.779310131571173,5.5576562486802645,6.4686335787931455,6.931459055690272,5.9428053496339475,0.6928693615692361,100,6.208259613877514,2.302736382751636
31,2022-04-05,10,3.6695964505755363,2.9223767940757375,3.4482123535311424,3.9320977326495528,4.155205997931963,3.645363630821823,0.3952036263252868,100,4.22294225219054,1.566352467709503
31,2022-04-05,20,1.4721484284083828,0.9943564707490861,1.2825583304773098,1.6406895403258253,1.799903270905173,1.4488182628150792,0.25874624393604284,100,2.654050928433832,0.9844272009693248
31,2022-04-06,5,6.517262919685043,5.308429358991325,6.062245778345838,6.9954678283924,8.121448132996095,6.558082317355096,0.834452759097515,100,6.490170714310934,2.6041515700483053
31,2022-04-06,10,4.062913870560717,3.381618008566799,3.789583664312059,4.37901558182234,4.928183339858987,4.095183484521367,0.483265567663439,100,4.674599927055292,1.8756620241970303
31,2022-04-06,20,1.5215465477981953,0.9610879940160625,1.3287226604197444,1.7575421372449949,2.0297700346604746,1.528043674848474,0.32867408380837737,100,2.938497374508273,1.179058747181351
31,2022-04-07,5,6.038494665824666,4.860608059816064,5.671736893018757,6.818916500513323,7.270796881346464,6.1396257247435475,0.8014746868551873,100,6.4154279877787665,2.8967844202898583
31,2022-04-07,10,3.7427725923422512,2.957756591672655,3.463522212500443,4.217390455548786,4.488369383075422,3.786856683924041,0.513911065812578,100,4.4114739375633185,1.9919308574879224
