Sensor_ID,Latitude,Longitude,Station_Name,value_pm25_ug_m3,network,panel,start_date,end_date,n_dates_available_for_network
DDQNT6485,41.85262982538,-87.6353109832,Armour Square 1,6.07,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DDZMI3291,41.84077025,-87.68631765239,Lower West Side 5,5.83,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DEIDA3268,41.90808685,-87.65476058225,Near North Side 1,6.16,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DEJMD2536,41.9762844,-87.8527641,O'Hare 1,5.52,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DEPLW3142,41.7640476,-87.6024382544,Greater Grand Crossing 3,6.68,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DERZJ4600,42.0162268,-87.67155255924,Rogers Park 1,6.15,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DEVFQ3796,41.8911473,-87.7527475601,Austin 3,6.94,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DEYGE9157,41.7014031,-87.5703907,South Deering 10,4.8,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFAKZ8204,41.802323,-87.652894475,New City 4,6.06,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFAQM2360,41.78968585,-87.65259587249,Englewood 1,5.75,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFCTF9310,41.70153607185,-87.65364411745,Washington Heights 4,5.02,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFDFU1164,41.8526565,-87.68640576809,Lower West Side 1,5.82,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFDVG9143,41.70084025,-87.60406122014,Pullman 3,5.52,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFEAJ0038,41.6642805,-87.5373633,Hegewisch 2,10.07,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFESS1920,41.76416395,-87.7034622167,Chicago Lawn 4,5.34,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFFDA0268,41.8811335,-87.654831,Near West Side 3,5.38,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFIBC1899,41.66442141106,-87.58654247521,South Deering 7,6.63,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFIRX1818,41.68842595,-87.60256092387,Pullman 4,6.47,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFKYH6865,41.69223635,-87.67489329296,Morgan Park 1,6.63,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFKYP0941,41.92145185,-87.63691042804,Lincoln Park 2,4.88,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFMDU1576,41.7770346,-87.61823783346,Greater Grand Crossing 1,6.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFNBI6922,41.69236885,-87.71085274558,Mount Greenwood 2,5.55,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFQDK6326,41.7328393,-87.67465490629,Beverly 1,6.32,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFRKF1779,41.99058225,-87.79848941722,Norwood Park 2,6.66,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFRSA4000,41.89544165,-87.61824483303,Near North Side 3,5.2,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DFVRF7063,41.90386395,-87.75296686302,Austin 2,5.79,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGAID0757,41.91617695,-87.75264006953,Belmont Cragin 4,5.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGDNA0617,42.00333585,-87.81657557251,Edison Park 2,5.99,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGGGM0466,41.8401321,-87.65224955236,Bridgeport 1,5.83,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGHRH9009,41.8029067,-87.70321051435,Gage Park 1,4.03,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGKDK3415,41.9415229,-87.73560494298,Irving Park 4,5.13,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGRCH4426,42.00290225,-87.6903495,West Ridge 3,5.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGRSB4646,41.93583815,-87.78078553032,Belmont Cragin 1,6.32,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGTDZ6242,41.98958085,-87.74435264432,Forest Glen 3,6.3,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGTGR9009,41.70277366369,-87.55285081796,South Deering 3,5.56,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGZGL5338,41.77766795,-87.77076185555,Clearing 2,7.42,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DGZUS1041,41.726048,-87.53635402287,East Side 1,5.29,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHBBM8531,41.7997122,-87.7531658,Garfield Ridge 1,5.88,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHCXV0760,41.87835895,-87.73628820535,West Garfield Park 1,5.41,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHIBT9527,41.8658361,-87.6853688659,Near West Side 7,5.75,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHJUH1119,41.9491384,-87.78084362295,Dunning 4,5.48,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHNQG0980,41.96257933332,-87.74452053946,Irving Park 1,5.26,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHQVH8975,41.8658287,-87.66865308211,Near West Side 6,5.64,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHSIJ5379,41.72668335,-87.6533731,Washington Heights 1,6.55,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHUBD2135,41.98985225,-87.78029629433,Norwood Park 3,5.63,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHWLS6819,41.6635518,-87.63755419775,West Pullman 5,5.16,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DHZTI7858,41.71416735,-87.60386913021,Pullman 1,5.41,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIBVR6629,41.71908015,-87.67444563166,Beverly 2,5.7,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DICQL6656,41.96248775,-87.72638198462,Albany Park 3,5.6,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIEET8865,41.78645279022,-87.60174594829,Hyde Park 4,5.64,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIFIV9884,41.94997245,-87.799195205,Dunning 3,7.0,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIFPQ7419,41.93555175,-87.69109155093,Avondale 2,4.63,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIHMX0551,41.891075,-87.70279956945,Humboldt Park 3,6.19,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIIPF3878,41.9859255,-87.65593,Edgewater 2,5.61,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIQKT3554,41.92154965,-87.65448778151,Lincoln Park 1,5.52,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIRJX6254,41.76421335,-87.61966303202,Greater Grand Crossing 2,5.86,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DITUM6528,41.87833905,-87.6855286518,Near West Side 1,5.43,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DITUY8368,41.98910785,-87.70794851144,West Ridge 5,5.88,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIUDG6358,41.8528468,-87.7363577,North Lawndale 5,7.74,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
