run_key,city,selection_strategy,selection_strategy_label,time_aggregation,sample_size,row_count,n_outer_draws,n_days,selected_ref_mdape_median_pct,full_ref_mdape_median_pct,mdape_delta_median_pctpt,selected_ref_abs_median_ugm3,full_ref_abs_median_ugm3,abs_delta_median_ugm3,reference_mean_delta_median_ugm3,mdape_delta_p95_pctpt,abs_delta_p95_ugm3
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,daily,5,4820,20,241,4.028964025926427,4.8933427458679235,0.3918506589488606,0.3755959183673472,0.4461397058823522,0.05142614622057229,0.3082912556178208,3.6808947379627237,0.2735590847224495
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,daily,10,4820,20,241,2.8481308956044575,4.07987257761732,0.8769159197696299,0.2734791666666667,0.38599999999999923,0.10062356768550185,0.3082912556178208,4.817451416714002,0.39773516327311953
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,daily,20,4820,20,241,1.8081774617177409,3.6816362073645106,1.628144605130175,0.17139999999999977,0.3384922713610967,0.16825367647058864,0.3082912556178208,5.812521784558596,0.5957089006082191
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,2,20,20,0,4.7076357136092,4.182282665248891,-0.5070024396553898,0.4665164430582651,0.44184418478680243,-0.023638476427374044,0.647007807974795,-0.39994565654544517,-0.011253357900357528
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,3,20,20,0,3.940927680255805,3.6895186461362597,-0.25775902392483463,0.3906675284605101,0.38978531317437115,-0.0017284380156064039,0.647007807974795,-0.16975739876869772,0.008337187777831195
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,4,20,20,0,3.4864581399097436,3.368114464155391,-0.09345905429445378,0.3459682287182013,0.3558300356044475,0.012289387685642694,0.647007807974795,0.05609988891357801,0.02968023065111507
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,5,20,20,0,3.1680799608971637,3.2011069383511512,0.039142496293629536,0.3139499433748001,0.33818624870659475,0.024608044428371834,0.647007807974795,0.17113854055344635,0.04019229540831831
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,6,20,20,0,2.9144729004845793,3.081966558952639,0.17714416259298038,0.2890677168423821,0.325599465836099,0.03770664202002916,0.647007807974795,0.3156553728802907,0.05292342752584927
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,7,20,20,0,2.7158350680977232,3.0234686847179066,0.325907929630165,0.2690431795177046,0.31941936094558754,0.05186753676896494,0.647007807974795,0.5014778005390031,0.07118979610879075
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,8,20,20,0,2.524429586513561,2.9775641624240197,0.47220612190569455,0.25032822472411276,0.314569701595802,0.06604122287846348,0.647007807974795,0.70176277301576,0.0911137231643806
