city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count,scenario,scenario_description,sensors_retained,baseline_median_observed_morans_i,baseline_positive_sig_pct,baseline_two_sided_sig_pct,delta_median_observed_morans_i,delta_positive_sig_pct,delta_two_sided_sig_pct
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.025664543438123227,-0.12903708308715114,0.09863790422558544,3.75,1.6666666666666667,2.083333333333333,0.4575,0.62,32.0,15.0,daily_ge_12h,All sensors; daily value kept only when a sensor has at least 12 valid hourly records that day.,35,-0.03039922149174855,4.166666666666666,2.9166666666666665,0.004734678053625322,-0.4166666666666661,-0.8333333333333335
Dhaka,dhaka_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.04322011697630144,-0.1321911743930274,0.051639502643497454,3.3333333333333335,3.75,2.083333333333333,0.5,0.54,32.0,15.0,daily_ge_12h,All sensors; daily value kept only when a sensor has at least 12 valid hourly records that day.,35,-0.03960651589355024,3.75,3.75,-0.003613601082751196,-0.4166666666666665,-1.666666666666667
Dhaka,dhaka_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,-0.01906336271884443,-0.0890248389239521,0.07135787934942979,5.833333333333333,2.5,4.166666666666666,0.375,0.57,32.0,15.0,daily_ge_12h,All sensors; daily value kept only when a sensor has at least 12 valid hourly records that day.,35,-0.016351079012556537,5.833333333333333,2.5,-0.002712283706287892,0.0,1.666666666666666
Dhaka,dhaka_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,0.06012270751280481,-0.07957609238876359,0.22020576119221535,8.333333333333332,0.8333333333333334,1.6666666666666667,0.22,0.395,30.0,13.0,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,35,0.07025383696705616,7.083333333333333,2.083333333333333,-0.010131129454251347,1.2499999999999991,-0.4166666666666663
Dhaka,dhaka_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,0.0025927568395396365,-0.07556516024313223,0.11400192410220608,22.083333333333332,1.25,14.583333333333334,0.235,0.36,30.0,13.0,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,35,-0.003978487981036371,18.333333333333332,10.833333333333334,0.006571244820576008,3.75,3.75
Dhaka,dhaka_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.019506858401230176,-0.06386303450213927,0.0258847491694385,16.25,4.166666666666666,11.25,0.2725,0.3,30.0,13.0,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,35,-0.02597399941996785,11.666666666666666,9.166666666666666,0.006467141018737674,4.583333333333334,2.083333333333334
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.009529824590690732,-0.14175167915788855,0.12741678403997878,4.583333333333333,2.5,1.6666666666666667,0.3825,0.535,30.0,13.0,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,35,-0.03039922149174855,4.166666666666666,2.9166666666666665,0.020869396901057817,0.41666666666666696,-1.2499999999999998
Dhaka,dhaka_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.034822012701261326,-0.1349091244644035,0.09624143401444588,4.166666666666666,3.3333333333333335,2.5,0.465,0.52,30.0,13.0,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,35,-0.03960651589355024,3.75,3.75,0.004784503192288916,0.4166666666666661,-1.25
Dhaka,dhaka_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,-0.008968511952953267,-0.08676983363029182,0.08154372318961621,8.75,0.8333333333333334,3.3333333333333335,0.32,0.485,30.0,13.0,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,35,-0.016351079012556537,5.833333333333333,2.5,0.00738256705960327,2.916666666666667,0.8333333333333335
Dhaka,dhaka_lcs,highest_hourly,band_2km,distance_band,2,8760,120,120,199,0.05,0.024127330987044608,-0.17651557885716854,0.17320848942571873,10.0,3.3333333333333335,5.0,0.315,0.4,28.0,11.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,0.04272121391326461,8.333333333333332,5.833333333333333,-0.018593882926220003,1.6666666666666679,-0.833333333333333
Dhaka,dhaka_lcs,highest_hourly,band_5km,distance_band,5,8760,120,120,199,0.05,0.0013040218705934643,-0.09196284597272514,0.1035590616690069,24.166666666666668,3.3333333333333335,21.666666666666668,0.2075,0.33,28.0,11.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,0.0016838624953675525,29.166666666666668,21.666666666666668,-0.00037984062477408815,-5.0,0.0
