city,dataset_key,resolution,scenario,scenario_description,daily_min_hours,sensor_filter,sensors_baseline,sensors_retained,sensors_removed,time_windows_total,time_windows_with_3plus_sensors,valid_sensor_count_min,valid_sensor_count_p05,valid_sensor_count_median,valid_sensor_count_max,reference_windows_compared,reference_bias_filtered_minus_baseline_ugm3,reference_mae_filtered_vs_baseline_ugm3,reference_max_abs_diff_ugm3,reference_pearson_r
Lucknow,lucknow_lcs,daily,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,1.0,hourly_gap_le_30d,71,34,37,365,365,27,28.0,31.0,34,365,-1.8085318451868528,2.199350544826935,13.959779435165444,0.9988834398124576
Lucknow,lucknow_lcs,highest_hourly,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,,daily_presence_ge_50pct_gap_le_90d,71,57,14,8760,8760,18,38.0,44.0,56,8760,-0.08372488218901791,0.6258052080093838,20.76025780682643,0.9997596322068982
Lucknow,lucknow_lcs,daily,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,1.0,daily_presence_ge_50pct_gap_le_90d,71,57,14,365,365,37,41.0,49.0,56,365,-0.08847823465704648,0.4313020472903891,5.24668590776318,0.9999047045000163
Lucknow,lucknow_lcs,highest_hourly,daily_ge_50pct_gap_le_25pct_period,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 25% of the study period.,,daily_presence_ge_50pct_gap_le_25pct_period,71,57,14,8760,8760,18,38.0,44.0,56,8760,-0.08372488218901791,0.6258052080093838,20.76025780682643,0.9997596322068982
Lucknow,lucknow_lcs,daily,daily_ge_50pct_gap_le_25pct_period,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 25% of the study period.,1.0,daily_presence_ge_50pct_gap_le_25pct_period,71,57,14,365,365,37,41.0,49.0,56,365,-0.08847823465704648,0.4313020472903891,5.24668590776318,0.9999047045000163
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,,all,277,277,0,5808,5778,0,264.0,270.0,274,5778,0.0,0.0,0.0,0.9999999999999999
Chicago,chicago_lcs_corrected_no_collocation,daily,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,1.0,all,277,277,0,243,243,267,269.0,272.0,274,243,0.0,0.0,0.0,1.0
Chicago,chicago_lcs_corrected_no_collocation,daily,daily_ge_12h,All sensors; daily value kept only when a sensor has at least 12 valid hourly records that day.,12.0,all,277,277,0,243,242,0,264.0,270.0,274,242,-0.005674815209290743,0.00849745008551242,0.11134079010858056,0.9999953716766552
Chicago,chicago_lcs_corrected_no_collocation,daily,daily_ge_18h,All sensors; daily value kept only when a sensor has at least 18 valid hourly records that day.,18.0,all,277,277,0,243,242,0,262.1,270.0,274,242,-0.010387592437077799,0.013435124260437347,0.15329783539198338,0.9999903424387223
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,,record_uptime_ge_75pct,277,269,8,5808,5778,0,261.0,267.0,269,5778,0.005220818974263924,0.014692029081344659,0.20131216931217466,0.9999944939259822
Chicago,chicago_lcs_corrected_no_collocation,daily,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,1.0,record_uptime_ge_75pct,277,269,8,243,243,264,266.0,268.0,269,243,0.006154369390048145,0.011386555868547421,0.07024342691521746,0.9999970690690618
Chicago,chicago_lcs_corrected_no_collocation,daily,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,18.0,record_uptime_ge_75pct,277,269,8,243,242,0,259.1,266.0,269,242,-0.005492540280606565,0.01772217668252343,0.1564820205316515,0.9999859414451617
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,,hourly_gap_le_30d,277,267,10,5808,5778,0,259.0,265.0,267,5778,0.0015692884962450276,0.014326818475421504,0.36622409344394136,0.9999937840558109
Chicago,chicago_lcs_corrected_no_collocation,daily,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,1.0,hourly_gap_le_30d,277,267,10,243,243,264,264.0,266.0,267,243,0.0025602480585353257,0.01009746757541393,0.06770659590312089,0.9999968982317705
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,,daily_presence_ge_50pct_gap_le_90d,277,273,4,5808,5778,0,263.0,269.0,272,5778,-0.0003573854860418907,0.006014536732956934,0.10373955746992447,0.9999987779138207
Chicago,chicago_lcs_corrected_no_collocation,daily,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,1.0,daily_presence_ge_50pct_gap_le_90d,277,273,4,243,243,266,268.0,270.0,272,243,-0.00021409610920246707,0.00311801651923836,0.024702094415206766,0.9999996481673282
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,daily_ge_50pct_gap_le_25pct_period,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 25% of the study period.,,daily_presence_ge_50pct_gap_le_25pct_period,277,270,7,5808,5778,0,262.0,267.0,270,5778,0.008103976436435647,0.013065990320772068,0.17883103541497647,0.9999961364758805
Chicago,chicago_lcs_corrected_no_collocation,daily,daily_ge_50pct_gap_le_25pct_period,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 25% of the study period.,1.0,daily_presence_ge_50pct_gap_le_25pct_period,277,270,7,243,243,264,266.0,269.0,270,243,0.00901947162820182,0.010637282471744709,0.046155554953861255,0.9999981340051833
