repeat_index,repeat_master_seed,experiment,phase,city,target_N_star,selection_strategy,selection_strategy_label,metric_name,aggregation,value_median,value_mean,value_sd,value_p5,value_p95,n_outer_draws,n_inner_draws,source_path,original_value_median,original_value_p5,original_value_p95,original_n_outer_draws,delta_from_original_median
0,309267157,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,mdape_at_n10,period,1.8096806983444669,1.948516684621341,0.3181260459317609,1.648963801866508,2.4462915216240653,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.664165588561254,1.3491610201709658,2.117065141187272,20,0.1455151097832128
0,309267157,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,equidistant,Spatially balanced,mdape_at_n10,period,2.3369026847275887,2.275934458648598,0.3019216061222904,1.834353751578682,2.641351481954069,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.2594399345624288,1.6760119380064666,2.8964366623329343,50,0.07746275016515991
0,309267157,phase4_chicago_n50,4,Chicago,50,equidistant,Spatially balanced,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,equidistant,Spatially balanced,n_for_mdape_le_5pct,period,2.0,2.4,0.5163977794943223,2.0,3.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.549999999999997,50,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,kmeans_stratified,k-means stratified,mdape_at_n10,period,1.9104478847033992,1.987068432017038,0.4555130535988555,1.440927447918544,2.7245584361632065,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.7802255793985906,1.4200136659784013,2.6213276708879993,50,0.1302223053048086
0,309267157,phase4_chicago_n50,4,Chicago,50,kmeans_stratified,k-means stratified,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,kmeans_stratified,k-means stratified,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,random,Random,mdape_at_n10,period,1.80777901233614,1.954820814830942,0.517290417935351,1.373650773782601,2.5693345540649206,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.7897541144718272,1.3680800346131632,2.460055115342261,50,0.018024897864312717
0,309267157,phase4_chicago_n50,4,Chicago,50,random,Random,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
0,309267157,phase4_chicago_n50,4,Chicago,50,random,Random,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_00_309267157/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase1_chicago_n40,1,Chicago,40,random,Random,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase1_chicago_realitycheck_n40/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase1_chicago_n40,1,Chicago,40,random,Random,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase1_chicago_realitycheck_n40/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase1_chicago_n40,1,Chicago,40,random,Random,mdape_at_n10,period,1.6521155509844876,1.5555626821310111,0.2082858531537614,1.2592356650591057,1.7805694912563883,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase1_chicago_realitycheck_n40/aggregated/headline_numbers.csv,1.6884122287947962,1.3014317988253896,2.997868670418696,50,-0.03629667781030865
1,2084131071,phase3_lucknow,3,Lucknow,31,random,Random,n_for_mdape_le_5pct,period,10.0,10.1,1.286683937707919,8.0,11.55,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,10.0,8.0,12.0,100,0.0
1,2084131071,phase3_lucknow,3,Lucknow,31,random,Random,n_for_mdape_le_10pct,period,4.0,3.9,0.5676462121975467,3.0,4.549999999999999,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,3.0,3.0,4.0,100,1.0
1,2084131071,phase3_lucknow,3,Lucknow,31,random,Random,mdape_at_n10,period,4.984125586917784,4.925276701092478,0.4238237230920957,4.25372593841004,5.458201561859921,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,4.905200494359712,4.126941937016832,5.536995825412455,100,0.07892509255807223
1,2084131071,phase3_lucknow,3,Lucknow,50,random,Random,n_for_mdape_le_5pct,period,12.0,11.7,1.2516655570345725,9.9,13.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,12.0,10.0,13.0,100,0.0
1,2084131071,phase3_lucknow,3,Lucknow,50,random,Random,n_for_mdape_le_10pct,period,4.0,3.7,0.4830458915396479,3.0,4.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,4.0,3.0,4.0,100,0.0
1,2084131071,phase3_lucknow,3,Lucknow,50,random,Random,mdape_at_n10,period,5.5187305383031,5.444661062955602,0.2966818777384097,4.99883733661262,5.753552723203824,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,5.439313220501225,4.926333714968107,5.846133218196183,100,0.07941731780187489
1,2084131071,phase4_chicago_n50,4,Chicago,50,anti_cluster,Anti-cluster,mdape_at_n10,period,2.288153094307947,2.28937719230726,0.0296452896264385,2.2492839785253147,2.333839324796356,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.290924180047167,2.258829847195,2.3261055615575903,20,-0.002771085739219803
1,2084131071,phase4_chicago_n50,4,Chicago,50,anti_cluster,Anti-cluster,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,anti_cluster,Anti-cluster,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0500000000000007,20,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,circumferential,Circumferential,mdape_at_n10,period,2.1275761823079855,2.0537408691054724,0.2696789611672587,1.67490071814818,2.3914928897870684,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.1579236267916277,1.4116793057559671,2.3747717263869794,20,-0.03034744448364224
1,2084131071,phase4_chicago_n50,4,Chicago,50,circumferential,Circumferential,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,circumferential,Circumferential,n_for_mdape_le_5pct,period,2.0,2.1,0.3162277660168379,2.0,2.549999999999999,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0500000000000007,20,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,mdape_at_n10,period,1.8568459072154235,1.990762643568784,0.4436649524959424,1.383076136308376,2.5670122362883174,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.664165588561254,1.3491610201709658,2.117065141187272,20,0.19268031865416946
1,2084131071,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,equidistant,Spatially balanced,mdape_at_n10,period,2.482625070800714,2.4385874337984625,0.2601027519856572,2.025865676333444,2.734351687866041,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.2594399345624288,1.6760119380064666,2.8964366623329343,50,0.22318513623828506
1,2084131071,phase4_chicago_n50,4,Chicago,50,equidistant,Spatially balanced,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,equidistant,Spatially balanced,n_for_mdape_le_5pct,period,2.0,2.2,0.4216370213557839,2.0,3.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.549999999999997,50,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,kmeans_stratified,k-means stratified,mdape_at_n10,period,1.6546205067738342,1.8609871605053905,0.4483867717713182,1.4851331548292463,2.644816036981401,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.7802255793985906,1.4200136659784013,2.6213276708879993,50,-0.1256050726247564
1,2084131071,phase4_chicago_n50,4,Chicago,50,kmeans_stratified,k-means stratified,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,kmeans_stratified,k-means stratified,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,random,Random,mdape_at_n10,period,2.102271903991644,2.0628080848123673,0.5619017323797852,1.3091654077839023,2.713321234465423,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.7897541144718272,1.3680800346131632,2.460055115342261,50,0.312517789519817
