dataset_key,city,period_type,sample_size,n_periods,median_period_mdape_pct,max_period_mdape_pct,median_period_absolute_error_ugm3,max_period_absolute_error_ugm3
chicago_lcs_corrected_no_collocation,Chicago,month,2,9,4.135141672397246,4.9930807533313075,0.40846616566653005,0.6832258064516132
chicago_lcs_corrected_no_collocation,Chicago,month,3,9,3.470648762797297,4.230020184095657,0.3441666666666663,0.5674731182795689
chicago_lcs_corrected_no_collocation,Chicago,month,4,9,3.090761639023499,3.7659315269955567,0.3111666666666677,0.49213172043010545
chicago_lcs_corrected_no_collocation,Chicago,month,5,9,2.821002888815156,3.4120729984408795,0.28231616566653006,0.4494656066722129
chicago_lcs_corrected_no_collocation,Chicago,month,6,9,2.5926874100756665,3.1497493876552074,0.2619166666666679,0.41335035842293877
chicago_lcs_corrected_no_collocation,Chicago,month,7,9,2.4273217205334223,2.8794292785493947,0.24262092757129228,0.38564669738863255
chicago_lcs_corrected_no_collocation,Chicago,month,8,9,2.282245950574188,2.7484985192773426,0.23122916666666615,0.370051075268818
chicago_lcs_corrected_no_collocation,Chicago,month,9,9,2.192993201253604,2.598992450460719,0.2216075077540589,0.34828419986217707
chicago_lcs_corrected_no_collocation,Chicago,month,10,9,2.1000962042041698,2.451545399741862,0.20947848450710893,0.3345947057945029
chicago_lcs_corrected_no_collocation,Chicago,month,11,9,2.0311871464032745,2.3780941876451656,0.20129898584862183,0.31951979472140835
chicago_lcs_corrected_no_collocation,Chicago,month,12,9,1.9662589807673494,2.26855610304857,0.1941769323671494,0.3077631421744327
chicago_lcs_corrected_no_collocation,Chicago,month,13,9,1.9031233452265957,2.1686493033217005,0.18794200393083038,0.29118501320654033
chicago_lcs_corrected_no_collocation,Chicago,month,14,9,1.850576798341033,2.105122458073259,0.18275279570316183,0.28005102040816343
chicago_lcs_corrected_no_collocation,Chicago,month,15,9,1.7767778269664192,2.053030423314132,0.17546481481481457,0.27384101288487717
chicago_lcs_corrected_no_collocation,Chicago,month,16,9,1.7537120072583734,1.9912283030005118,0.17318696120689658,0.26603519668737086
chicago_lcs_corrected_no_collocation,Chicago,month,17,9,1.7027766250063125,1.9616517003496705,0.1681568627450991,0.254978534892218
chicago_lcs_corrected_no_collocation,Chicago,month,18,9,1.654931918954639,1.8883862572987486,0.16343198248161706,0.24760175919535854
chicago_lcs_corrected_no_collocation,Chicago,month,19,9,1.584387562368284,1.8327484707869073,0.15646540946568255,0.24287326045376556
chicago_lcs_corrected_no_collocation,Chicago,month,20,9,1.553883007769451,1.788673250762716,0.15345294727572423,0.2348572580645154
chicago_lcs_corrected_no_collocation,Chicago,month,21,9,1.5121612309707158,1.753921802521358,0.14933273385982737,0.2286489122218942
chicago_lcs_corrected_no_collocation,Chicago,month,22,9,1.4807507162901414,1.7073102867718204,0.14623080403043787,0.22369763105016371
chicago_lcs_corrected_no_collocation,Chicago,month,23,9,1.4484128712481072,1.67800253894114,0.1428953023488262,0.22103916766460507
chicago_lcs_corrected_no_collocation,Chicago,month,24,9,1.418259976611974,1.642391806790284,0.1400595619658116,0.2166011904761902
chicago_lcs_corrected_no_collocation,Chicago,month,25,9,1.400048288417603,1.603238854124215,0.13826107571278,0.21191834586466118
chicago_lcs_corrected_no_collocation,Chicago,month,26,9,1.3781293865769229,1.5739109562834797,0.13609648541114083,0.20784257224257185
chicago_lcs_corrected_no_collocation,Chicago,month,27,9,1.3632516976297873,1.5214591756505662,0.1346272466034737,0.20195758295785904
chicago_lcs_corrected_no_collocation,Chicago,month,28,9,1.3419796879420205,1.4892970394058649,0.13252653981619034,0.20112226769326202
chicago_lcs_corrected_no_collocation,Chicago,month,29,9,1.3171521909861867,1.4816644728269763,0.13007471264367965,0.1964918529746118
chicago_lcs_corrected_no_collocation,Chicago,month,30,9,1.301948469137134,1.4415183847391515,0.12803846153846177,0.1939439865689856
chicago_lcs_corrected_no_collocation,Chicago,season,2,3,3.6413013992489516,4.648275555835879,0.3316612798965739,0.5741855727811993
chicago_lcs_corrected_no_collocation,Chicago,season,3,3,3.167103508222573,3.903637678628761,0.2884698320547381,0.48220300399782623
chicago_lcs_corrected_no_collocation,Chicago,season,4,3,2.8822829525161335,3.4172089548817492,0.26252747252747266,0.4221161283367554
chicago_lcs_corrected_no_collocation,Chicago,season,5,3,2.5845066653468565,3.1069561954667586,0.2354050638892362,0.3837916666666663
chicago_lcs_corrected_no_collocation,Chicago,season,6,3,2.384601523829411,2.8981504378247314,0.21719706959706997,0.35799860596888244
chicago_lcs_corrected_no_collocation,Chicago,season,7,3,2.232817472940644,2.7329845589609514,0.20337209685626956,0.33759623015872986
chicago_lcs_corrected_no_collocation,Chicago,season,8,3,2.147911377175336,2.5861537225161695,0.19563858037275317,0.3194587193951648
chicago_lcs_corrected_no_collocation,Chicago,season,9,3,2.0551732451990565,2.428940289131231,0.1871916971916976,0.30003868196134764
