dataset_key,city,period_type,period_label,period_sort,n_days,sample_size,n_sensors_available,n_draws_requested,n_draws_completed,seed_used,reference_mean_ugm3,reference_sd_ugm3,ape_median_pct,ape_p75_pct,ape_p95_pct,absolute_error_median_ugm3,absolute_error_p75_ugm3,absolute_error_p95_ugm3
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,2,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,3.2758016113842614,5.813140320403297,11.040149253227861,0.3578031495974292,0.6349468504025726,1.2058728346376846
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,3,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,2.7939323594224303,4.9049726252954065,9.570845670746237,0.30517043354804585,0.5357512029790619,1.0453864829307644
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,4,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,2.5230530486377343,4.362933712658503,8.753580951755957,0.2755833333333326,0.4765463874396083,0.9561198162640943
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,5,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,2.243539508328057,3.920004512031507,8.27913237928693,0.24505314959742908,0.4281669427008774,0.9042976323560501
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,6,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,2.0947655910361482,3.6675685421888033,8.038798123090306,0.22880314959742964,0.4005943373368934,0.8780468504025699
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,7,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.9396701446578284,3.4063485676115164,8.104607420717306,0.21186267340695242,0.37206228908442984,0.8852349456406648
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,8,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.8471511748790905,3.221395871161522,7.600858683442477,0.20175718390804676,0.3518606208617987,0.830212417971019
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,9,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.7373576183836583,3.0572938211389835,7.134784809906865,0.18976485806540566,0.3339363881642492,0.7793049700606899
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,10,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.6576030071621157,2.9431770143674143,6.728150753066172,0.1810535701196354,0.32147185040257,0.7348899036032014
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,11,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.5877925251286789,2.8482157705544235,6.3999256809292575,0.17342844097272003,0.3110996007498752,0.6990391475075645
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,12,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.531121803475758,2.728905634960983,6.090411512314488,0.16723851706923742,0.29806781575231245,0.6652321110892032
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,13,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.4870520156682066,2.643847424639651,5.762525117954409,0.16242494446922606,0.28877723617437745,0.6294183474581982
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,14,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.4474705349618104,2.583563325599237,5.52265221084334,0.1581016123073331,0.2821926370239458,0.6032179568822977
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,15,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.4014757323286755,2.5342298311982123,5.280982835424613,0.15307777777777698,0.27680413009605687,0.5768213450161951
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,16,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.3615519791497186,2.4947920111343835,5.0708555160058175,0.14871706051653089,0.27249648943092764,0.5538699500223024
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,17,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.3266925725787715,2.4195515543694683,4.948840127693054,0.14490950226244248,0.2642782651300184,0.5405426807255481
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,18,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.3105888428860681,2.352720979441604,4.711312552205808,0.14315055410627497,0.2569786197194124,0.5145984616586112
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,19,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.259729152076524,2.29934066129597,4.608069029115612,0.13759534664317208,0.2511480938741828,0.5033215706500629
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,20,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.2316191522273758,2.2426838786983083,4.448765693040332,0.1345250000000009,0.24495969247983407,0.4859214829307622
chicago_lcs_corrected_no_collocation,Chicago,month,2025-09,202509,30,21,271,10000,10000,866207336,10.922613517069237,1.0618909113257253,1.2125989511623463,2.197848158536285,4.3047162946739075,0.13244749694749824,0.2400624600489416,0.4701875238735343
