dataset_key,city,retained_sensor_count,source_rows,valid_timestamp_rows,timestamp_min,timestamp_max,diurnal_min_hour,diurnal_max_hour,diurnal_min_mean_ugm3,diurnal_max_mean_ugm3,diurnal_amplitude_ugm3,diurnal_amplitude_pct_of_hourly_mean,mean_missing_fraction
dhaka_lcs,Dhaka,35,8760,8760,2022-04-01 00:00:00,2023-03-31 23:00:00,15,21,35.980708468978854,65.14236015527419,29.161651686295336,53.972587782176085,0.14203522504892369
lucknow_lcs,Lucknow,71,8760,8760,2022-04-01 00:00:00,2023-03-31 23:00:00,15,21,36.94757457182257,77.6744899712614,40.72691539943882,66.21172284916564,0.2834121165348254
chicago_lcs_corrected_no_collocation,Chicago,277,6557,6557,2025-08-31 19:00:00,2026-05-31 23:00:00,15,7,9.434124855924072,11.422013543733957,1.9878886878098854,19.386558626839946,0.024805523790542145
