target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
40,2025-09-01,5,0.5114326923076926,0.42275769230769267,0.45714102564102577,0.5509679487179509,0.6226923076923077,0.5108492577597843,0.06753308250741509,50,0.5185925925925918
40,2025-09-01,10,0.33473717948717896,0.2749974358974353,0.30132692307692377,0.3656538461538461,0.4899384615384617,0.3510621794871796,0.07192920101212401,50,0.3604074074074104
40,2025-09-01,20,0.190432692307692,0.15573157894736706,0.17095833333333443,0.2085693319838049,0.306032692307693,0.20658119433198377,0.051716928476469255,50,0.2554074074074091
40,2025-09-02,5,0.4474028340080971,0.37448749999999953,0.40646955128205153,0.48276923076922973,0.5395914473684205,0.45147554655870437,0.05595317573231789,50,0.4579629629629629
40,2025-09-02,10,0.30049999999999955,0.2477708333333343,0.26875657894736915,0.32150480769230727,0.3753682692307695,0.2999879622132254,0.039002544603220696,50,0.3200370370370367
40,2025-09-02,20,0.172423076923077,0.13932916666666723,0.15150000000000086,0.19089802631578778,0.22225673076923025,0.17316548582995941,0.024096535413051453,50,0.2229629629629652
40,2025-09-03,5,0.28850000000000087,0.19462211538461416,0.24267948717948773,0.33681249999999974,0.41669903846153855,0.2949094939271257,0.06775086456023269,50,0.2802592592592567
40,2025-09-03,10,0.19242307692307836,0.13118269230769464,0.15929487179487367,0.2962371794871803,0.37224006410256466,0.22521219298245623,0.08413501953928464,50,0.2062592592592587
40,2025-09-03,20,0.1108493589743591,0.07672500000000167,0.09300641025640921,0.2025032051282052,0.25762019230769273,0.1426245883940622,0.06766507964982522,50,0.1585
40,2025-09-04,5,0.26275000000000137,0.20977179487179648,0.24527968960863866,0.32960576923076834,0.3939525641025655,0.2868123751686911,0.0616395559278516,50,0.2798148148148183
40,2025-09-04,10,0.1778782051282053,0.13726666666666615,0.15886538461538446,0.280000000000002,0.3395224358974356,0.21492114709851612,0.0721994291400661,50,0.2078148148148155
40,2025-09-04,20,0.10595833333333537,0.07840833333333519,0.09205769230769123,0.1816250000000008,0.22993750000000154,0.13279520242915022,0.05491027307011598,50,0.1543148148148159
40,2025-09-05,5,0.27173684210526217,0.21839038461538546,0.25587145748987794,0.34571794871795003,0.51840576923077,0.3203437584345476,0.10045195317553252,50,0.2865555555555552
40,2025-09-05,10,0.1862371794871791,0.14226153846153763,0.17081680161943402,0.30371153846153787,0.5317057692307694,0.26174815114709843,0.1418572412505672,50,0.2124444444444435
40,2025-09-05,20,0.10862499999999953,0.08110961538461417,0.09801282051282234,0.20591826923076928,0.4157624999999995,0.1761227260458842,0.1252134168346076,50,0.1620555555555549
40,2025-09-06,5,0.12130448717948772,0.0923682692307692,0.10811842105263292,0.18368750000000045,0.374598076923077,0.1734422064777329,0.10059335769058884,50,0.1454074074074069
40,2025-09-06,10,0.09524999999999917,0.05949326923076894,0.0715855263157894,0.12208333333333266,0.3752230769230773,0.14211050607287443,0.11467247016349096,50,0.1135925925925933
40,2025-09-06,20,0.05402631578947359,0.034056730769231346,0.04096381578947317,0.06931250000000078,0.294825,0.09851256410256413,0.09919837998811817,50,0.0845925925925925
40,2025-09-07,5,0.2262914979757078,0.18494423076923092,0.203125,0.2736826923076925,0.4089750000000001,0.25601289473684213,0.07446120805206345,50,0.2375185185185184
40,2025-09-07,10,0.15638157894736837,0.12009423076923036,0.13443749999999988,0.18105128205128218,0.410453525641026,0.19820697705802978,0.10503937860707514,50,0.1724814814814808
40,2025-09-07,20,0.08985560053981123,0.07111250000000055,0.0768749999999998,0.10457051282051322,0.2991374999999997,0.12725433198380565,0.08615216483644808,50,0.1269814814814811
40,2025-09-08,5,0.2462628205128201,0.2054163461538451,0.22356249999999944,0.28098397435897415,0.34375128205128214,0.2569252294197031,0.04201191319978963,50,0.2544797047970473
40,2025-09-08,10,0.16246153846153955,0.1334499999999999,0.14851923076923046,0.18795192307692443,0.26891794871794744,0.17975848852901485,0.04506379338193443,50,0.1875202952029511
40,2025-09-08,20,0.09328846153846193,0.07768589743589738,0.08504326923077032,0.10788461538461602,0.16956250000000067,0.10696065452091794,0.03242639679604614,50,0.1359797047970481
