target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
40,2,0.3849841761820816,0.30899742647478357,0.357457214723246,0.42849570426064654,0.4752240415870709,0.39364784544886805,0.055127480098514224,50,0.3934026696980695
40,3,0.32394620913486705,0.2559730489429538,0.2905227867585851,0.3710255378636038,0.4303301942808004,0.3334157502560604,0.05724998651564248,50,0.3303906770781424
40,4,0.2862687114065112,0.21765551625500762,0.25262069677386667,0.3380194051196157,0.38566727217514774,0.2947477435961923,0.05696069417623475,50,0.2941037064542886
40,5,0.2533427750787274,0.195337587562379,0.22724496350662027,0.32008990553294514,0.35446366376556576,0.2686447308444732,0.05791602092497832,50,0.2652473493101821
40,6,0.23099023753959003,0.17762760336605377,0.20051271432284823,0.3057099615495691,0.3544680685798325,0.24910162901094857,0.061618474332614616,50,0.2503438455460314
40,7,0.21403726845485505,0.16219584660900668,0.1844392063167839,0.28133574031747255,0.3435684574827786,0.2326578173183259,0.06216239120367195,50,0.232874367618959
40,8,0.19598415032302396,0.15164815298059792,0.1693632530931981,0.2630624939069999,0.33496014097656807,0.21985559582117922,0.0654716905162261,50,0.2164404204665206
40,9,0.18400561786181635,0.13924422976457124,0.15926286024865766,0.2414491812189261,0.33280703513861154,0.2083578814132863,0.06690914901056991,50,0.2073946908535644
40,10,0.17139462892931734,0.13288182686545325,0.14959380371420838,0.23015910006104656,0.32279959303415323,0.19852507485246737,0.06786579212652222,50,0.1952400931839895
40,11,0.15921356168772371,0.12240075917460339,0.13971863980276078,0.21484632356465982,0.31338130813676146,0.18874996375957345,0.06835991545438419,50,0.1914938039412348
40,12,0.15077498413860058,0.11562634280211163,0.13276135794091615,0.20719559668413812,0.3084925257837466,0.1814400622015144,0.06945209970343035,50,0.1834900039756979
40,13,0.14211768784424628,0.10902064174834733,0.12422983958713685,0.19570677482660614,0.29665915238297785,0.17188110310311916,0.06800132315400738,50,0.1776259184871547
40,14,0.13387642706212377,0.10398247144016448,0.11718707754158775,0.18700994321656483,0.28810230608258014,0.16443031407385914,0.06675218291168074,50,0.172735492388778
40,15,0.1276995329462154,0.09800890703560668,0.11209880307649578,0.17613812445434762,0.27643839728463954,0.1567791933245652,0.06498185782345728,50,0.1679058126198898
40,16,0.12160238207758134,0.0925408647038716,0.10610718884089065,0.17097770899122344,0.2677516659456687,0.14982181322092808,0.06312095824748519,50,0.1585477158044863
40,17,0.11436008959255028,0.08733580947036543,0.10000527077097598,0.16284666202232367,0.2559124321047641,0.1426059572616344,0.06080072980950802,50,0.1613817452652162
40,18,0.10985156847709021,0.0841101645272663,0.09565775237798335,0.15480327395012683,0.24503600241751688,0.13583486423980912,0.05806959477098567,50,0.1509412794477711
40,19,0.10523693106828613,0.0802234986827437,0.09066912502659674,0.1459789534373186,0.23443382823106682,0.12956766784273793,0.05571033905291686,50,0.1511333988148058
40,20,0.10022670404762524,0.07668987712299677,0.08628070801397336,0.13951719498460258,0.22244665570641967,0.12330009371076678,0.05283152186149522,50,0.1452151244524806
40,21,0.09457516369868291,0.07258687266472044,0.08279271176024894,0.13378545785613638,0.21220099431158496,0.11728669564148562,0.05036133466935991,50,0.1397936779048176
40,22,0.09014513472480745,0.06941753497128977,0.07869395024649295,0.12667667655601478,0.20026153839279295,0.1112900485981416,0.047476340169844485,50,0.1370145971757423
40,23,0.08365608388728019,0.06570572829238533,0.07417387005513798,0.11884771056672294,0.18881491580631712,0.10544970410499108,0.044853928503418655,50,0.1375612437731117
40,24,0.08120843174250103,0.061977982687806056,0.0708488257941613,0.11356827689761961,0.17715325681510885,0.09946834224841472,0.04193143668411187,50,0.1321613494229332
40,25,0.07587206730554907,0.05913603911624543,0.06683885241115539,0.10651255469937126,0.16709502036513912,0.09424594227879554,0.03918490874458817,50,0.1306150339719778
40,26,0.07320451351300727,0.05529984311670422,0.06354871555540731,0.10114199959393821,0.15428503678191938,0.08868075564455509,0.035918523220620655,50,0.1283359363517719
40,27,0.06891432126809205,0.05226480586764466,0.05968054925501276,0.09353048628797844,0.14307405905081455,0.08276461827988292,0.032580597508792365,50,0.1277459067296984
40,28,0.06503893291323326,0.04968119754209397,0.05715272745428268,0.0887882779890019,0.13192135152223794,0.07739726272625454,0.02932464799833158,50,0.124088533547634
40,29,0.06116122757344611,0.04702107910090172,0.05343459264859307,0.08223736891276645,0.12059741327015491,0.07215108321168102,0.026469604466797712,50,0.1205896870855287
40,30,0.05781532955977298,0.04404372335689315,0.05044375795653022,0.07786107416641408,0.10770100180815943,0.06641757230079749,0.022801966934803627,50,0.1200257445494319
