target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
40,2025-09-01,5,5.9028510582795946,4.816510773326413,5.308167400790398,6.218846510144724,7.0110537674566284,5.840511714645409,0.699584569419364,50,5.952219010372378,0.5185925925925918
40,2025-09-01,10,3.866760267306374,3.1666021107815876,3.4737359972007726,4.1402210726876,5.5552746087967515,4.010133270456033,0.769243020872107,50,4.136626424077573,0.3604074074074104
40,2025-09-01,20,2.220284667052216,1.7710905812840387,1.9746302832168685,2.3210650238930315,3.4682823800593825,2.358873034681447,0.5605028654690576,50,2.931474239075007,0.2554074074074091
40,2025-09-02,5,4.4497203095034195,3.811753897817475,4.060454607688108,4.866062105680451,5.468859894837208,4.516230076009538,0.5549078791618892,50,4.576866558337003,0.4579629629629629
40,2025-09-02,10,2.9986049741104597,2.5158735652650743,2.6659121416619267,3.2508777010015937,3.770688154959355,3.000853076862382,0.38741908862745394,50,3.198439460621917,0.3200370370370367
40,2025-09-02,20,1.7215567487857188,1.4248139996318747,1.515002419768815,1.920626589294515,2.212630025806034,1.7322295186835042,0.239741279771774,50,2.228284406080796,0.2229629629629652
40,2025-09-03,5,2.538876896989315,1.7409674300259885,2.178067693674679,3.0043172624109085,3.602832404649976,2.5978367614253997,0.5752997320073282,50,2.476606914338246,0.2802592592592567
40,2025-09-03,10,1.6952159007197725,1.1720292285813714,1.4074784116064658,2.6518485060418886,3.2154415040659563,1.9827216928992926,0.7255304200691609,50,1.822680574329295,0.2062592592592587
40,2025-09-03,20,0.9690767131870075,0.6865630730737443,0.8251952936595837,1.8131304720769852,2.2492077929393037,1.2551956776471263,0.5864483470561132,50,1.4006395255597497,0.1585
40,2025-09-04,5,2.0102503280291755,1.5932791620202675,1.8601624335333014,2.472543959288959,3.004517586816013,2.175771645141657,0.46482974032930785,50,2.1227336201107847,0.2798148148148183
40,2025-09-04,10,1.3566851056067848,1.0425691212377455,1.2038878184977981,2.0978499195083073,2.654264610417915,1.6306357418298236,0.5485566752359152,50,1.5765265840425555,0.2078148148148155
40,2025-09-04,20,0.7999225230601773,0.5968568524636808,0.6949620358608036,1.3589733679403695,1.7630194801883434,1.0076273298325302,0.41773846352826494,50,1.1706644114085425,0.1543148148148159
