phase,phase_name,dataset_key,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_set_hash,selected_sensor_order,sensor_id,station_name,latitude,longitude
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,10,81432144006,Jankipuram Vistar,26.94334,80.94009
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,11,81432144008,Chak Ganjaria,26.79835,81.02416
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,12,81432144014,Nigoha,26.55383,81.04667
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,13,81432144016,Lohiya college,26.85114,81.03126
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,14,81432144022,Virat Khand,26.85672,81.01856
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,15,81432144023,Mohammadpur,27.02779,80.93745
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,16,81432144024,Umarbhari,26.95505,80.90484
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,17,81432144025,Baksi Ka Talab,27.00108,80.88373
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,18,81432144026,Itaunja,27.06729,80.89501
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,19,81432144030,Gomti Nagar Ex,26.84041,81.00944
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,20,81432147001,Arjunganj,26.80726,80.99811
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,21,81432147004,Anand Nagar,26.82169,80.92019
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,22,81432147008,CMS_Kanpur Road,26.78976,80.8943
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,23,81432147033,Kukrail_LCS_uppcb,26.90727,80.9852
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,24,81432147043,Amrapali Yojna,26.88655,80.86085
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,25,81432147044,Rahta,27.03761,80.65654
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,26,81432147045,Qaiserbagh,26.84706,80.93305
