dataset_key,city,x,y,n_sensors,pearson_r,spearman_r,spearman_permutation_p_two_sided,x_median,y_median
chicago_lcs_corrected_no_collocation,Chicago,nearest_neighbor_km,period_mean_pm25_ugm3,277,-0.058733354166980695,-0.10667966036955043,0.07578484303139373,1.3694120586091307,10.5298755186722
chicago_lcs_corrected_no_collocation,Chicago,nearest_neighbor_km,period_sd_daily_pm25_ugm3,277,0.004130336870220643,-0.010626636151915976,0.8618276344731054,1.3694120586091307,5.3207641618061
chicago_lcs_corrected_no_collocation,Chicago,nearest_neighbor_km,record_uptime_pct,277,0.08480372081553214,0.005778446886326434,0.9272145570885822,1.3694120586091307,99.58677685950413
chicago_lcs_corrected_no_collocation,Chicago,nearest_neighbor_km,daily_availability_pct,277,0.08480372081553214,0.005778446886326434,0.9186162767446511,1.3694120586091307,99.58677685950413
chicago_lcs_corrected_no_collocation,Chicago,nearest_neighbor_km,longest_missing_gap_days,277,-0.05433842329366538,-0.014416771200585819,0.8074385122975405,1.3694120586091307,1.0
dhaka_lcs,Dhaka,nearest_neighbor_km,period_mean_pm25_ugm3,35,0.4151681295444369,0.40070086923599246,0.01739652069586083,1.5747704442979846,54.32245672233662
dhaka_lcs,Dhaka,nearest_neighbor_km,period_sd_daily_pm25_ugm3,35,0.353775335262118,0.29950953394799434,0.07858428314337132,1.5747704442979846,48.31557646609234
dhaka_lcs,Dhaka,nearest_neighbor_km,record_uptime_pct,35,-0.04043194554603384,-0.2238262637879958,0.1965606878624275,1.5747704442979846,87.63698630136987
dhaka_lcs,Dhaka,nearest_neighbor_km,daily_availability_pct,35,0.1026102878729891,0.02741935483870968,0.8734253149370126,1.5747704442979846,92.6027397260274
dhaka_lcs,Dhaka,nearest_neighbor_km,longest_missing_gap_days,35,-0.30529647089073936,-0.2999869573723391,0.08258348330333934,1.5747704442979846,20.0
lucknow_lcs,Lucknow,nearest_neighbor_km,period_mean_pm25_ugm3,71,0.1839219817592598,0.11794398958404362,0.32693461307738453,1.9272570308506614,59.48726664508471
lucknow_lcs,Lucknow,nearest_neighbor_km,period_sd_daily_pm25_ugm3,71,0.2373362551205875,0.05629716664775123,0.6394721055788842,1.9272570308506614,51.816085825961075
lucknow_lcs,Lucknow,nearest_neighbor_km,record_uptime_pct,71,-0.06522910754439196,-0.039527084238531324,0.7506498700259948,1.9272570308506614,73.21917808219179
lucknow_lcs,Lucknow,nearest_neighbor_km,daily_availability_pct,71,0.0034000991814712653,0.03684286731692812,0.7590481903619276,1.9272570308506614,81.36986301369863
lucknow_lcs,Lucknow,nearest_neighbor_km,longest_missing_gap_days,71,-0.06839598936974793,-0.061478124788048386,0.6170765846830634,1.9272570308506614,31.0
