dataset_key,city,sensor_id,station_name,latitude,longitude,period_mean_pm25_ugm3,record_uptime_pct,daily_availability_pct,longest_missing_gap_days,nearest_neighbor_km,feature_set,optimal_k,cluster
chicago_lcs_corrected_no_collocation,Chicago,DACZY2913,Rogers Park 2,42.0027981,-87.67195804163265,10.583291666666666,99.17355371900828,99.17355371900828,1,1.4935811490400737,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAETQ5676,Montclare 2,41.922180350000005,-87.7986427254597,11.119211618257264,99.58677685950413,99.58677685950413,1,1.5191385963092159,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAEXF8484,Mount Greenwood 1,41.70576455,-87.710860211544,10.63643153526971,99.58677685950413,99.58677685950413,1,1.4895360652562195,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAHAJ0678,Ashburn 1,41.7522794,-87.73751065,10.802157676348546,99.58677685950413,99.58677685950413,1,1.151937542983362,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAHWZ2321,Albany Park 2,41.96237755,-87.70857185888067,11.316058091286308,99.58677685950413,99.58677685950413,1,1.4726423197942844,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAJHM7956,South Chicago 3,41.73775017864213,-87.53549803584423,10.89414937759336,99.58677685950413,99.58677685950413,1,1.303161959372108,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DALBP5360,Beverly 4,41.70569725,-87.67464569624644,9.55219917012448,99.58677685950413,99.58677685950413,1,1.4717208330690603,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DALUY0194,Near North Side 2,41.9079403,-87.63684281786847,10.76966804979253,99.58677685950413,99.58677685950413,1,1.482845375268821,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAMWS8859,North Lawndale 2,41.865807399999994,-87.71918399847682,11.49564315352697,99.58677685950413,99.58677685950413,1,1.302286683900499,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAPBK7657,South Lawndale 2,41.8402538,-87.70343516174668,10.983817427385892,99.58677685950413,99.58677685950413,1,1.3572786696600183,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAPJK7781,Near West Side 2,41.87791765,-87.66857540000001,9.656680497925311,99.58677685950413,99.58677685950413,1,1.1927664871828398,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAREG6245,Lake View 5,41.93525075,-87.6725314,10.34427385892116,99.58677685950413,99.58677685950413,1,1.472147095358334,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DARLP7776,Armour Square 2,41.840014499999995,-87.63555596912866,10.83427385892116,99.58677685950413,99.58677685950413,1,1.3037911197027972,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DATLR2184,Brighton Park 1,41.82784155,-87.70286514736534,11.652904564315357,99.58677685950413,99.58677685950413,1,1.3809888441155325,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAUPG9028,Portage Park 2,41.9627009,-87.76268011146504,10.909751037344398,99.58677685950413,99.58677685950413,1,1.4713112353684648,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAWAP1896,Greater Grand Crossing 5,41.7516673,-87.61940269812234,10.098921161825729,99.58677685950413,99.58677685950413,1,1.358168996354098,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAWUS6556,Ashburn 5,41.73545185,-87.68498598766976,10.147593360995849,99.58677685950413,99.58677685950413,1,0.9051412138914378,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DAYYE9472,Hyde Park 3,41.7847049,-87.58248692116234,10.343609958506224,99.58677685950413,99.58677685950413,1,0.9239827740233284,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBCBA3610,Austin 5,41.8669061,-87.753564390105,10.743278008298756,99.58677685950413,99.58677685950413,1,1.3120780712407443,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBDBP2246,Greater Grand Crossing 4,41.751726399999995,-87.60303067276175,9.837302904564314,99.58677685950413,99.58677685950413,1,1.358168996354098,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBDSX9338,South Shore 2,41.76396055,-87.56920031233949,10.955809128630706,99.58677685950413,99.58677685950413,1,1.3726847852304098,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBFUZ7169,South Chicago 4,41.73860965,-87.55239535029682,10.963443983402488,99.58677685950413,99.58677685950413,1,1.338583299435727,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBIRF2035,Gage Park 4,41.79007765,-87.70310395085426,12.534107883817429,99.58677685950413,99.58677685950413,1,1.3664010591048699,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBIZF0451,West Pullman 2,41.6758357,-87.63729348709609,11.17940928270042,97.93388429752066,97.93388429752066,2,1.3660808942121605,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBJPV1452,Irving Park 2,41.94881145,-87.70812985315226,11.822614107883815,99.58677685950413,99.58677685950413,1,1.1926191629401561,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBLXJ4454,New City 5,41.802394199999995,-87.66940364304637,11.08232365145228,99.58677685950413,99.58677685950413,1,1.3684713480922368,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBMHJ0743,Archer Heights 4,41.802709500000006,-87.7373057324682,9.910290456431536,99.58677685950413,99.58677685950413,1,1.3562561061448652,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBTKW5792,Austin 8,41.8912125,-87.76984190347045,10.484896265560163,99.58677685950413,99.58677685950413,1,1.3950229116861053,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBYCW6873,Norwood Park 4,41.97643085,-87.79850802324188,9.810622406639002,99.58677685950413,99.58677685950413,1,1.475251910015471,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DBZCJ6205,Auburn Gresham 3,41.73924395,-87.63654310138114,11.82375,99.17355371900828,99.17355371900828,1,1.3503816467530037,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCABM0358,South Lawndale 6,41.840363100000005,-87.73770467096696,12.080539419087136,99.58677685950413,99.58677685950413,1,1.3926027859398022,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCAFN1583,South Lawndale 5,41.827545400000005,-87.73584967759197,11.621327800829874,99.58677685950413,99.58677685950413,1,1.2292239117382688,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCFVE7122,New City 3,41.8017657,-87.63592810040294,12.364107883817429,99.58677685950413,99.58677685950413,1,1.3581480237562409,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCHTB8281,Morgan Park 2,41.689594850000006,-87.65379678317397,10.41804979253112,99.58677685950413,99.58677685950413,1,1.3278656222147436,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCIJQ7018,West Ridge 6,42.002863700000006,-87.70792946030201,10.391327800829876,99.58677685950413,99.58677685950413,1,1.452643796141766,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCIRD2804,Near South Side 1,41.86735079697037,-87.61884913697226,9.528215767634856,99.58677685950413,99.58677685950413,1,1.376401657105254,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCQTB2627,Jefferson Park 2,41.9760533,-87.76267965049084,10.5151867219917,99.58677685950413,99.58677685950413,1,1.4362515035940426,location_pm_uptime_density,2,0
chicago_lcs_corrected_no_collocation,Chicago,DCRJT8545,Greater Grand Crossing 6,41.75146495,-87.63629560000001,11.139541666666666,99.17355371900828,99.17355371900828,1,1.3590702022503351,location_pm_uptime_density,2,0
