dataset_key,city,date,sample_size,daily_reference_mean_ugm3,daily_spatial_cv,missing_pct,daily_valid_sensor_count,ape_median_pct,absolute_error_median_ugm3,feature_set,k,selection,cluster,cluster_majority_city
chicago_lcs_corrected_no_collocation,Chicago,2025-09-01,10,8.712592592592591,0.2077989846589422,2.52707581227437,270,4.194014623363388,0.3654074074074085,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-02,10,10.006037037037036,0.1579173764829563,2.52707581227437,270,3.2980089797640693,0.33,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-03,10,11.316259259259258,0.1074714634858461,2.52707581227437,270,1.844609035180465,0.2087407407407422,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-04,10,13.181814814814816,0.088054465049671,2.52707581227437,270,1.553767957539713,0.2048148148148154,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-05,10,12.113444444444443,0.1197019624684414,2.52707581227437,270,1.73727997358308,0.2104444444444455,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-06,10,4.645407407407408,0.1840031263337943,2.52707581227437,270,2.398226842919326,0.1114074074074071,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-07,10,6.542481481481482,0.1632901201437418,2.52707581227437,270,2.68275147610774,0.1755185185185199,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-08,10,7.150479704797047,0.1316668553106759,2.16606498194945,271,2.5799626376575246,0.1844797047970479,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-09,10,7.190553505535055,0.121013807647023,2.16606498194945,271,2.260653584038113,0.1625535055350564,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-10,10,10.212435424354242,0.1193600138596107,2.16606498194945,271,2.1205967690067498,0.2165645756457568,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-11,10,10.834723247232471,0.1808785672544434,2.16606498194945,271,2.074102329193087,0.2247232472324736,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-12,10,11.475830258302585,0.1101596849304052,2.16606498194945,271,1.9853052299876113,0.2278302583025819,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-13,10,14.238333333333332,0.0768394015957153,2.52707581227437,270,1.4140231768699585,0.2013333333333342,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-14,10,17.575370370370372,0.087780381098817,2.52707581227437,270,1.5952458722749636,0.2803703703703704,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-15,10,13.01634328358209,0.1139511157475172,3.2490974729241797,268,1.7490067022514677,0.2276567164179095,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-16,10,12.702453531598511,0.1288316314630428,2.88808664259927,269,2.4440438284322945,0.3104535315985135,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-17,10,13.212118959107809,0.1401551981106888,2.88808664259927,269,2.7966747888330494,0.3694999999999995,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-18,10,15.546096654275091,0.1205758623382341,2.88808664259927,269,2.340802027786401,0.3639033457249052,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-19,10,14.175836431226765,0.1080302824461986,2.88808664259927,269,1.8117903128523871,0.2568364312267661,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-20,10,16.411194029850748,0.0958376743401666,3.2490974729241797,268,1.774362239097826,0.2911940298507485,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-21,10,14.448736059479554,0.0875711669630974,2.88808664259927,269,1.4967671887020062,0.2162639405204451,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-22,10,7.903420074349443,0.1215889563714828,2.88808664259927,269,2.3460738845354387,0.1854200743494436,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-23,10,11.756096654275094,0.1115761442358633,2.88808664259927,269,2.1903528660285443,0.2575000000000003,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-24,10,4.4084758364312275,0.129871016762877,2.88808664259927,269,2.3029311566094357,0.1015241635687731,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-25,10,5.884498141263941,0.1403270764324991,2.88808664259927,269,2.7444675380465253,0.16149814126394,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-26,10,10.03438661710037,0.1237335175817009,2.88808664259927,269,2.2461424469760054,0.2253866171003711,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-27,10,10.00589552238806,0.1199018248601243,3.2490974729241797,268,2.22764191260376,0.2228955223880593,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-28,10,11.89544776119403,0.0983962006937574,3.2490974729241797,268,1.9129354638360392,0.2275522388059707,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-29,10,9.336804511278196,0.133361404004729,3.9711191335739997,266,2.7653517690118172,0.2581954887218067,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-09-30,10,12.021947565543073,0.1488010596229156,3.6101083032490897,267,3.06895004766561,0.3689475655430687,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-01,10,7.723843283582089,0.1287999136367096,3.2490974729241797,268,2.7038777965111014,0.2088432835820901,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-02,10,6.937406015037594,0.1040656653377754,3.9711191335739997,266,2.11309507681471,0.1465939849624069,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-03,10,11.635924528301889,0.0903635341432312,4.33212996389891,265,1.693681247405579,0.1970754716981151,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-04,10,13.548571428571428,0.085991830093843,3.9711191335739997,266,1.6269506537326073,0.220428571428572,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-05,10,10.450328467153284,0.0876258005719393,1.08303249097473,274,1.7064388714076406,0.1783284671532818,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-06,10,7.193210332103321,0.0965173249228422,2.16606498194945,271,1.9045738088398307,0.1370000000000004,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-07,10,5.202029520295203,0.1856277792438466,2.16606498194945,271,3.3261925873381735,0.1730295202952025,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-08,10,5.853186813186814,0.1924741227952417,1.44404332129963,273,3.6593196155001575,0.2141868131868136,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-09,10,5.166985294117647,0.1463945257358222,1.8050541516245502,272,2.5743194205291258,0.1330147058823545,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-10,10,6.934132841328414,0.1132637509628239,2.16606498194945,271,2.0930207806721146,0.1451328413284134,environment_only,3,k_equals_city_count,2,Chicago
chicago_lcs_corrected_no_collocation,Chicago,2025-10-11,10,6.120220588235294,0.153432390344892,1.8050541516245502,272,2.6342283894995995,0.1612205882352935,environment_only,3,k_equals_city_count,2,Chicago
