cluster,n_rows,season_mode,daily_reference_mean_ugm3_mean,daily_reference_mean_ugm3_median,daily_spatial_sd_ugm3_mean,daily_spatial_sd_ugm3_median,daily_spatial_cv_mean,daily_spatial_cv_median,missing_pct_mean,missing_pct_median,valid_sensor_fraction_mean,valid_sensor_fraction_median,ape_median_pct_mean,ape_median_pct_median,absolute_error_median_ugm3_mean,absolute_error_median_ugm3_median,scope,dataset_key,city,feature_set,optimal_k
0,80,SON,7.82216048958459,7.191881918819188,1.0794373272361422,1.0517415348177033,0.14282158706110729,0.13537270062364234,1.931407942238264,1.8050541516245502,0.9806859205776173,0.9819494584837545,2.63317166077284,2.5934847176485034,0.2022239130778895,0.19212924625569824,per_city_daily,chicago_lcs_corrected_no_collocation,Chicago,daily_environment_plus_error_n10,4
1,53,DJF,18.21069758164857,17.834779411764707,2.4145991570510272,2.3562280147608257,0.1355293281961543,0.1314241579792177,2.1933110823513347,2.16606498194945,0.9780668891764865,0.9783393501805054,2.6951118697199057,2.601913735390575,0.4800039301265473,0.473420664206639,per_city_daily,chicago_lcs_corrected_no_collocation,Chicago,daily_environment_plus_error_n10,4
2,68,SON,10.25807822224229,10.182193308550186,1.2339200575755633,1.206149133675105,0.12383185762865831,0.1233140139878871,3.015502229772769,2.88808664259927,0.9698449777022721,0.9711191335740073,2.285209445985924,2.2604231612908965,0.2288567306161071,0.22166204690831565,per_city_daily,chicago_lcs_corrected_no_collocation,Chicago,daily_environment_plus_error_n10,4
3,40,DJF,6.419672189067098,6.065891229519482,1.5190021228875465,1.4681119644708085,0.2476099589156342,0.22114106760823782,2.635379061371837,2.52707581227437,0.9736462093862815,0.9747292418772563,4.005912992276436,3.85772748445315,0.2571678705997102,0.24930967395494824,per_city_daily,chicago_lcs_corrected_no_collocation,Chicago,daily_environment_plus_error_n10,4
0,188,JJA,22.511679281197114,20.627169012995115,7.058390264160143,6.48829664811484,0.3285326889611239,0.328763138580205,11.95288753799392,12.440476190476195,0.9357142857142857,0.9428571428571428,6.1340008433307185,6.041794231795127,1.310573341977183,1.20753345273386,per_city_daily,dhaka_lcs,Dhaka,daily_environment_plus_error_n10,4
1,143,DJF,98.06979774509954,90.07131779754062,29.875955693778042,28.453380979579983,0.3126542013322515,0.3006317419278712,11.327006327006321,9.64285714285715,0.9278721278721278,0.9428571428571428,5.754951081938241,5.471964174195302,5.494107767346996,5.27887911986776,per_city_daily,dhaka_lcs,Dhaka,daily_environment_plus_error_n10,4
2,14,SON,72.75044886429261,71.8106725320219,44.116169792164726,35.12559839471925,0.5879619685916234,0.5418242447356749,10.48469387755102,8.869047619047615,0.9591836734693878,0.9714285714285714,11.594901396267323,10.966914961549204,8.748493721965598,6.852540446193174,per_city_daily,dhaka_lcs,Dhaka,daily_environment_plus_error_n10,4
3,20,MAM,27.938475811577774,25.92204202710375,7.548515153995558,6.817385447186527,0.27288301983215796,0.25473989808098013,58.52976190476189,58.57142857142857,0.44142857142857145,0.42857142857142855,3.9416871058606424,3.544163153507701,1.099191082928197,0.9696772003157896,per_city_daily,dhaka_lcs,Dhaka,daily_environment_plus_error_n10,4
0,200,JJA,27.855667640911747,25.183076279119426,6.120241609198747,5.666906625047273,0.24120763014503235,0.21834529501011024,25.401701877934265,26.320422535211254,0.8212676056338029,0.8169014084507042,4.683791149085791,4.258123568448858,1.1942059573271209,1.0821254273024543,per_city_daily,lucknow_lcs,Lucknow,daily_environment_plus_error_n10,4
1,92,MAM,71.20007174906415,71.79183905827287,17.30718003449928,17.0500516944769,0.2589832604110296,0.2603627692263695,37.7966166564605,36.73708920187793,0.6667176974892834,0.676056338028169,4.966747200297658,5.018410497781418,3.3309547746829047,3.2709808381141947,per_city_daily,lucknow_lcs,Lucknow,daily_environment_plus_error_n10,4
2,8,DJF,149.24485111188383,158.0724290022915,131.47443710294428,141.7844276316286,0.8745889334218032,0.8713792703927423,31.396713615023472,30.36971830985916,0.7341549295774648,0.7464788732394366,14.203096941885256,13.63273335586155,21.17504241111449,22.54030179307839,per_city_daily,lucknow_lcs,Lucknow,daily_environment_plus_error_n10,4
3,65,DJF,143.56326226935045,136.84811955481112,37.23903692423938,31.088324291020015,0.25649963055613945,0.2269806528949388,23.626760563380277,24.99999999999999,0.8114842903575299,0.8028169014084507,4.959263355141348,4.52442596618638,7.240041608231855,6.146043573591896,per_city_daily,lucknow_lcs,Lucknow,daily_environment_plus_error_n10,4
