model_name,target,features,n_rows,n_features,full_r2,full_adjusted_r2,full_rmse,full_mae,cv_r2,cv_adjusted_r2,cv_rmse,cv_mae,sample_size,time_scale
period_error_n_only,ape_median_pct,log_sample_size,1297,1,0.7011603224387981,0.7009295582090211,0.6089553672809748,0.31478048868262615,0.6982903623778165,0.6980573819626642,0.6118724859055267,0.31505313936211665,all_period_n,study_period
period_error_n_fraction,ape_median_pct,"log_sample_size, sampling_fraction",1297,2,0.7072278015053557,0.7067752942433856,0.6027417157992715,0.287732634454584,0.7027041877360256,0.702244688798987,0.6073803380585768,0.28943846410414,all_period_n,study_period
period_error_n_city,ape_median_pct,"log_sample_size, sampling_fraction, city_Dhaka, city_Lucknow",1297,4,0.7151257163948246,0.7142437526684928,0.5945562600088289,0.29742628642723157,0.7077392535619353,0.7068344215296194,0.6022150123718817,0.3002367305904066,all_period_n,study_period
period_error_n_support,ape_median_pct,"log_sample_size, sampling_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_reference_sd",377,5,0.7302213889230025,0.7265855585850376,0.8531679360555452,0.5646889856896913,0.713962479291824,0.7101075261825494,0.8785010211436122,0.5750976375230757,all_period_n,study_period
period_error_n_only,absolute_error_median_ugm3,log_sample_size,1297,1,0.3502769234868086,0.3497752068254084,0.497993949937257,0.25016362235683387,0.348347218206826,0.34784401142551846,0.49873293328870416,0.2501806970836912,all_period_n,study_period
period_error_n_fraction,absolute_error_median_ugm3,"log_sample_size, sampling_fraction",1297,2,0.4106718593118478,0.40976099665236065,0.4742840396367352,0.19823598160273442,0.40720775031891265,0.40629153354969927,0.475675933379979,0.19841077287920983,all_period_n,study_period
period_error_n_city,absolute_error_median_ugm3,"log_sample_size, sampling_fraction, city_Dhaka, city_Lucknow",1297,4,0.5545164728663996,0.5531372669000417,0.41235925406695967,0.18962189860853287,0.5464721058409416,0.5450679947135142,0.41606570744765103,0.19103665508293197,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,"log_sample_size, sampling_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_reference_sd",377,5,0.6528698292667211,0.6481915250789411,0.6107092332886471,0.39804916340268365,0.6288332207652381,0.6238309730666564,0.6314992721772853,0.40595323776942566,all_period_n,study_period
