cluster,n_rows,city_mode,season_mode,daily_reference_mean_ugm3_mean,daily_reference_mean_ugm3_median,daily_spatial_sd_ugm3_mean,daily_spatial_sd_ugm3_median,daily_spatial_cv_mean,daily_spatial_cv_median,missing_pct_mean,missing_pct_median,valid_sensor_fraction_mean,valid_sensor_fraction_median,ape_median_pct_mean,ape_median_pct_median,absolute_error_median_ugm3_mean,absolute_error_median_ugm3_median,scope,feature_set,k,selection
0,348,Dhaka,DJF,57.280050762344395,37.505596616336476,20.09570556207386,11.867267109593737,0.34328627654005056,0.31952991213477433,11.734588565878022,11.130952380952369,0.932071740789565,0.9428571428571428,6.355054589636987,5.886379676384934,3.6576742131402176,2.214941315232088,global_daily,environment_only,3,k_equals_city_count
1,382,Lucknow,MAM,59.02383744227538,38.31393859084967,14.82505748783686,8.756217598951448,0.25245123946737236,0.2294636032012876,29.96123336879918,27.69953051643193,0.7610142530576126,0.7887323943661971,4.80478898847759,4.43787090181322,2.8506004742823436,1.6684850781328038,global_daily,environment_only,3,k_equals_city_count
2,241,Chicago,SON,10.561311276636106,9.278215613382898,1.4896074287686143,1.3395209810837592,0.15325205823509916,0.1382093841431663,2.4117321030004306,2.52707581227437,0.9758826789699955,0.9747292418772563,2.7764540413903833,2.6389439691802115,0.2799464475054849,0.2422193308550184,global_daily,environment_only,3,k_equals_city_count
0,240,Chicago,SON,10.582335086059901,9.307510062330547,1.483279181464942,1.3377505812240051,0.151617972371514,0.13801034970976278,2.408243080625748,2.52707581227437,0.9759175691937423,0.9747292418772563,2.7661454717160274,2.638722838569451,0.27990623680790205,0.24129485061269346,global_daily,environment_only,7,best_silhouette
1,159,Dhaka,DJF,93.87220172322105,84.34520609318996,29.348320276155036,27.858454652330337,0.3230722573662216,0.3082429630047658,11.272836178496553,9.64285714285715,0.9295597484276729,0.9428571428571428,5.982023028282396,5.571009102691212,5.424663649232287,5.263802729177968,global_daily,environment_only,7,best_silhouette
2,11,Lucknow,DJF,126.36225837036801,138.50660948822463,113.91870298401396,102.27989739747954,0.8738888483749153,0.8602465203756607,26.522773001646236,25.762910798122057,0.8000731662703494,0.7887323943661971,14.902451882177024,13.800627819005546,18.877991610166095,19.299434731633085,global_daily,environment_only,7,best_silhouette
3,131,Lucknow,DJF,116.4737276678464,110.30147022577148,29.061207952510877,24.47783056978227,0.24474832313742162,0.2235513813628799,28.52975358512397,29.04929577464787,0.7627935552244767,0.7605633802816901,4.743415808339045,4.412512005145251,5.658002926870366,4.791232152376239,global_daily,environment_only,7,best_silhouette
4,195,Lucknow,JJA,26.54897109283699,24.335576638816185,5.867126814633073,5.455828005982401,0.24043663933704085,0.2201357991009583,25.617482673820696,26.34976525821594,0.8201434246504667,0.8169014084507042,4.6693353917867135,4.290911755562037,1.1445191072375271,1.0576345604878234,global_daily,environment_only,7,best_silhouette
5,53,Lucknow,MAM,35.065413926978856,31.129267310789047,10.292742293875879,8.668574695195037,0.2927179344319211,0.2876268965276513,49.072042316793855,45.83333333333332,0.5447325462207205,0.5774647887323944,5.080934491138247,5.370578651769837,1.8218657666960885,1.517836425852721,global_daily,environment_only,7,best_silhouette
6,182,Dhaka,JJA,21.301316612487902,19.91956312355571,6.831724801079297,6.375195732935563,0.3351809813076871,0.33067851901552414,11.617145747496439,11.726190476190474,0.9379690448798234,0.9428571428571428,6.241609170512899,6.121345586861624,1.269075172843886,1.1721339550608674,global_daily,environment_only,7,best_silhouette
