scope,feature_set,k,n_rows,inertia,silhouette,city_purity,majority_city_prediction_accuracy,seed_used,iterations
global_daily,environment_only,2,971,3697.8910517686727,0.4589162455320732,0.6240988671472708,0.6240988671472708,3194071415,21
global_daily,environment_only,3,971,2401.4161091712604,0.4608545538690534,0.9701338825952626,0.9701338825952626,1514065078,6
global_daily,environment_only,4,971,1968.537111623658,0.45164947021555885,0.9773429454170958,0.9773429454170958,3721169113,14
global_daily,environment_only,5,971,1587.5196498752614,0.44703469490626696,0.9351184346035015,0.9351184346035015,2973181677,10
global_daily,environment_only,6,971,1288.0570488535345,0.47633685856539126,0.9711637487126673,0.9711637487126673,1231911902,14
global_daily,environment_only,7,971,1030.8350547582668,0.489087352230105,0.9732234809474768,0.9732234809474768,3152882213,14
global_daily,environment_only,8,971,936.3098556698421,0.4845859401623726,0.9938208032955715,0.9938208032955715,3802798528,18
global_daily,environment_plus_error_n10,2,971,5189.96189121636,0.4322358559595627,0.6240988671472708,0.6240988671472708,2286026460,6
global_daily,environment_plus_error_n10,3,971,3753.0080237809243,0.4290651835333659,0.945417095777549,0.945417095777549,4242989697,8
global_daily,environment_plus_error_n10,4,971,2913.9456014000552,0.4437460340102633,0.9660144181256437,0.9660144181256437,1560438879,6
global_daily,environment_plus_error_n10,5,971,2327.2878364291437,0.4359772853079686,0.9062821833161689,0.9062821833161689,4045652692,17
global_daily,environment_plus_error_n10,6,971,1927.8324296579979,0.4438078715636344,0.9237899073120495,0.9237899073120495,568648520,12
global_daily,environment_plus_error_n10,7,971,1626.859475221912,0.46686160614483,0.9639546858908342,0.9639546858908342,3250700559,11
global_daily,environment_plus_error_n10,8,971,1433.8512891184905,0.45208088472924446,0.952626158599382,0.952626158599382,1004332298,23
