model_name,target,feature,coefficient,standardization_mean,standardization_sd,sample_size,time_scale
daily_error_environment_city_n5,absolute_error_median_ugm3,daily_spatial_cv,0.11299619147250031,0.25669962622958875,0.11970314268884846,5,daily
daily_error_environment_city_n5,absolute_error_median_ugm3,missing_pct,0.061969806560746354,16.156082589631183,13.368279676166422,5,daily
daily_error_environment_city_n5,absolute_error_median_ugm3,valid_sensor_fraction,0.31671878590620867,0.878715311968803,0.11985590889144286,5,daily
daily_error_environment_city_n5,absolute_error_median_ugm3,city_Dhaka,-4.6670354967982695,0.0,1.0,5,daily
daily_error_environment_city_n5,absolute_error_median_ugm3,city_Lucknow,-3.740044896086218,0.0,1.0,5,daily
daily_error_city_only_n10,ape_median_pct,intercept,3.7629899626521937,,,10,daily
daily_error_city_only_n10,ape_median_pct,city_Dhaka,2.310363990930409,0.0,1.0,10,daily
daily_error_city_only_n10,ape_median_pct,city_Lucknow,0.962635372409962,0.0,1.0,10,daily
daily_error_environment_n10,ape_median_pct,intercept,4.783624921623814,,,10,daily
daily_error_environment_n10,ape_median_pct,log_pm25,-0.2628466995327264,3.36291919324097,0.9713369727998672,10,daily
daily_error_environment_n10,ape_median_pct,log_spatial_sd,0.4043472280872617,2.0936521979352762,1.0241218731685318,10,daily
daily_error_environment_n10,ape_median_pct,daily_spatial_cv,1.8927085801334622,0.25669962622958875,0.11970314268884846,10,daily
daily_error_environment_n10,ape_median_pct,missing_pct,0.5142670012863961,16.156082589631183,13.368279676166422,10,daily
daily_error_environment_n10,ape_median_pct,valid_sensor_fraction,0.5390160909499186,0.878715311968803,0.11985590889144286,10,daily
daily_error_environment_support_n10,ape_median_pct,intercept,4.783624921623813,,,10,daily
daily_error_environment_support_n10,ape_median_pct,log_pm25,-0.2531582325749689,3.36291919324097,0.9713369727998672,10,daily
daily_error_environment_support_n10,ape_median_pct,log_spatial_sd,0.2782394018344151,2.0936521979352762,1.0241218731685318,10,daily
daily_error_environment_support_n10,ape_median_pct,daily_spatial_cv,1.9086953156173085,0.25669962622958875,0.11970314268884846,10,daily
daily_error_environment_support_n10,ape_median_pct,missing_pct,0.006701270600268204,16.156082589631183,13.368279676166422,10,daily
daily_error_environment_support_n10,ape_median_pct,valid_sensor_fraction,0.2080359913213908,0.878715311968803,0.11985590889144286,10,daily
daily_error_environment_support_n10,ape_median_pct,log_sensor_density,-0.13177995841809623,2.5228327142651463,0.7790641702585835,10,daily
daily_error_environment_support_n10,ape_median_pct,log_median_nearest_neighbor_km,0.1445851984084839,0.9699352750258642,0.08536819121057553,10,daily
daily_error_environment_support_n10,ape_median_pct,log_retained_sensor_count,-0.05386607596609582,4.390898691518157,0.8108002056662811,10,daily
daily_error_environment_city_n10,ape_median_pct,intercept,4.319120127456892,,,10,daily
daily_error_environment_city_n10,ape_median_pct,log_pm25,-0.2531582325749718,3.36291919324097,0.9713369727998672,10,daily
daily_error_environment_city_n10,ape_median_pct,log_spatial_sd,0.2782394018344162,2.0936521979352762,1.0241218731685318,10,daily
daily_error_environment_city_n10,ape_median_pct,daily_spatial_cv,1.908695315617308,0.25669962622958875,0.11970314268884846,10,daily
daily_error_environment_city_n10,ape_median_pct,missing_pct,0.006701270600266353,16.156082589631183,13.368279676166422,10,daily
daily_error_environment_city_n10,ape_median_pct,valid_sensor_fraction,0.2080359913213913,0.878715311968803,0.11985590889144286,10,daily
daily_error_environment_city_n10,ape_median_pct,city_Dhaka,0.4949303915488772,0.0,1.0,10,daily
daily_error_environment_city_n10,ape_median_pct,city_Lucknow,0.7802307146299112,0.0,1.0,10,daily
daily_error_city_only_n10,absolute_error_median_ugm3,intercept,0.4477344624833218,,,10,daily
daily_error_city_only_n10,absolute_error_median_ugm3,city_Dhaka,2.7722421981857583,0.0,1.0,10,daily
daily_error_city_only_n10,absolute_error_median_ugm3,city_Lucknow,2.201630554073116,0.0,1.0,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,intercept,2.4278060170439875,,,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,log_pm25,2.7297074876619867,3.36291919324097,0.9713369727998672,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,log_spatial_sd,-0.3943859358042237,2.0936521979352762,1.0241218731685318,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,daily_spatial_cv,1.5555990554706784,0.25669962622958875,0.11970314268884846,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,missing_pct,-2.225984660248174,16.156082589631183,13.368279676166422,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,valid_sensor_fraction,-1.6436041482783907,0.878715311968803,0.11985590889144286,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,intercept,2.4278060170439875,,,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,log_pm25,1.0151422326700636,3.36291919324097,0.9713369727998672,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,log_spatial_sd,2.3385475112392924,2.0936521979352762,1.0241218731685318,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,daily_spatial_cv,1.2640125431411617,0.25669962622958875,0.11970314268884846,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,missing_pct,-0.19277792112189862,16.156082589631183,13.368279676166422,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,valid_sensor_fraction,0.05689528057721959,0.878715311968803,0.11985590889144286,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,log_sensor_density,0.3835938509181034,2.5228327142651463,0.7790641702585835,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,log_median_nearest_neighbor_km,0.17609422530721067,0.9699352750258642,0.08536819121057553,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,log_retained_sensor_count,1.4604224218480883,4.390898691518157,0.8108002056662811,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,intercept,5.018070458753156,,,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,log_pm25,1.015142232670061,3.36291919324097,0.9713369727998672,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,log_spatial_sd,2.338547511239293,2.0936521979352762,1.0241218731685318,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,daily_spatial_cv,1.2640125431411569,0.25669962622958875,0.11970314268884846,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,missing_pct,-0.19277792112190348,16.156082589631183,13.368279676166422,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,valid_sensor_fraction,0.0568952805772193,0.878715311968803,0.11985590889144286,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,city_Dhaka,-4.146005384371524,0.0,1.0,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,city_Lucknow,-2.9648027542383106,0.0,1.0,10,daily
daily_error_city_only_n20,ape_median_pct,intercept,2.731226284742455,,,20,daily
daily_error_city_only_n20,ape_median_pct,city_Dhaka,0.5624318296727518,0.0,1.0,20,daily
daily_error_city_only_n20,ape_median_pct,city_Lucknow,0.5288824908825238,0.0,1.0,20,daily
daily_error_environment_n20,ape_median_pct,intercept,2.961377837091598,,,20,daily
daily_error_environment_n20,ape_median_pct,log_pm25,2.066883482998697,3.3634492361522774,0.9806034235399129,20,daily
daily_error_environment_n20,ape_median_pct,log_spatial_sd,-2.5508874452795234,2.093959528783177,1.0333191065458227,20,daily
daily_error_environment_n20,ape_median_pct,daily_spatial_cv,2.2344142788405534,0.25637002554521876,0.1200492133309178,20,daily
daily_error_environment_n20,ape_median_pct,missing_pct,-0.23862650087773435,15.293074864272107,12.040837049827976,20,daily
daily_error_environment_n20,ape_median_pct,valid_sensor_fraction,-0.35990076992398395,0.8876213555643271,0.10334450519838181,20,daily
daily_error_environment_support_n20,ape_median_pct,intercept,2.961377837091598,,,20,daily
daily_error_environment_support_n20,ape_median_pct,log_pm25,1.1191227127501975,3.3634492361522774,0.9806034235399129,20,daily
daily_error_environment_support_n20,ape_median_pct,log_spatial_sd,-1.230706046419313,2.093959528783177,1.0333191065458227,20,daily
daily_error_environment_support_n20,ape_median_pct,daily_spatial_cv,2.0780346451341107,0.25637002554521876,0.1200492133309178,20,daily
daily_error_environment_support_n20,ape_median_pct,missing_pct,-0.12088614424393236,15.293074864272107,12.040837049827976,20,daily
daily_error_environment_support_n20,ape_median_pct,valid_sensor_fraction,0.11999236631895774,0.8876213555643271,0.10334450519838181,20,daily
daily_error_environment_support_n20,ape_median_pct,log_sensor_density,-0.1003601899419441,2.5249675992357243,0.7868125331774655,20,daily
daily_error_environment_support_n20,ape_median_pct,log_median_nearest_neighbor_km,0.44271177657094746,0.9704276353665875,0.08616268987824963,20,daily
daily_error_environment_support_n20,ape_median_pct,log_retained_sensor_count,0.6915768727085664,4.407342271010255,0.8107029723946405,20,daily
daily_error_environment_city_n20,ape_median_pct,intercept,3.2975212078325242,,,20,daily
daily_error_environment_city_n20,ape_median_pct,log_pm25,1.119122712750198,3.3634492361522774,0.9806034235399129,20,daily
daily_error_environment_city_n20,ape_median_pct,log_spatial_sd,-1.2307060464193136,2.093959528783177,1.0333191065458227,20,daily
daily_error_environment_city_n20,ape_median_pct,daily_spatial_cv,2.0780346451341116,0.25637002554521876,0.1200492133309178,20,daily
daily_error_environment_city_n20,ape_median_pct,missing_pct,-0.12088614424393282,15.293074864272107,12.040837049827976,20,daily
daily_error_environment_city_n20,ape_median_pct,valid_sensor_fraction,0.119992366318956,0.8876213555643271,0.10334450519838181,20,daily
daily_error_environment_city_n20,ape_median_pct,city_Dhaka,-1.1520125108144017,0.0,1.0,20,daily
daily_error_environment_city_n20,ape_median_pct,city_Lucknow,0.18452472921474267,0.0,1.0,20,daily
daily_error_city_only_n20,absolute_error_median_ugm3,intercept,0.3218275975061822,,,20,daily
daily_error_city_only_n20,absolute_error_median_ugm3,city_Dhaka,1.4628287673509466,0.0,1.0,20,daily
daily_error_city_only_n20,absolute_error_median_ugm3,city_Lucknow,1.5137233019553038,0.0,1.0,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,intercept,1.5164865560846248,,,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,log_pm25,4.832989602183058,3.3634492361522774,0.9806034235399129,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,log_spatial_sd,-3.9808575584526396,2.093959528783177,1.0333191065458227,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,daily_spatial_cv,2.5256150294849955,0.25637002554521876,0.1200492133309178,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,missing_pct,-1.8104919563768236,15.293074864272107,12.040837049827976,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,valid_sensor_fraction,-1.5154102659049176,0.8876213555643271,0.10334450519838181,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,intercept,1.5164865560846246,,,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,log_pm25,2.815990969214039,3.3634492361522774,0.9806034235399129,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,log_spatial_sd,-0.9335444232949773,2.093959528783177,1.0333191065458227,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,daily_spatial_cv,2.1743200061028074,0.25637002554521876,0.1200492133309178,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,missing_pct,-0.5242777831036857,15.293074864272107,12.040837049827976,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,valid_sensor_fraction,0.009306126152630184,0.8876213555643271,0.10334450519838181,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,log_sensor_density,0.12125891591785198,2.5249675992357243,0.7868125331774655,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,log_median_nearest_neighbor_km,0.5605613921414172,0.9704276353665875,0.08616268987824963,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,log_retained_sensor_count,1.5791963138960303,4.407342271010255,0.8107029723946405,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,intercept,3.37473061148962,,,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,log_pm25,2.815990969214042,3.3634492361522774,0.9806034235399129,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,log_spatial_sd,-0.933544423294981,2.093959528783177,1.0333191065458227,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,daily_spatial_cv,2.1743200061028105,0.25637002554521876,0.1200492133309178,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,missing_pct,-0.5242777831036822,15.293074864272107,12.040837049827976,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,valid_sensor_fraction,0.009306126152630502,0.8876213555643271,0.10334450519838181,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,city_Dhaka,-3.639963075933158,0.0,1.0,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,city_Lucknow,-1.5589271266048355,0.0,1.0,20,daily
period_error_n_only,ape_median_pct,intercept,0.8990097618077056,,,all_period_n,study_period
period_error_n_only,ape_median_pct,log_sample_size,-0.9327709222144185,4.456122348204461,1.0588546074145273,all_period_n,study_period
period_error_n_fraction,ape_median_pct,intercept,0.8990097618077058,,,all_period_n,study_period
period_error_n_fraction,ape_median_pct,log_sample_size,-1.0346793027976604,4.456122348204461,1.0588546074145273,all_period_n,study_period
period_error_n_fraction,ape_median_pct,sampling_fraction,0.13384461665960307,0.5029522331023474,0.2853308279975079,all_period_n,study_period
period_error_n_city,ape_median_pct,intercept,0.8451396330203386,,,all_period_n,study_period
period_error_n_city,ape_median_pct,log_sample_size,-0.8736729272046176,4.456122348204461,1.0588546074145273,all_period_n,study_period
period_error_n_city,ape_median_pct,sampling_fraction,0.010074401952276494,0.5029522331023474,0.2853308279975079,all_period_n,study_period
period_error_n_city,ape_median_pct,city_Dhaka,0.6330063670733677,0.0,1.0,all_period_n,study_period
period_error_n_city,ape_median_pct,city_Lucknow,0.3549300501724181,0.0,1.0,all_period_n,study_period
period_error_n_support,ape_median_pct,intercept,1.2174874700803322,,,all_period_n,study_period
period_error_n_support,ape_median_pct,log_sample_size,-1.1263443377805717,4.238673609931581,1.1277843274627082,all_period_n,study_period
period_error_n_support,ape_median_pct,sampling_fraction,-0.05845690713682254,0.5038560582389471,0.2842646537558661,all_period_n,study_period
period_error_n_support,ape_median_pct,log_sensor_density,-0.09840066013003933,3.2362350989584723,0.7932341265589791,all_period_n,study_period
period_error_n_support,ape_median_pct,log_median_nearest_neighbor_km,0.36938337940845023,0.9086131092459016,0.08168578290995215,all_period_n,study_period
period_error_n_support,ape_median_pct,log_reference_sd,-0.07058335168430482,1.2842047524832105,0.9160411266942265,all_period_n,study_period
period_error_n_only,absolute_error_median_ugm3,intercept,0.25819907240077355,,,all_period_n,study_period
period_error_n_only,absolute_error_median_ugm3,log_sample_size,-0.36565008933822896,4.456122348204461,1.0588546074145273,all_period_n,study_period
period_error_n_fraction,absolute_error_median_ugm3,intercept,0.25819907240077355,,,all_period_n,study_period
period_error_n_fraction,absolute_error_median_ugm3,log_sample_size,-0.5439699050053962,4.456122348204461,1.0588546074145273,all_period_n,study_period
period_error_n_fraction,absolute_error_median_ugm3,sampling_fraction,0.23420200806044256,0.5029522331023474,0.2853308279975079,all_period_n,study_period
period_error_n_city,absolute_error_median_ugm3,intercept,0.12632039960362773,,,all_period_n,study_period
period_error_n_city,absolute_error_median_ugm3,log_sample_size,-0.16231879915690942,4.456122348204461,1.0588546074145273,all_period_n,study_period
period_error_n_city,absolute_error_median_ugm3,sampling_fraction,-0.05906683696306934,0.5029522331023474,0.2853308279975079,all_period_n,study_period
period_error_n_city,absolute_error_median_ugm3,city_Dhaka,1.2260234682596085,0.0,1.0,all_period_n,study_period
period_error_n_city,absolute_error_median_ugm3,city_Lucknow,0.9462888707632674,0.0,1.0,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,intercept,0.5162279211385709,,,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,log_sample_size,-0.32521644104509595,4.238673609931581,1.1277843274627082,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,sampling_fraction,-0.12312570275533119,0.5038560582389471,0.2842646537558661,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,log_sensor_density,-0.21068068001400192,3.2362350989584723,0.7932341265589791,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,log_median_nearest_neighbor_km,0.045401149374209394,0.9086131092459016,0.08168578290995215,all_period_n,study_period
period_error_n_support,absolute_error_median_ugm3,log_reference_sd,0.30920036167741094,1.2842047524832105,0.9160411266942265,all_period_n,study_period
