dataset_key,city,sensor_id,station_name,latitude,longitude,record_uptime_pct,daily_availability_pct,longest_missing_gap_days,period_mean_pm25_ugm3,period_median_daily_pm25_ugm3,period_sd_daily_pm25_ugm3,nearest_neighbor_km,city_key,log_longest_missing_gap_days,log_nearest_neighbor_km
chicago_lcs_corrected_no_collocation,Chicago,DACZY2913,Rogers Park 2,42.0027981,-87.67195804163265,99.17355371900828,99.17355371900828,1,10.583291666666666,9.315,5.450156690228954,1.4935811490400737,chicago,0.6931471805599453,0.9137198897055183
chicago_lcs_corrected_no_collocation,Chicago,DAETQ5676,Montclare 2,41.922180350000005,-87.7986427254597,99.58677685950413,99.58677685950413,1,11.119211618257264,9.93,5.5976910977531125,1.5191385963092159,chicago,0.6931471805599453,0.923917016225791
chicago_lcs_corrected_no_collocation,Chicago,DAEXF8484,Mount Greenwood 1,41.70576455,-87.710860211544,99.58677685950413,99.58677685950413,1,10.63643153526971,9.36,5.885928038947473,1.4895360652562195,chicago,0.6931471805599453,0.9120963739428336
chicago_lcs_corrected_no_collocation,Chicago,DAHAJ0678,Ashburn 1,41.7522794,-87.73751065,99.58677685950413,99.58677685950413,1,10.802157676348546,9.38,5.376921702210406,1.151937542983362,chicago,0.6931471805599453,0.7663686191011209
chicago_lcs_corrected_no_collocation,Chicago,DAHWZ2321,Albany Park 2,41.96237755,-87.70857185888067,99.58677685950413,99.58677685950413,1,11.316058091286308,9.62,5.839437242858083,1.4726423197942844,chicago,0.6931471805599453,0.9052873439478546
chicago_lcs_corrected_no_collocation,Chicago,DAJHM7956,South Chicago 3,41.73775017864213,-87.53549803584423,99.58677685950413,99.58677685950413,1,10.89414937759336,9.75,5.798021447953318,1.303161959372108,chicago,0.6931471805599453,0.8342829437553727
chicago_lcs_corrected_no_collocation,Chicago,DALBP5360,Beverly 4,41.70569725,-87.67464569624644,99.58677685950413,99.58677685950413,1,9.55219917012448,8.27,4.823328352237623,1.4717208330690603,chicago,0.6931471805599453,0.9049146016118231
chicago_lcs_corrected_no_collocation,Chicago,DALUY0194,Near North Side 2,41.9079403,-87.63684281786847,99.58677685950413,99.58677685950413,1,10.76966804979253,9.32,5.73938178053031,1.482845375268821,chicago,0.6931471805599453,0.9094052312357038
chicago_lcs_corrected_no_collocation,Chicago,DAMWS8859,North Lawndale 2,41.865807399999994,-87.71918399847682,99.58677685950413,99.58677685950413,1,11.49564315352697,10.16,5.726437783543682,1.302286683900499,chicago,0.6931471805599453,0.8339028394268071
chicago_lcs_corrected_no_collocation,Chicago,DAPBK7657,South Lawndale 2,41.8402538,-87.70343516174668,99.58677685950413,99.58677685950413,1,10.983817427385892,9.82,5.319800469302868,1.3572786696600183,chicago,0.6931471805599453,0.8575078476229241
chicago_lcs_corrected_no_collocation,Chicago,DAPJK7781,Near West Side 2,41.87791765,-87.66857540000001,99.58677685950413,99.58677685950413,1,9.656680497925311,8.58,4.833003527999928,1.1927664871828398,chicago,0.6931471805599453,0.7851639827734707
