dataset_key,city,sample_size,estimator,estimator_label,days_evaluated,median_relative_bias_pct,mean_relative_bias_pct,median_mdape_pct,p75_mdape_pct,median_absolute_error_ugm3,p95_absolute_error_ugm3
chicago_lcs_corrected_no_collocation,Chicago,5,arithmetic_mean,Arithmetic mean,272,0.005199516075611103,0.004144809724196086,3.5255668933652977,4.249004382991838,0.3129402233115455,1.0673277777777772
chicago_lcs_corrected_no_collocation,Chicago,5,lognormal_mean,Lognormal mean,272,0.19048493802033722,0.21838833261006765,3.5215417197820926,4.213337416309953,0.31069395948311485,1.0452935592063435
chicago_lcs_corrected_no_collocation,Chicago,5,robust_arithmetic_median,Robust median,272,-0.5308545370790192,-0.7350246739730031,3.853743285351612,4.805286651660634,0.3394814814814815,0.9779097542029631
chicago_lcs_corrected_no_collocation,Chicago,5,robust_lognormal_median_mad,Robust lognormal,272,0.029602434674714052,-0.0986538601718528,3.8399682345608364,4.690792344324234,0.3401282497242437,0.9806694387101612
chicago_lcs_corrected_no_collocation,Chicago,10,arithmetic_mean,Arithmetic mean,272,-0.003185200533543881,-0.0036575794695369035,2.602588459531344,3.1281309526437746,0.23140051365233916,0.7680399690688084
chicago_lcs_corrected_no_collocation,Chicago,10,lognormal_mean,Lognormal mean,272,0.08572261580025282,0.09125476430106422,2.568016140941662,3.108039855769632,0.22785498833290485,0.7433144251300494
chicago_lcs_corrected_no_collocation,Chicago,10,robust_arithmetic_median,Robust median,272,-0.5907346244136453,-0.7968157226371027,2.723877055479072,3.4612160653812594,0.24608465608465613,0.6669263314409308
chicago_lcs_corrected_no_collocation,Chicago,10,robust_lognormal_median_mad,Robust lognormal,272,-0.021576111474689085,-0.19021898930963582,2.6699119390394355,3.4085373172661515,0.24107031687862523,0.669038353583677
chicago_lcs_corrected_no_collocation,Chicago,15,arithmetic_mean,Arithmetic mean,272,-0.00019093931130890806,-9.424723656494485e-05,2.157986340384198,2.5800229535990304,0.19193014705882372,0.6689449332231847
chicago_lcs_corrected_no_collocation,Chicago,15,lognormal_mean,Lognormal mean,272,0.06312530286152074,0.05623611658787134,2.124986904409183,2.567837675896884,0.19011168599305783,0.6313733566353321
chicago_lcs_corrected_no_collocation,Chicago,15,robust_arithmetic_median,Robust median,272,-0.583568207737855,-0.824069074080615,2.3227311996110602,2.9701966702819633,0.21568890056022338,0.5757937335381915
chicago_lcs_corrected_no_collocation,Chicago,15,robust_lognormal_median_mad,Robust lognormal,272,-0.0368039617340255,-0.18200100749910386,2.2952448942245667,2.985486372759054,0.21046513550022627,0.5619872288181504
chicago_lcs_corrected_no_collocation,Chicago,20,arithmetic_mean,Arithmetic mean,272,-0.003411810810680093,-0.002249443965604271,1.8901876595124694,2.239795462040438,0.1690698529411765,0.569660654981549
chicago_lcs_corrected_no_collocation,Chicago,20,lognormal_mean,Lognormal mean,272,0.039115854313390916,0.034358454300432974,1.8560436896978365,2.2281622233674736,0.1655666499258881,0.5423205192192909
chicago_lcs_corrected_no_collocation,Chicago,20,robust_arithmetic_median,Robust median,272,-0.6036573234648719,-0.8292434571911933,2.006764748115697,2.6100763906065505,0.19082911220043597,0.5056393539681672
chicago_lcs_corrected_no_collocation,Chicago,20,robust_lognormal_median_mad,Robust lognormal,272,-0.030890680545314155,-0.19630956823585605,1.9963614583334115,2.5365553869061026,0.18198648866377543,0.4901373797147597
dhaka_lcs,Dhaka,5,arithmetic_mean,Arithmetic mean,365,0.010700822291679714,0.008282977433275855,8.811892093981616,10.25062905924497,3.048681224689286,8.544421718563106
dhaka_lcs,Dhaka,5,lognormal_mean,Lognormal mean,365,1.1251924097685664,1.9371035346379608,8.787373475049776,10.304665668741572,3.044172074481523,8.998372581825809
dhaka_lcs,Dhaka,5,robust_arithmetic_median,Robust median,365,-4.104011474203031,-4.348550972085701,8.827080052754983,11.716973475774958,3.3445562537845674,8.533567036827911
dhaka_lcs,Dhaka,5,robust_lognormal_median_mad,Robust lognormal,365,-0.6011633989543188,-0.6945344420727354,8.875409321801559,12.075265494312957,3.4863872784386913,9.681188527318042
dhaka_lcs,Dhaka,10,arithmetic_mean,Arithmetic mean,365,0.005008457468187151,0.0003299632694927829,5.762600384543644,6.863655938805462,1.9808042405623034,5.255478680668576
dhaka_lcs,Dhaka,10,lognormal_mean,Lognormal mean,365,0.45422205145261246,1.30857238220943,5.774143182704634,7.091827799373714,1.9781507641929537,5.616288136060665
dhaka_lcs,Dhaka,10,robust_arithmetic_median,Robust median,365,-4.675473141548699,-4.8694880665734095,6.5464768508089355,9.188133158171043,2.507390200957559,6.065853883291169
dhaka_lcs,Dhaka,10,robust_lognormal_median_mad,Robust lognormal,365,-1.1979321280172013,-1.4356987574429252,6.1012539616750745,8.50263831363036,2.352771112969016,6.21194675356607
dhaka_lcs,Dhaka,15,arithmetic_mean,Arithmetic mean,365,1.4249564885833893e-14,0.002880749265953967,4.161332349659789,4.9714111667252165,1.4242999231797775,3.7249872204510623
dhaka_lcs,Dhaka,15,lognormal_mean,Lognormal mean,365,0.2438594410600672,1.1174036790131474,4.216274657435246,5.270608236801859,1.4779384126849493,4.089612775341856
dhaka_lcs,Dhaka,15,robust_arithmetic_median,Robust median,365,-4.831148969444057,-5.024333714765307,5.694915853475397,8.78209136163433,2.277421591938406,4.847897411200279
dhaka_lcs,Dhaka,15,robust_lognormal_median_mad,Robust lognormal,365,-1.3673410352356552,-1.5905442311620668,5.073542298819091,7.279700801273711,2.0951381637452826,4.944301889627951
dhaka_lcs,Dhaka,20,arithmetic_mean,Arithmetic mean,345,0.004635783573695412,0.0017974704821821187,3.04854253469209,3.7069862617444107,1.148828125000005,3.164739998490336
dhaka_lcs,Dhaka,20,lognormal_mean,Lognormal mean,345,0.19946568079027244,1.0829882833328288,3.2589818441563514,3.984553414824229,1.2154480954914462,3.391475052544615
dhaka_lcs,Dhaka,20,robust_arithmetic_median,Robust median,345,-4.797865613623331,-4.949537930793082,5.1057851867011,8.075393316320243,2.0731934380032015,4.323651023019881
dhaka_lcs,Dhaka,20,robust_lognormal_median_mad,Robust lognormal,345,-1.3756198661948347,-1.4237112155529812,4.29869534035981,6.226247942749254,1.733969828815253,3.999380889059408
lucknow_lcs,Lucknow,5,arithmetic_mean,Arithmetic mean,365,0.003194947366724039,0.00504726522574834,6.513707874677431,7.938218441711886,2.616372913581902,7.711742732927529
lucknow_lcs,Lucknow,5,lognormal_mean,Lognormal mean,365,0.4653555117663415,0.7906420742331025,6.515252633930383,7.863641662178027,2.63305292412711,7.858066993816003
lucknow_lcs,Lucknow,5,robust_arithmetic_median,Robust median,365,-2.4831689738187084,-2.929425425113502,7.111107372618758,8.542780646041818,2.794022004486621,7.961051527896835
lucknow_lcs,Lucknow,5,robust_lognormal_median_mad,Robust lognormal,365,-0.5485383126286691,-0.7937081396049143,7.107067285397004,8.465789730084722,2.7782292562415947,8.14576616850861
lucknow_lcs,Lucknow,10,arithmetic_mean,Arithmetic mean,365,-0.0017645369278057326,-0.005016564757827067,4.470266389207971,5.466856127540822,1.7750590803120723,5.094346231845627
lucknow_lcs,Lucknow,10,lognormal_mean,Lognormal mean,365,0.18180538731799428,0.39602557901195296,4.437817994776335,5.410233969580565,1.7721012386807473,5.085428783484386
lucknow_lcs,Lucknow,10,robust_arithmetic_median,Robust median,365,-2.880943726009767,-3.2787761527149915,5.046715847090091,6.144566140948669,2.036681638995411,5.32101319854052
lucknow_lcs,Lucknow,10,robust_lognormal_median_mad,Robust lognormal,365,-1.0298174263686144,-1.3239726489234684,4.822772435623708,5.841072996001879,1.9358668174679643,5.472050390068847
lucknow_lcs,Lucknow,15,arithmetic_mean,Arithmetic mean,365,-0.0009634045927092831,-0.001710747401274593,3.4791454408741265,4.279009225022522,1.3924781772301813,3.9187833005768034
lucknow_lcs,Lucknow,15,lognormal_mean,Lognormal mean,365,0.10377076926920337,0.278164350559604,3.470311069105505,4.250402191495124,1.3786438733599482,3.886680532266905
lucknow_lcs,Lucknow,15,robust_arithmetic_median,Robust median,365,-2.9963371734613427,-3.4352072635537683,4.428395976293496,5.734338018025007,1.704358727883573,4.369523957528571
lucknow_lcs,Lucknow,15,robust_lognormal_median_mad,Robust lognormal,365,-1.056978258407748,-1.406907827467856,4.065134589741348,5.085151590114487,1.6364168745268124,4.351200274898126
lucknow_lcs,Lucknow,20,arithmetic_mean,Arithmetic mean,365,-7.316037695131705e-05,0.0002248481018207021,2.8484014135695954,3.4120408661189345,1.1254830084444407,3.1476388052366837
lucknow_lcs,Lucknow,20,lognormal_mean,Lognormal mean,365,0.06734249575093436,0.2184506971337281,2.82058147881409,3.4600628807395406,1.1190369191236371,3.1370250403666833
lucknow_lcs,Lucknow,20,robust_arithmetic_median,Robust median,365,-3.072864365204244,-3.4793835566418823,3.8392116845624984,5.085229974525258,1.5570417751988828,3.671874626454141
lucknow_lcs,Lucknow,20,robust_lognormal_median_mad,Robust lognormal,365,-1.1888057974363413,-1.500515710397797,3.3588879984413227,4.3652840927315,1.3522575328992623,3.5678951758895017
