dataset_key,city,time_aggregation,time_index,sample_size,n_sensors_available,estimator,estimator_label,draws,seed_used,reference_mean_ugm3,estimator_mean_ugm3,estimator_median_ugm3,bias_ugm3,relative_bias_pct,median_absolute_error_ugm3,p75_absolute_error_ugm3,p95_absolute_error_ugm3,median_ape_pct,p75_ape_pct,p95_ape_pct
dhaka_lcs,Dhaka,period,study_period,5,35,arithmetic_mean,Arithmetic mean,10000,970796073,55.14721850399361,55.15574412253315,55.07161621846822,0.0085256185395437,0.01545974352074765,3.2256381228500395,5.596863345127428,9.549531437152329,5.849140193020701,10.14894947915119,17.316433532292802
dhaka_lcs,Dhaka,period,study_period,5,35,robust_arithmetic_median,Robust median,10000,970796073,55.14721850399361,54.85587101708797,54.32245672233662,-0.29134748690563583,-0.528308579850745,3.466020909718182,5.262641942830221,8.273686613752922,6.2850330510634596,9.542896424502564,15.002908284764652
dhaka_lcs,Dhaka,period,study_period,5,35,lognormal_mean,Lognormal mean,10000,970796073,55.14721850399361,55.481646763383516,55.373411177198676,0.3344282593899095,0.6064281544239464,3.187570789621823,5.532983650204615,9.409575410469186,5.780111628641775,10.033114634428811,17.062647338755212
dhaka_lcs,Dhaka,period,study_period,5,35,robust_lognormal_median_mad,Robust lognormal,10000,970796073,55.14721850399361,55.77124682560037,55.17675338353793,0.6240283216067652,1.1315680800139991,3.192433811041134,5.204258695860027,9.042435378617462,5.788929881948528,9.437028443208153,16.39690200868904
dhaka_lcs,Dhaka,period,study_period,10,35,arithmetic_mean,Arithmetic mean,10000,2409443950,55.14721850399361,55.164211067072905,55.13223185818339,0.01699256307929886,0.03081309182995024,2.211566710864858,3.6572802294877675,6.079204393861131,4.010296023732733,6.631848946693327,11.02359204829323
dhaka_lcs,Dhaka,period,study_period,10,35,robust_arithmetic_median,Robust median,10000,2409443950,55.14721850399361,54.77391647347499,54.489628646995584,-0.3733020305186159,-0.6769190552948421,2.10592139535008,3.7247005970220144,5.404376582652965,3.8187264062965847,6.754104192493919,9.799907827194577
dhaka_lcs,Dhaka,period,study_period,10,35,lognormal_mean,Lognormal mean,10000,2409443950,55.14721850399361,55.370560324150205,55.325637928231444,0.2233418201565982,0.40499199454714907,2.16733010701747,3.6047750976158337,6.044156876707612,3.93008054768985,6.536639916580355,10.960039401207354
dhaka_lcs,Dhaka,period,study_period,10,35,robust_lognormal_median_mad,Robust lognormal,10000,2409443950,55.14721850399361,55.519319804555664,55.290222674841736,0.3721013005620577,0.6747417379447908,2.0907470538545496,3.487449078616514,5.688511051501131,3.7912103467251823,6.323889351489164,10.315136838840177
dhaka_lcs,Dhaka,period,study_period,15,35,arithmetic_mean,Arithmetic mean,10000,3691424705,55.14721850399361,55.11126369790053,55.12451522923955,-0.035954806093073444,-0.06519785959915585,1.5431326083800414,2.6515232637149317,4.489369151774801,2.7982056942151887,4.808081596214895,8.140699156839057
dhaka_lcs,Dhaka,period,study_period,15,35,robust_arithmetic_median,Robust median,10000,3691424705,55.14721850399361,54.603064809963826,54.32245672233662,-0.5441536940297809,-0.9867291747277785,1.5550935147020795,2.645563289325402,4.803837904718634,2.8198947415443336,4.797274207281765,8.710934177706084
