dataset_key,city,estimator,estimator_label,days_evaluated,median_mean_relative_difference_pct,mean_mean_relative_difference_pct,median_sd_relative_difference_pct,mean_sd_relative_difference_pct,median_estimated_mean_ugm3,median_estimated_sd_ugm3
chicago_lcs_corrected_no_collocation,Chicago,arithmetic_mean,Arithmetic mean,273,0.0,0.0,0.0,0.0,8.936514297385619,1.276175613767316
chicago_lcs_corrected_no_collocation,Chicago,lognormal_mean,Lognormal mean,273,0.003883158439107708,-0.015290750359618662,-0.5919258407416896,-1.8855811570407237,8.937305859081889,1.233900424749676
chicago_lcs_corrected_no_collocation,Chicago,robust_arithmetic_median,Robust median,273,-0.6767744023157081,-0.8610610952987321,-22.858468117521117,-25.797434347224687,8.870000000000001,0.9043859999999995
chicago_lcs_corrected_no_collocation,Chicago,robust_lognormal_median_mad,Robust lognormal,273,-0.07578455789613397,-0.2186866743904656,-22.16268249648193,-25.032303877371433,8.92563352072909,0.911298893702035
dhaka_lcs,Dhaka,arithmetic_mean,Arithmetic mean,365,0.0,0.0,0.0,0.0,35.341113828443305,10.703871073603182
dhaka_lcs,Dhaka,lognormal_mean,Lognormal mean,365,0.06903790584819819,0.9126791847983133,-1.530231216940903,11.263418499145544,35.42864334387255,10.928936538602668
dhaka_lcs,Dhaka,robust_arithmetic_median,Robust median,365,-4.724821128010155,-5.0588912659215115,-27.391295771284263,-27.188908407080184,33.11805555555556,8.148104187252967
dhaka_lcs,Dhaka,robust_lognormal_median_mad,Robust lognormal,365,-1.5193192830047209,-1.71841635204648,-22.727310207449243,-21.60227594501157,34.143689009183106,8.811972522222407
lucknow_lcs,Lucknow,arithmetic_mean,Arithmetic mean,365,0.0,0.0,0.0,0.0,40.25105628429394,9.159715846435978
lucknow_lcs,Lucknow,lognormal_mean,Lognormal mean,365,-0.001100941842443749,0.1087646001410676,-2.8321996447216224,-0.800423822591375,40.303248707778806,9.572018514485995
lucknow_lcs,Lucknow,robust_arithmetic_median,Robust median,365,-3.0960273437880157,-3.5920099180363017,-18.675349218135135,-21.924546609328303,39.526041666666664,7.526254166666672
lucknow_lcs,Lucknow,robust_lognormal_median_mad,Robust lognormal,365,-1.2165195611301112,-1.6220197901870101,-15.67820057191566,-19.269285978189426,40.02189644307515,7.656032384637571
