dataset_key,city,network,source_frequency,sensor_count,timestamp_count,valid_observation_count,missing_observation_count,missing_observation_pct,relative_low_evaluable_timestamp_count,relative_low_observation_count,relative_low_observation_pct_of_valid,daily_relative_low_evaluable_day_count,daily_relative_low_cell_count,daily_relative_low_cell_pct_of_observed_daily_cells,sensors_with_low_tail_review_flag,pm_min_ugm3,pm_p01_ugm3,pm_p05_ugm3,pm_median_ugm3,pm_p95_ugm3,pm_max_ugm3,pm_gt0_lt1_count,pm_gt0_lt1_pct_of_valid,pm_gt0_lt2_count,pm_gt0_lt2_pct_of_valid,pm_gt0_lt5_count,pm_gt0_lt5_pct_of_valid
dhaka_lcs,Dhaka,LCS,hourly,35,8760,263052,43548,14.203522504892367,7853,1884,0.7162082021805575,345,83,0.7167530224525043,2,1.0,4.0,6.75,33.0,170.0,1816.6666666666667,0,0.0,234,0.08895579581223484,5074,1.9288961878259812
lucknow_lcs,Lucknow,LCS,hourly,71,8760,445689,176271,28.34121165348254,8090,763,0.17119560949451298,350,28,0.13875811487189652,1,1.0,4.0,7.75,37.5,186.75,1883.0,0,0.0,702,0.1575089356030775,6640,1.4898281088382257
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,official_daily,277,273,73517,2104,2.782295923090147,115,9,0.012242066460818586,115,9,0.012242066460818586,2,1.69,3.5616,4.37,8.84,21.02,55.21,0,0.0,3,0.004080688820272862,7739,10.526816926697226
