city,dataset_key,resolution,distance_bin_label,distance_bin_left_km,distance_bin_right_km,pair_count,median_distance_km,median_pearson_correlation,p10_pearson_correlation,p90_pearson_correlation,median_mean_abs_difference_ugm3,p10_mean_abs_difference_ugm3,p90_mean_abs_difference_ugm3,median_semivariance_ugm3_sq,p10_semivariance_ugm3_sq,p90_semivariance_ugm3_sq
Chicago,chicago_lcs_corrected_no_collocation,daily,0-1 km,0.0,1.0,5,0.9051412137542352,0.9842174337520041,0.9811353794631128,0.9892141190006687,1.1854961480260944,0.6228370977189085,1.6102248366504153,1.299306773352393,0.34836775010411697,2.3590560456879106
Chicago,chicago_lcs_corrected_no_collocation,daily,1-2 km,1.0,2.0,705,1.4847211897994412,0.9843994161269982,0.9387355546839836,0.9925188262109891,0.9411861345746034,0.5604304300648577,1.906789261440931,0.8938941116003848,0.308695680570979,3.765828375602021
Chicago,chicago_lcs_corrected_no_collocation,daily,2-5 km,2.0,5.0,3128,3.8646395874944,0.9820250602708627,0.9414166826385589,0.9908524329664008,0.9993286470490162,0.6010484318613738,2.1335952090365384,0.9762252900073831,0.36440519840905194,3.9614457718865568
Chicago,chicago_lcs_corrected_no_collocation,daily,5-10 km,5.0,10.0,8670,7.547156401855778,0.9764994301257077,0.9368539814937059,0.9871782057514408,1.087440824316849,0.7010694534338133,2.165574856204144,1.149479204600702,0.4931698880932103,4.163894269828596
Chicago,chicago_lcs_corrected_no_collocation,daily,10-20 km,10.0,20.0,14367,14.284922733998222,0.9684971900757402,0.9233318583907064,0.9817920070083469,1.1992432528346875,0.8187952058029369,2.2563796262323215,1.3921442289062944,0.6670752073035775,4.57400282703135
Chicago,chicago_lcs_corrected_no_collocation,daily,20-50 km,20.0,50.0,11351,26.27938572915566,0.9597746405549173,0.8881365751615469,0.974922179912509,1.2785209799371473,0.9222628668157922,2.459362815432838,1.6422576394105142,0.8510422858403035,5.3586560692256
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,0-1 km,0.0,1.0,5,0.9051412137542352,0.9525246997620405,0.9471021324856571,0.9623040828394775,1.3809551998926999,0.9725548895548896,1.7747852490013452,2.5488252010298376,1.4390220556658655,4.563326381527476
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,1-2 km,1.0,2.0,705,1.4847211897994412,0.9478808622103937,0.8554780414060018,0.9707948004815998,1.303167582146437,0.9532687713181371,2.1601679794251614,2.791056162616744,1.3922458541100444,8.101900372205327
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,2-5 km,2.0,5.0,3128,3.8646395874944,0.9369567746771106,0.8502403393126788,0.9630744990405915,1.436921824090629,1.057157467435551,2.4114341111740165,3.2236527577463416,1.7075796727376624,8.512080334207573
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,5-10 km,5.0,10.0,8670,7.547156401855778,0.9174476633803692,0.8387445161760165,0.9479096297091556,1.623103463564314,1.2444480221873857,2.512713057626291,3.9664253248115493,2.3227001714777415,8.964810298405515
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,10-20 km,10.0,20.0,14367,14.284922733998222,0.8939586889155064,0.8128677859582767,0.926577637650355,1.8428918318865355,1.4879239994707363,2.7171769491827904,4.886272047403928,3.171259053358808,10.405210388124154
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,20-50 km,20.0,50.0,11351,26.27938572915566,0.8634803708706933,0.7549402082324604,0.8992813378134324,2.0723158114951863,1.714356348316019,2.972514726014726,6.218860083871692,4.159449595193637,13.075168523029594
Chicago,chicago_lcs_corrected_no_collocation,monthly,0-1 km,0.0,1.0,5,0.9051412137542352,0.9838120201936028,0.9207872757886465,0.9940361293647236,1.0699090152080237,0.3817673656668844,1.4138556912735287,0.791188763696715,0.12299900792480281,1.4484038526212815
Chicago,chicago_lcs_corrected_no_collocation,monthly,1-2 km,1.0,2.0,705,1.4847211897994412,0.9742044296590379,0.7823655138775608,0.9949602352242883,0.8395020559179798,0.3630374606144104,1.9513919517051432,0.5532124223711112,0.1061296407974789,2.9028261554621846
Chicago,chicago_lcs_corrected_no_collocation,monthly,2-5 km,2.0,5.0,3128,3.8646395874944,0.9612135036182909,0.776941400679529,0.9934924703920243,0.9383410132159882,0.4080417678463731,2.15285942878735,0.7150630490611563,0.14040361099141827,3.284982392079428
