dataset,path,exists,row_count,sensor_column_count,timestamp_min,timestamp_max,median_timestamp_gap_seconds,p90_timestamp_gap_seconds,total_non_null_sensor_readings,median_non_null_readings_per_sensor,p10_non_null_readings_per_sensor,p90_non_null_readings_per_sensor
highest_resolution_individual_lcs_corrected_pm25,data/local_chicago_lcs_wide/highest_resolution_individual_lcs_corrected_pm25.parquet,False,0,0,,,,,0,,,
highest_resolution_individual_lcs_raw_pm25,data/local_chicago_lcs_wide/highest_resolution_individual_lcs_raw_pm25.parquet,False,0,0,,,,,0,,,
