dataset_key,city,network,sample_size,n_sensors_available,n_draws_completed,reference_mean_ugm3,best_ape_pct,ape_median_pct,ape_p95_pct,worst_ape_pct,best_absolute_error_ugm3,absolute_error_median_ugm3,absolute_error_p95_ugm3,worst_absolute_error_ugm3
dhaka_lcs,Dhaka,LCS,2,35,10000,55.14721850399361,0.02819835029974596,8.666846482393431,30.00996577064761,50.579812461242156,0.015550605854322441,4.779524767051189,16.54966139651273,27.893359696911396
dhaka_lcs,Dhaka,LCS,3,35,10000,55.14721850399361,0.0012173969834329192,7.532004252612634,23.18609523371015,41.15133913921216,0.0006713605745147788,4.15369084291838,12.786486601078186,22.693818912420774
dhaka_lcs,Dhaka,LCS,4,35,10000,55.14721850399361,0.0008583813093851353,6.668512825580547,20.087963286382877,36.251567793224154,0.00047337341628406193,3.677499338889742,11.07795300654358,19.9917313020527
dhaka_lcs,Dhaka,LCS,5,35,10000,55.14721850399361,2.18191490063593e-05,5.890024117243055,17.321043949472173,30.349079736358934,1.2032653778248914e-05,3.248184469873948,9.552073953988183,16.73667331616111
dhaka_lcs,Dhaka,LCS,6,35,10000,55.14721850399361,0.0008949089425033191,5.346949510245974,15.453619227090304,27.726433199580587,0.0004935173899340839,2.9486939297135635,8.522241161938657,15.290356699936531
dhaka_lcs,Dhaka,LCS,7,35,10000,55.14721850399361,0.001080218967126417,4.894562946700726,13.980163367353878,26.91291578871705,0.000595710714122788,2.6992153230325577,7.709671239409914,14.841724475799587
dhaka_lcs,Dhaka,LCS,8,35,10000,55.14721850399361,2.8414430591277572e-05,4.515959348721308,12.619549043067265,22.013123418316084,1.5669768124837447e-05,2.4904259695908664,6.95933028499894,12.139625271052559
dhaka_lcs,Dhaka,LCS,9,35,10000,55.14721850399361,0.0002340847346387862,4.077244608672309,11.907021484201739,21.45812473392761,0.00012909122009574503,2.248486993286818,6.566391155210196,11.833558933878557
dhaka_lcs,Dhaka,LCS,11,35,10000,55.14721850399361,0.0007280595517875916,3.6046585038795205,10.333984459094056,18.897609307938005,0.0004015045918634996,1.987868901457226,5.6989049898253406,10.421505897079605
dhaka_lcs,Dhaka,LCS,10,35,10000,55.14721850399361,0.00017397795885324568,3.8934084395891517,10.907383492177807,19.074346262248934,9.59440051175875e-05,2.1471064594331573,6.015118607499823,10.518971411450757
dhaka_lcs,Dhaka,LCS,12,35,10000,55.14721850399361,0.001050752605097942,3.435583766765986,9.554283498302672,15.914077664227799,0.0005794608350697672,1.8946288867461725,5.26892159729998,8.776171182386946
dhaka_lcs,Dhaka,LCS,13,35,10000,55.14721850399361,0.0017650768775164,3.1899255008745326,9.052233880477122,15.936311865837299,0.0009733908024074367,1.759155186081891,4.9920551975592575,8.788432726131155
dhaka_lcs,Dhaka,LCS,14,35,10000,55.14721850399361,0.00040729766679307034,3.0268013617474367,8.379565116939052,17.67744414562554,0.0002246133342680423,1.669196760644713,4.621097084722806,9.748618748909543
dhaka_lcs,Dhaka,LCS,15,35,10000,55.14721850399361,0.00033457849981565163,2.85500362951072,8.021830312908833,14.006466246823972,0.00018451073636072124,1.5744550898632248,4.423816290679428,7.724176545824129
dhaka_lcs,Dhaka,LCS,16,35,10000,55.14721850399361,0.00015477020221142765,2.673674115200429,7.611446795677839,13.645196896259112,8.535146159260876e-05,1.4744569063942983,4.197501195727678,7.524946547680166
dhaka_lcs,Dhaka,LCS,17,35,10000,55.14721850399361,0.0002603387673714633,2.5303887738272106,7.106770174405644,13.254044335317145,0.00014356958889294447,1.3954390261030163,3.919186076656128,7.309236790213532
dhaka_lcs,Dhaka,LCS,18,35,10000,55.14721850399361,0.0003363304749936404,2.417569548046507,6.687191089904175,11.480475586899768,0.00018547690194026245,1.333222361147218,3.6877998821290467,6.331162957205258
dhaka_lcs,Dhaka,LCS,20,35,10000,55.14721850399361,1.0588423337164197e-05,2.1239810204863834,5.91701817650904,9.720194837767501,5.839220953873792e-06,1.171316454350979,3.263070942720458,5.36041708619755
dhaka_lcs,Dhaka,LCS,19,35,10000,55.14721850399361,0.0003956758635438491,2.247688672072173,6.326781281288539,11.244597302303111,0.00021820423303609005,1.2395377832771537,3.4890438974619564,6.201082644195267
dhaka_lcs,Dhaka,LCS,21,35,10000,55.14721850399361,0.0004471812832245825,2.0672105581824685,5.683505955816154,10.179348458550509,0.00024660803936882303,1.140009123458512,3.1342954481414247,5.613627536719754
dhaka_lcs,Dhaka,LCS,22,35,10000,55.14721850399361,0.0005534360258706389,1.897021003155991,5.3413587156447795,9.282698816547681,0.0003052045744666998,1.046154317677086,2.9456107619987333,5.119150199429178
dhaka_lcs,Dhaka,LCS,23,35,10000,55.14721850399361,3.853559651440095e-05,1.7874449139156017,5.030819889351591,9.080678814742505,2.1251309611614033e-05,0.9857261523155572,2.774357236923091,5.007741787611906
dhaka_lcs,Dhaka,LCS,24,35,10000,55.14721850399361,0.00011749515407457218,1.6714070651778208,4.700980790895597,7.944695857885943,6.479530934910827e-05,0.9217345063247997,2.5924601485859617,4.38127878422609
dhaka_lcs,Dhaka,LCS,27,35,10000,55.14721850399361,4.5469185808129856e-05,1.3497151511862815,3.8130493064637867,6.8005851624049445,2.5074991249596223e-05,0.7443303636062062,2.1027906327005974,3.750333559061623
