dataset_key,city,network,sample_size,dates_evaluated,n_sensors_available_min,n_sensors_available_median,n_sensors_available_max,best_ape_min_over_days_pct,best_ape_median_over_days_pct,median_ape_median_over_days_pct,p95_ape_median_over_days_pct,worst_ape_median_over_days_pct,worst_ape_max_over_days_pct,best_absolute_error_min_over_days_ugm3,best_absolute_error_median_over_days_ugm3,median_absolute_error_median_over_days_ugm3,p95_absolute_error_median_over_days_ugm3,worst_absolute_error_median_over_days_ugm3,worst_absolute_error_max_over_days_ugm3,date_at_best_ape,date_at_worst_ape,date_at_worst_absolute_error
chicago_aqs,Chicago,AQS,2,212,9,10.0,10,2.179578944049387e-14,0.160988822437932,6.016021024470513,15.525969373999725,18.86535900330641,57.18099387570148,8.881784197001252e-16,0.013116099999997743,0.5058703500000004,1.3127084499999997,1.637708350000001,7.108749899999999,2025-09-06,2026-01-18,2025-11-14
chicago_aqs,Chicago,AQS,3,212,9,10.0,10,0.0,0.05880000944775607,4.650732496754229,12.055944967774678,15.193178521691305,37.47775916920124,0.0,0.004836799999999197,0.3963886666666667,1.0353732333333334,1.3141936500000004,5.0445169333333375,2025-09-19,2026-01-18,2026-02-26
chicago_aqs,Chicago,AQS,4,212,9,10.0,10,2.880806421630819e-07,0.028718408076202122,3.7196074298880424,9.316783743014138,12.161273996528617,28.02117512068454,4.999999703159119e-08,0.0022600499999976265,0.3245968999999995,0.8166665749999993,1.0537500000000009,3.8139584500000048,2025-12-06,2026-01-20,2026-02-15
chicago_aqs,Chicago,AQS,5,212,9,10.0,10,0.0,0.03426377573629165,3.0441789615577197,7.76620071621101,10.03570419288037,21.868374520463462,0.0,0.002871349999999495,0.26389489999999993,0.6719238999999995,0.838523550000001,3.1500001000000033,2025-09-19,2026-01-20,2026-02-15
chicago_aqs,Chicago,AQS,6,212,9,10.0,10,1.9205376826517524e-07,0.018393213342847152,2.4428808051948137,6.122832449848817,8.01602383794597,18.680783413789698,3.33333316504536e-08,0.0014795333333301741,0.21834240000000005,0.537002366666667,0.7025000000000015,2.542638966666665,2025-12-06,2026-01-20,2026-02-15
chicago_aqs,Chicago,AQS,7,212,9,10.0,10,0.0,0.028779079468247613,1.9353404376887886,5.135115592552216,6.301040382775135,16.06189678680057,0.0,0.0023784928571419783,0.16994045714285733,0.4458630571428568,0.5557440000000011,2.161935828571428,2025-09-19,2026-01-18,2026-02-26
chicago_aqs,Chicago,AQS,8,212,9,10.0,10,0.0,0.042574695341665504,1.446600846266393,3.7584750920947054,4.551668749381072,14.295248468925406,0.0,0.0036458499999989513,0.1260084222222222,0.3271195749999998,0.4090262874999997,1.7771874750000016,2025-09-06,2026-01-18,2025-11-14
chicago_aqs,Chicago,AQS,9,212,9,10.0,10,0.0,0.11468259752558352,0.891151810693787,2.503227781940671,2.5032277819406867,12.820914296572417,0.0,0.008605066666666161,0.0703935166666656,0.21324074444444463,0.21324074444444507,1.041211733333336,2025-12-13,2026-01-12,2026-02-26
chicago_lcs_corrected_all,Chicago,LCS corrected,2,272,265,279.0,283,0.0,0.01205767151507734,5.174245842364068,17.393028322642873,62.217510321013286,607.332481823541,0.0,0.0012123775154742056,0.464961165693043,1.5769628670728881,6.258640382317802,33.4734476534296,2025-10-19,2026-03-13,2026-03-13
chicago_lcs_corrected_all,Chicago,LCS corrected,3,272,265,279.0,283,0.0,0.008600730259949278,4.364747523248827,14.488013715370109,46.59274454915338,402.5202506495492,0.0,0.0008794613069706969,0.38527783743154664,1.2974481241479432,4.72717638841951,22.18511432009627,2025-10-19,2026-03-13,2026-03-13
