target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
30,2025-09-01,5,5.434941702469879,4.452748732033661,4.9696883078201335,6.115991746986413,7.29854297929957,5.647501954669627,0.9232491482690097,100,5.952219010372378,0.5185925925925918
30,2025-09-01,10,3.4361870386083626,2.775588337157604,3.1121290644688746,3.8745832503573467,5.976259239802249,3.6924111635108052,0.9043944392670507,100,4.136626424077573,0.3604074074074104
30,2025-09-01,20,1.6898622412291497,1.3547458293386172,1.5429821647858777,1.8842283809071967,2.8505851354191796,1.7995377355271451,0.4225871748994212,100,2.931474239075007,0.2554074074074091
30,2025-09-02,5,4.265771318030075,3.323869389605741,3.82885793255266,4.7109622146902,5.87361399038281,4.359482777029315,0.7726590501691175,100,4.576866558337003,0.4579629629629629
30,2025-09-02,10,2.682114769361991,2.104971103310599,2.3833434231705555,3.0940817516546026,3.769319214000836,2.7794957229675337,0.5216468526435261,100,3.198439460621917,0.3200370370370367
30,2025-09-02,20,1.3278422741172218,1.0213074075204462,1.1650380134911376,1.5002200435804043,1.872766784555733,1.3546375223581808,0.2593579655139923,100,2.228284406080796,0.2229629629629652
30,2025-09-03,5,2.3424498518022268,1.7358777823983664,2.0776519167531102,2.83548431440916,4.091199559359295,2.5794674061849245,0.7533376060671557,100,2.476606914338246,0.2802592592592567
30,2025-09-03,10,1.5585957372264838,1.0991339753209737,1.3066739160175684,1.8225639203616573,3.9872319422626026,1.8963918459621494,0.9227816653750185,100,1.822680574329295,0.2062592592592587
30,2025-09-03,20,0.754796222059712,0.5455391315167577,0.6465568544269756,0.8941904319915198,1.8822970420074556,0.9122212904447422,0.425838629993835,100,1.4006395255597497,0.1585
30,2025-09-04,5,1.987495898179483,1.4595478911902748,1.6764196661274957,2.4730498544150032,3.343903621505126,2.166048214713215,0.6207010795425101,100,2.1227336201107847,0.2798148148148183
30,2025-09-04,10,1.3023590397989775,0.9196042549129521,1.067831908282531,1.6102098482453817,3.060043770407915,1.5412203223107,0.6602731741383852,100,1.5765265840425555,0.2078148148148155
30,2025-09-04,20,0.637058844650995,0.4445488418223154,0.522006902448318,0.7838104310893164,1.4387995234387168,0.7436291174355296,0.31141868144459794,100,1.1706644114085425,0.1543148148148159
30,2025-09-05,5,2.2006838884370925,1.5591208844130748,1.885985861769548,2.6471305371112646,5.372331484355862,2.565787961716304,1.1268364227781613,100,2.3655992882105252,0.2865555555555552
30,2025-09-05,10,1.3913381696897318,0.977745009281961,1.2088567470596865,1.729795541553805,5.795188446234344,1.971770246917319,1.4359293071791035,100,1.7537905541134202,0.2124444444444435
30,2025-09-05,20,0.6950767434565422,0.482808477867972,0.5866447109877363,0.8385372050522759,2.6679651152825086,0.9399114560995342,0.6496827464773348,100,1.3378156501958287,0.1620555555555549
30,2025-09-06,5,2.7724869913613928,1.8944058012655038,2.2456396211619083,3.3432264393746056,9.365004034655483,3.440418132353965,2.1941954370521737,100,3.1301325084113256,0.1454074074074069
30,2025-09-06,10,1.760181482750716,1.1709774114449083,1.4649405855291993,2.4166412413421763,9.834682512266378,2.6688123013460343,2.548166088431319,100,2.445266531660119,0.1135925925925933
30,2025-09-06,20,0.8666275843866745,0.5672638707181454,0.7029157855148984,1.1494722647936224,4.621823664169152,1.268523682211815,1.1619322380264352,100,1.8209940522698636,0.0845925925925925
30,2025-09-07,5,3.404562172716768,2.4193009517651447,2.913655825226408,3.994961405173639,7.169723759995528,3.7515084350674037,1.3471015351136268,100,3.630404139328717,0.2375185185185184
30,2025-09-07,10,2.1640724302566356,1.5222960834209804,1.8660387560224474,2.5219484839156943,7.6203594653607585,2.7223471373133044,1.7736059412253513,100,2.6363312142294983,0.1724814814814808
30,2025-09-07,20,1.0591981555470118,0.7501635312107358,0.9012035198122275,1.2230323734620805,3.5386988546974285,1.3058757627509783,0.8141796423538774,100,1.9408764371882856,0.1269814814814811
30,2025-09-08,5,3.412052915237632,2.831391077665977,3.100944930081179,3.8070124079144714,4.794303851466811,3.556636539033197,0.6325041922381329,100,3.558917937020705,0.2544797047970473
30,2025-09-08,10,2.1849204408378955,1.8014869763791428,1.9687933615969864,2.4046366793843053,4.104697298494087,2.375508560488297,0.6816109640279149,100,2.6224855246725505,0.1875202952029511
