target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
30,2,0.398023024583801,0.3121243367673426,0.3519290849176455,0.45133675348523195,0.5404821860398817,0.40453946987288253,0.07258058611758958,100,0.3934026696980695
30,3,0.323911737370695,0.25750253559543984,0.28520261421245086,0.3824111508675254,0.46684625156080073,0.34169867994547976,0.07025129933391908,100,0.3303906770781424
30,4,0.2858551367504054,0.22025939210471654,0.24804396940010665,0.33442512192900775,0.44188086286180617,0.3009017804557277,0.07001106331540136,100,0.2941037064542886
30,5,0.25510778578047866,0.19377740917448674,0.22100982218508625,0.2964977484570266,0.4229194875643453,0.2722995348502321,0.07262585531438162,100,0.2652473493101821
30,6,0.22940725548608087,0.1737964700263483,0.19924234346899183,0.26853651592782857,0.4203142375343354,0.2500368021011,0.07525671252333334,100,0.2503438455460314
30,7,0.20730424240024048,0.15821254889148925,0.17984143690516485,0.2545602117423649,0.4214753520656041,0.2324295769449147,0.07914520233301198,100,0.232874367618959
30,8,0.19198884183011167,0.1431531080586633,0.16483991020154387,0.22986287677491668,0.4185874902482466,0.21705574960735718,0.08083364700750716,100,0.2164404204665206
30,9,0.17611957498251485,0.13352473517748625,0.153094674231383,0.21257939724080543,0.4072086287994942,0.2031009429277842,0.08129392331184145,100,0.2073946908535644
30,10,0.16288132649261833,0.1237271097529192,0.14108947235223446,0.19684430500484384,0.3925320677536371,0.19026127450898925,0.07917963472410827,100,0.1952400931839895
30,11,0.15295736851600727,0.11422932600503066,0.1309071109135278,0.18428213766204915,0.3733605331209461,0.17820334398005933,0.0761980847332197,100,0.1914938039412348
30,12,0.14172888816449225,0.105583119374357,0.12375858005949936,0.16858919464408806,0.35603266134498385,0.16694740763204677,0.07270244755939287,100,0.1834900039756979
30,13,0.13172867052405124,0.09957626752322982,0.11405805635993538,0.1585269680974406,0.33696273665891086,0.15680920123422698,0.06951493789254197,100,0.1776259184871547
30,14,0.12425051351194627,0.09159332913638077,0.10709631503515427,0.14905149534281925,0.31646535605206066,0.1468989867479304,0.0654390413549561,100,0.172735492388778
30,15,0.11663376795696934,0.08550302461604505,0.0996690523268291,0.138161287115806,0.297589791565423,0.13720144099938186,0.061889154558597156,100,0.1679058126198898
30,16,0.10926719630625037,0.08181213234488989,0.09392810266909102,0.13070892110955556,0.27773594235100507,0.1285409058096357,0.05732642141907509,100,0.1585477158044863
30,17,0.1020301543592157,0.0760319382990394,0.08717789908455043,0.12110453393515419,0.25582073662675514,0.11999802376970838,0.05306413634880249,100,0.1613817452652162
30,18,0.09427112214262534,0.07154990409908954,0.08193145480576125,0.11320585578143239,0.237158831344875,0.11141975059601968,0.0489203491186132,100,0.1509412794477711
30,19,0.08760990306610195,0.06674359035982742,0.07652623785023249,0.1054804253579753,0.2176984311782265,0.10317844118780169,0.04421355810574527,100,0.1511333988148058
30,20,0.08177007476359544,0.060682465444675815,0.0713572206745785,0.09802450008680497,0.19723034364435876,0.09522272095470324,0.039640493937347254,100,0.1452151244524806
30,21,0.07507241783196195,0.05728888773475362,0.06537581110303159,0.09020329304454178,0.17485742537016832,0.08692830683036779,0.034493287797791296,100,0.1397936779048176
30,22,0.0697424941874365,0.051879733937539106,0.060029887697939266,0.08355394398345228,0.15161147029349792,0.07889586420981035,0.02943654926355512,100,0.1370145971757423
