target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
30,2025-09-01,5,0.4796785714285723,0.3819517241379307,0.43491666666666706,0.522456896551724,0.6702833333333332,0.49095110016420357,0.08638446100917677,100,0.5185925925925918
30,2025-09-01,10,0.29863095238095294,0.2345517241379303,0.27200000000000113,0.3295178571428583,0.5435583333333331,0.3214752380952382,0.08490179721180414,100,0.3604074074074104
30,2025-09-01,20,0.1465833333333335,0.11439942528735694,0.13423214285714202,0.16008333333333247,0.25608793103448046,0.15663394088669946,0.039570820121967214,100,0.2554074074074091
30,2025-09-02,5,0.42967610837438386,0.33816666666666617,0.3844166666666662,0.47466666666666724,0.5592879310344822,0.43433056011676685,0.07365817764714938,100,0.4579629629629629
30,2025-09-02,10,0.2728563218390807,0.21339047619047538,0.23947413793103633,0.3068928571428562,0.3696666666666656,0.2769037785075717,0.04984741860108385,100,0.3200370370370367
30,2025-09-02,20,0.13330459770114977,0.10341428571428715,0.11485119047619086,0.15020833333333217,0.18439166666666465,0.13494874794745473,0.024763755390025743,100,0.2229629629629652
30,2025-09-03,5,0.26367857142857165,0.1952252873563209,0.23306896551724243,0.32542241379310033,0.4683827586206866,0.2919350501733259,0.08572388402483395,100,0.2802592592592567
30,2025-09-03,10,0.1777857142857142,0.1235747126436765,0.14760344827586058,0.20791666666666653,0.4573916666666677,0.21467158547710274,0.10513665184033497,100,0.2062592592592587
30,2025-09-03,20,0.08594047619047496,0.06169166666666923,0.07329741379310528,0.1030595238095251,0.21657701149425412,0.10324682585294614,0.04845112704748882,100,0.1585
30,2025-09-04,5,0.2636666666666665,0.19198333333333095,0.2220000000000013,0.3289885057471289,0.44402068965517255,0.2851382621784347,0.08060013804263583,100,0.2798148148148183
30,2025-09-04,10,0.17334482758620684,0.12030344827586284,0.14132142857142949,0.21417816091953945,0.3906844827586196,0.20267369184455383,0.08524720853307652,100,0.2078148148148155
30,2025-09-04,20,0.08508620689655011,0.05845948275861934,0.0690000000000004,0.10316666666666596,0.182911637931034,0.09779102627257781,0.04018042511490616,100,0.1543148148148159
30,2025-09-05,5,0.26916666666666744,0.18719252873563041,0.2273947044334963,0.3245818965517224,0.6695770114942554,0.3120766812625433,0.14227449870317932,100,0.2865555555555552
30,2025-09-05,10,0.16966666666666663,0.11739252873563011,0.14411268472906658,0.2133189655172414,0.7266833333333316,0.24049867177522383,0.18058758613235473,100,0.2124444444444435
30,2025-09-05,20,0.08444047619047534,0.0579008620689637,0.0703571428571399,0.1029791666666664,0.34020747126436923,0.11456838852399175,0.08161375651472513,100,0.1620555555555549
30,2025-09-06,5,0.12789285714285747,0.08407037037036962,0.10282738095237987,0.1560178571428582,0.45914022988505754,0.16191979656996897,0.11117905143896174,100,0.1454074074074069
30,2025-09-06,10,0.08066666666666622,0.05377976190476126,0.06723275862068978,0.11343965517241439,0.47924404761904815,0.1265264167122788,0.12777996236601308,100,0.1135925925925933
30,2025-09-06,20,0.040166666666665574,0.025760714285714893,0.03237500000000093,0.05369827586206899,0.226916666666666,0.060083214285714295,0.05830580083245222,100,0.0845925925925925
30,2025-09-07,5,0.21851190476190396,0.15616666666666593,0.19115517241379254,0.25338633461047144,0.49284999999999995,0.24603756248859707,0.09433504042019135,100,0.2375185185185184
30,2025-09-07,10,0.1394421182266008,0.09824597701149371,0.11991666666666645,0.1604252873563221,0.5222034482758614,0.1794867095420545,0.12323581310502786,100,0.1724814814814808
30,2025-09-07,20,0.06876724137931012,0.04954999999999987,0.05839285714285691,0.07888362068965571,0.2445626436781615,0.08605222587119149,0.056620407161169305,100,0.1269814814814811
30,2025-09-08,5,0.24203448275862094,0.20148333333333382,0.22077586206896638,0.27366666666666584,0.3507405172413796,0.25439229064039404,0.04760984938688066,100,0.2544797047970473
30,2025-09-08,10,0.1559166666666667,0.12820804597700858,0.14125862068965667,0.17274999999999996,0.29966527093596046,0.17000883415435125,0.05049218426670727,100,0.1875202952029511
30,2025-09-08,20,0.07619047619047636,0.06273392857142794,0.06816810344827573,0.08549999999999969,0.14466580459770007,0.08286194170771756,0.02342178929866724,100,0.1359797047970481
30,2025-09-09,5,0.20379310344827584,0.15764482758620665,0.17958066502463033,0.23854022988505785,0.3183344827586207,0.21631242200328415,0.05070060133302939,100,0.220553505535058
30,2025-09-09,10,0.12874137931034424,0.09825344827586076,0.11476785714285775,0.15702586206896552,0.3013856321839069,0.1493976108374383,0.05692465377637783,100,0.1664464944649442
30,2025-09-09,20,0.06350862068965535,0.04782549261083622,0.05629166666666596,0.07708333333333395,0.14343965517241236,0.07279637931034481,0.02700708166523509,100,0.1205535055350566
30,2025-09-10,5,0.2618928571428567,0.19927816091953982,0.23839408866995138,0.36208333333333487,0.45792126436781677,0.3003374794745487,0.09471787522196642,100,0.2915645756457561
30,2025-09-10,10,0.16733333333333533,0.12464885057471395,0.1504137931034486,0.2858442118226605,0.4030862068965551,0.21687362068965524,0.09621754399976541,100,0.2154354243542426
30,2025-09-10,20,0.08238218390804786,0.062087931034483644,0.07316379310344967,0.1372155172413787,0.1915172413793071,0.10522180213464666,0.04540027728788666,100,0.1654354243542428
30,2025-09-11,5,0.2654999999999994,0.1943119047619061,0.2365357142857163,0.33030357142857203,1.0153724137931055,0.3544369868637115,0.2417235657287269,100,0.2892767527675257
30,2025-09-11,10,0.1689679802955668,0.12129166666666698,0.1514285714285717,0.24508333333333265,1.0913405172413801,0.28371683908045997,0.29447138111731685,100,0.2197232472324763
30,2025-09-11,20,0.0821465517241391,0.059619047619047724,0.07261637931034581,0.11742857142857366,0.5074353448275871,0.13468676518883427,0.1335202535009418,100,0.1732767527675243
30,2025-09-12,5,0.2791666666666677,0.21207758620690043,0.2561551724137976,0.3538452380952386,0.47010172413793055,0.31158866995073886,0.08523292059946455,100,0.3018302583025818
30,2025-09-12,10,0.1800977011494247,0.133916666666667,0.16148214285714246,0.2597500000000006,0.45107586206896416,0.22293701149425277,0.09902427799323947,100,0.2218302583025826
30,2025-09-12,20,0.08766666666666678,0.06499224137930666,0.07895689655172666,0.12351190476190554,0.21465689655172518,0.10798170771756987,0.04635894551206219,100,0.1666697416974161
30,2025-09-13,5,0.2624999999999984,0.19803928571428725,0.23066564039408854,0.31288218390804534,0.4135333333333318,0.27908916803503037,0.06864176282394797,100,0.2763333333333353
30,2025-09-13,10,0.17366666666666664,0.12292992610837264,0.14615578817734187,0.21569827586206824,0.3730333333333327,0.1934763437328953,0.07041680323039931,100,0.206666666666667
30,2025-09-13,20,0.08533908045977157,0.05955912698412922,0.07056650246305551,0.10543750000000052,0.17462931034482992,0.09415964969896005,0.03336311632089732,100,0.1476666666666641
30,2025-09-14,5,0.3536321839080472,0.28379642857143084,0.31158928571428923,0.4185201149425293,0.606002298850573,0.3820193322386426,0.10246731060108057,100,0.3786296296296285
30,2025-09-14,10,0.22912643678161082,0.17782164750958387,0.1960000000000015,0.27811781609195396,0.6079034482758583,0.26790220580186136,0.11948804262300947,100,0.2796296296296283
30,2025-09-14,20,0.11335632183908295,0.0859535714285701,0.09626149425287256,0.13241666666666685,0.28423793103448675,0.12921756841817214,0.05462146193878948,100,0.2082500000000013
30,2025-09-15,5,0.2879125615763538,0.21297380952381256,0.26027586206896514,0.3596408045976993,0.6588381773399026,0.3382292036124793,0.13211534742570508,100,0.3043432835820905
30,2025-09-15,10,0.18430952380952537,0.13505952380952388,0.16718452380952442,0.2304999999999997,0.6869827586206874,0.25503120780879385,0.16811823309381785,100,0.2313432835820901
30,2025-09-15,20,0.08990024630541615,0.061974735449735974,0.08199445812807804,0.11403879310344922,0.31696551724138083,0.11995951195037403,0.07399643214599004,100,0.1696567164179114
30,2025-09-16,5,0.3889047619047594,0.3084689655172399,0.3572112068965536,0.4858908045976986,0.5966296296296326,0.41838880313811366,0.09604692878559197,100,0.4244535315985107
30,2025-09-16,10,0.2439047619047594,0.1945833333333332,0.22076785714285752,0.3299702380952394,0.5069344827586197,0.28836640576537115,0.10148339586681639,100,0.3075464684014877
30,2025-09-16,20,0.11773214285714273,0.09491034482758672,0.1072916666666679,0.15257142857142791,0.24189166666666906,0.13885576491516127,0.04666727401303978,100,0.2250464684014872
30,2025-09-17,5,0.49885057471264105,0.34230833333333094,0.40855172413793195,0.563637931034481,0.6827190476190506,0.4998689582193026,0.10732874253834646,100,0.5021189591078059
30,2025-09-17,10,0.32351847290640334,0.21115092592592405,0.2596666666666667,0.3903380541871915,0.4582982758620708,0.3285335112205802,0.08086751903886691,100,0.3671189591078061
30,2025-09-17,20,0.1541309523809522,0.10340833333333369,0.12690948275861924,0.18607142857142756,0.22206465517241417,0.15946122787812414,0.03899471842700252,100,0.2643810408921929
