target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
30,2,3.8746319201360384,3.03770669479153,3.3998398185949874,4.448189256376157,5.294950698184116,3.956352902847714,0.7100982851110226,100,3.8367681867847345,0.3934026696980695
30,3,3.1630446767650264,2.5047878667966685,2.8114287849348347,3.789510718338259,4.49394593205146,3.3411671177018354,0.6817439847474323,100,3.2222263260098707,0.3303906770781424
30,4,2.7443829096185297,2.1579156472270746,2.427539453401825,3.31627314861193,4.213300024308371,2.9418430972311302,0.6771233800276626,100,2.8683276232093857,0.2941037064542886
30,5,2.4852287277209264,1.8874246796178784,2.1853773062104467,2.9485289043509884,4.017260282669499,2.6618932598629805,0.7012289905087851,100,2.586898030568394,0.2652473493101821
30,6,2.2354264866697005,1.683448355052444,1.9431395624661434,2.659889506147876,4.051516118479001,2.4438457216986604,0.725256979210375,100,2.4415474940359254,0.2503438455460314
30,7,2.0228308315109222,1.545517725612219,1.7474071734113559,2.4593262501645734,4.062725077887991,2.271282839809605,0.7614456190719829,100,2.271171585804873,0.232874367618959
30,8,1.8564568416342988,1.3866270420737214,1.61217426449769,2.230035741822797,4.029225620223243,2.1207148072919897,0.777070055062431,100,2.11089497744792,0.2164404204665206
30,9,1.7097346411587493,1.3099046525273772,1.4817795009881856,2.0719920076608,3.9572087723347846,1.9840994662784635,0.7811819918890668,100,2.022674001134049,0.2073946908535644
30,10,1.5935984952510478,1.2074081353203514,1.3866732124091605,1.9147356705660599,3.764799561890719,1.8585044779359443,0.7605091489106164,100,1.904132930486043,0.1952400931839895
30,11,1.4984090177304472,1.1098838814157455,1.278503770695199,1.7889353406422452,3.6049915019407837,1.740675871343866,0.732049765350937,100,1.867596209990154,0.1914938039412348
30,12,1.3811381047249363,1.0330792257612749,1.2033912772207742,1.650506848194845,3.426115981424137,1.630645497439089,0.698407407893099,100,1.789536940324472,0.1834900039756979
30,13,1.2876685421230505,0.9856642860739289,1.1159816054132232,1.5521173942831576,3.2486992123532485,1.53157207337083,0.6678835531726423,100,1.732345827045306,0.1776259184871547
30,14,1.2238132838773605,0.8880203063257309,1.0529050315733386,1.4536544246960643,3.0499694556960275,1.4347112102785986,0.6285380222348927,100,1.6846505958754872,0.172735492388778
30,15,1.1312679889441606,0.8282080664942751,0.9746885707406826,1.335588529987629,2.869201972295574,1.3399769375377704,0.5944486982367351,100,1.6375478100610186,0.1679058126198898
30,16,1.0552632078924422,0.7924572511651856,0.9227073315196458,1.2648129825338983,2.6913332417245925,1.255418456081155,0.5505462258679027,100,1.5462803863352266,0.1585477158044863
30,17,0.9879964205388307,0.7526104612542356,0.8552920451190407,1.1871525933240914,2.4617458499741387,1.1719965721598495,0.5096230658843455,100,1.573920041357609,0.1613817452652162
30,18,0.9281072764081564,0.7007418478734109,0.802422661787742,1.1020058314774213,2.271422511718136,1.0882501842483265,0.4699247441634901,100,1.472096515009071,0.1509412794477711
30,19,0.8497985254683597,0.6465501751411853,0.7462414665831503,1.029942547423937,2.0962213976897153,1.0078071045309647,0.4246839772442798,100,1.4739702121958989,0.1511333988148058
30,20,0.7982961200885021,0.5877890782017893,0.6993893987552031,0.9532619521046957,1.9030607056045001,0.930163937463244,0.3808708323804535,100,1.4162506069592076,0.1452151244524806
30,21,0.7379903679183042,0.567092030330991,0.6406059982881374,0.8855215304835193,1.6931957145372187,0.8491721054931268,0.33130788330292904,100,1.3633764521996798,0.1397936779048176
30,22,0.6860115062576275,0.5105672503591935,0.5877605042663214,0.8166650409008337,1.455046909277952,0.7708352435856886,0.28296167392223087,100,1.3362726998585834,0.1370145971757423
30,23,0.6181411381797023,0.46459509684513595,0.538106881485277,0.7481387633067078,1.2304949562333258,0.691652765360687,0.23048653171994657,100,1.3416040217731262,0.1375612437731117
30,24,0.5596606851794268,0.4228889285709403,0.4863124614199071,0.6704441756588294,1.0088488518067547,0.6103105559843898,0.1810378748566013,100,1.2889400607718842,0.1321613494229332
30,25,0.5015795797448006,0.3774416586391716,0.4341338292958488,0.5837046759721051,0.8166730751701617,0.5324105827561062,0.14064514393975217,100,1.2738591922726623,0.1306150339719778
30,26,0.42660318519768015,0.3339803362771586,0.3756049698034778,0.5092036120346513,0.6457642946868515,0.45157999906483837,0.10369082917546375,100,1.251631663286919,0.1283359363517719
30,27,0.35044732087431096,0.27724564464412993,0.31034691401815695,0.4216865907221624,0.49497449080352784,0.37015892729154504,0.07508822177733375,100,1.2458772364423585,0.1277459067296984
30,28,0.27857383175091244,0.217123975064185,0.24142515525946334,0.320263546236639,0.3753747538394894,0.28340977736747663,0.051804983651780996,100,1.2102076943853255,0.124088533547634
30,29,0.18542701795918948,0.12267389671057215,0.15410399511451528,0.20762518764566323,0.24521517272522952,0.18331750374452635,0.03903243388589451,100,1.1760842279468473,0.1205896870855287
