dataset_key,city,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,period_seed,daily_seed
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,2,3.7315715340095617,0.9852941176470589,272,663980445,3894210422
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,3,3.206731765019893,0.9963235294117647,272,1496391715,2380249491
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,5,2.54690698112248,1.0,272,3471287052,3791923272
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,7,2.1924856138006366,1.0,272,3236757676,2403469335
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,10,1.9011439838394875,1.0,272,1836785739,1490013791
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,15,1.5723100872338904,1.0,272,187727888,2748241794
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,20,1.3950102169802867,1.0,272,3585008759,3426936354
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,30,1.1436763057836101,1.0,272,1443210121,3609045195
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,40,0.9983667912703513,1.0,272,850137183,3028941562
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,50,0.9031038545644874,1.0,272,1135442540,2650328518
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,75,0.6903368145630082,1.0,272,2012438086,2957585952
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,100,0.5542115434511199,1.0,272,304487130,3281461050
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,150,0.38681094257132126,1.0,272,3918552628,1619344153
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,200,0.2507183293178439,1.0,272,3757382337,2662151780
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,1,5.1233231730510544,0.8970588235294118,272,3595439666,262569997
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,2,3.7884574910882804,0.9852941176470589,272,2233836858,2169245171
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,3,3.178174244834522,0.9963235294117647,272,1472966328,3243855285
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,5,2.5732236700648863,1.0,272,3304417105,3004025045
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,7,2.237617664180495,1.0,272,3745461858,2556686573
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,10,1.8445492636495504,1.0,272,92990212,2451279205
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,15,1.5847950092237548,1.0,272,592623717,3519959293
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,20,1.3758852517383544,1.0,272,3343209094,669665331
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,30,1.1691170942482594,1.0,272,2284570118,3368333810
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,40,1.0053290747903934,1.0,272,3790584511,4196947605
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,50,0.895850261025349,1.0,272,1934424839,3748294695
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,75,0.6958510282653387,1.0,272,846010895,1745191977
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,100,0.567703148780391,1.0,272,3258674347,2070628795
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,150,0.391097104530764,1.0,272,1884847848,1305597022
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,200,0.2518587216855287,1.0,272,2144643378,2788095110
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,1,5.035978475485469,0.8933823529411765,272,1822355250,610425644
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,2,3.6952118012533792,0.9852941176470589,272,3440391250,419489475
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,3,3.1836594941275584,0.9963235294117647,272,718006645,1615982041
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,5,2.5956630830587737,1.0,272,2451574243,2742688773
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,7,2.243077912247448,1.0,272,3493866016,1027364916
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,10,1.9079714433497827,1.0,272,4060452234,4084784089
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,15,1.5895697522874401,1.0,272,1068492546,2200975054
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,20,1.4007600879432178,1.0,272,1418614617,3393506279
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,30,1.1534347585458196,1.0,272,682850167,2127325329
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,40,1.0130894644347461,1.0,272,3279245793,257449176
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,50,0.8876003359701552,1.0,272,3158069473,2345732544
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,75,0.6951360260996486,1.0,272,243795998,2508653050
