dataset_key,city,scenario,days_compared,baseline_mean_ugm3,filtered_mean_ugm3,bias_filtered_minus_baseline_ugm3,mae_filtered_vs_baseline_ugm3,rmse_filtered_vs_baseline_ugm3,p95_abs_difference_ugm3,max_abs_difference_ugm3,pearson_r
chicago_lcs_corrected_no_collocation,Chicago,S0_baseline,241,10.561299570962348,10.561299570962348,0.0,0.0,0.0,0.0,0.0,1.0
chicago_lcs_corrected_no_collocation,Chicago,S1_daily_18h,241,10.561299570962348,10.558777905861364,-0.002521665100982427,0.006227388832879017,0.011697801186859707,0.024668645191029626,0.06607449022056144,0.9999977806742728
chicago_lcs_corrected_no_collocation,Chicago,S2_daily_12h,241,10.561299570962348,10.559698462163178,-0.001601108799169228,0.005224402200200753,0.009942131975373638,0.02095996034587344,0.06192414654218581,0.9999983341250371
chicago_lcs_corrected_no_collocation,Chicago,S3_period_75pct,241,10.561299570962348,10.567446044646353,0.006146473684004785,0.011253047682601398,0.0152987227045266,0.03438323090430373,0.06221968848902293,0.9999974075507634
chicago_lcs_corrected_no_collocation,Chicago,S4_daily_18h_period_75pct,241,10.561299570962348,10.563789248057471,0.0024896770951239643,0.011825872426726608,0.016398716144637285,0.03447065376314207,0.07586093640810887,0.9999952840878138
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,241,10.561299570962348,10.563689752183718,0.0023901812213710013,0.010017118388551176,0.013070269347514448,0.026028316253036365,0.04926032165982264,0.9999972162923394
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,241,10.561299570962348,10.561369503136543,6.9932174197362e-05,0.0019329088232521003,0.0032260778081459615,0.007154751767297185,0.014371187363835247,0.9999998107564328
dhaka_lcs,Dhaka,S0_baseline,365,54.33822625409849,54.33822625409849,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
dhaka_lcs,Dhaka,S1_daily_18h,365,54.33822625409849,54.055647707345884,-0.2825785467525904,1.0968210830320042,5.102961122236253,2.5853553704009773,92.83779512420136,0.9935212498414813
dhaka_lcs,Dhaka,S2_daily_12h,365,54.33822625409849,54.04784774986137,-0.29037850423709666,0.416150645607434,1.3726028136537147,1.8245315242393376,14.994520260549876,0.9995545590478019
dhaka_lcs,Dhaka,S3_period_75pct,365,54.33822625409849,53.90435204319394,-0.43387421090453643,1.0101433234966894,1.633230351416203,2.5526952946509542,13.335532111395281,0.9994115292125582
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,365,54.33822625409849,53.55306566041501,-0.7851605936834632,1.3394835023759208,5.089862301315904,3.0906901278064427,91.50156085726056,0.9936569718425697
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,365,54.33822625409849,54.6570039360625,0.3187776819640223,0.7249349006522995,1.164153737834226,2.4707485518832826,9.507402821784936,0.9996874560365876
dhaka_lcs,Dhaka,S6_period_50pct,365,54.33822625409849,54.33822625409849,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
lucknow_lcs,Lucknow,S0_baseline,365,62.046879412326305,62.046879412326305,0.0,0.0,0.0,0.0,0.0,1.0
lucknow_lcs,Lucknow,S1_daily_18h,365,62.046879412326305,61.42326580490769,-0.6236136074186153,1.0802576042024448,3.0084969635237613,3.3872870124570325,25.680200015165838,0.9985718039340503
lucknow_lcs,Lucknow,S2_daily_12h,365,62.046879412326305,61.58654712041911,-0.46033229190718744,0.8217824732768032,2.5909761316198487,2.602416326726161,25.680200015165838,0.9989143222012576
lucknow_lcs,Lucknow,S3_period_75pct,365,62.046879412326305,59.46251928615615,-2.584360126170152,2.809782137800931,5.554921710203425,12.14943966743992,31.472303770979238,0.9980102995802748
lucknow_lcs,Lucknow,S4_daily_18h_period_75pct,365,62.046879412326305,59.39903769984124,-2.6478417124850626,2.8893100434658625,5.6430772956291335,11.938222253504282,30.003891623211985,0.9979804333919088
lucknow_lcs,Lucknow,S5_drop_gap_gt_30d,365,62.046879412326305,60.23834756713944,-1.8085318451868526,2.199350544826936,3.3612523237200067,7.302453127001812,13.959779435165473,0.9988834398124575
lucknow_lcs,Lucknow,S6_period_50pct,365,62.046879412326305,61.70126845706329,-0.3456109552630189,0.5084421720688658,0.8686619892498874,1.940189528873069,5.614429337768627,0.9999089696005473
