target_N_star,selection_strategy,selection_strategy_label,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,anti_cluster,Anti-cluster,2025-09-01,5,6.20132630505015,6.0522445162387575,6.156691038938976,6.256482741030444,6.436235334126841,6.210338377826906,0.1130020159245864,20
50,anti_cluster,Anti-cluster,2025-09-01,10,4.181261690188736,4.021850025505883,4.115265261010022,4.232114011222585,4.334966417275946,4.1760011052542145,0.09135818306274125,20
50,anti_cluster,Anti-cluster,2025-09-01,20,2.5835317122938,2.4712208808026133,2.538365073967026,2.604361503145731,2.7572107209658667,2.588840120727773,0.08738665314600413,20
50,anti_cluster,Anti-cluster,2025-09-02,5,5.256826434411817,5.173543379367275,5.2315639077149925,5.336500557071114,5.457335016267984,5.279312859273849,0.09137258897964766,20
50,anti_cluster,Anti-cluster,2025-09-02,10,3.7073914636719385,3.6268289884255016,3.6577917775565005,3.74755240354897,3.80868216595167,3.707761610583238,0.05807020876980708,20
50,anti_cluster,Anti-cluster,2025-09-02,20,2.4863693399910165,2.3979227355337196,2.421917509059368,2.5176004856327356,2.7144816277580386,2.49615972579516,0.09904664538763164,20
50,anti_cluster,Anti-cluster,2025-09-03,5,2.754803805733478,2.6655516971646955,2.701782751138162,2.7907239337695136,3.0738138175486682,2.777043192522072,0.11623424886373442,20
50,anti_cluster,Anti-cluster,2025-09-03,10,2.1750087550198094,2.1140672712812205,2.152343890632624,2.198082732482618,2.391544123663424,2.194408897063878,0.08336455015350525,20
50,anti_cluster,Anti-cluster,2025-09-03,20,1.7607408546863021,1.7049541957000556,1.7429853472060841,1.8032681588929713,1.8732714972556688,1.775972134490195,0.053351669078531117,20
50,anti_cluster,Anti-cluster,2025-09-04,5,2.4958627064783423,2.453492325285413,2.4716992264876776,2.533091323905822,2.5543889027813353,2.504994254149238,0.05676819547012372,20
50,anti_cluster,Anti-cluster,2025-09-04,10,2.333953342005964,2.230092523650721,2.2890331517326064,2.390147481519155,2.561975111615624,2.3579482395780995,0.11224452325762868,20
50,anti_cluster,Anti-cluster,2025-09-04,20,2.79980275857031,2.5767682188424588,2.707345838402511,2.8548027726188567,3.121647668364686,2.8035958629874527,0.16719691406459428,20
50,anti_cluster,Anti-cluster,2025-09-05,5,3.347061575292834,3.214151402023467,3.2975298337017658,3.357151374505824,3.4822648847469715,3.3410994212124288,0.08607465401696661,20
50,anti_cluster,Anti-cluster,2025-09-05,10,3.4218178149163836,3.148774089395619,3.29546601113548,3.4502527036075596,3.6446647893525292,3.3880169875528585,0.16799983852317926,20
50,anti_cluster,Anti-cluster,2025-09-05,20,3.855793837884443,3.3542849542748705,3.7680813788169303,3.903261756909221,4.105929132919345,3.810080168041022,0.21238252119703524,20
50,anti_cluster,Anti-cluster,2025-09-06,5,5.562642514311237,5.151483743402482,5.28279623044664,5.637985744582483,5.713328974853691,5.485146620317964,0.20053185941857202,20
50,anti_cluster,Anti-cluster,2025-09-06,10,5.594932470141753,5.0632245307990615,5.272032911836469,5.662203211455369,5.6702757004130095,5.465234480889142,0.23621228835623242,20
50,anti_cluster,Anti-cluster,2025-09-06,20,5.600314129446852,5.0239384178719035,5.290868719404282,5.627222425972308,5.670813866343498,5.4577001578620115,0.22978521045455558,20
50,anti_cluster,Anti-cluster,2025-09-07,5,7.527441734079845,7.310398704761478,7.466302852581702,7.5962229757652295,7.671882341619168,7.519035137873843,0.1294555456148913,20
50,anti_cluster,Anti-cluster,2025-09-07,10,7.603865335952498,7.266073015675323,7.512157013705307,7.619150056327038,7.7460132354356475,7.554954230753997,0.18298709672792138,20
50,anti_cluster,Anti-cluster,2025-09-07,20,7.642077136888814,7.349756859725891,7.59622297576524,7.689841888059234,7.820908365270847,7.599470978844816,0.2093066782747903,20
50,anti_cluster,Anti-cluster,2025-09-08,5,7.0691719390230014,6.687379372271356,6.897854761634441,7.195037620369693,7.418798831652705,7.0439988027536575,0.24912531820873912,20
50,anti_cluster,Anti-cluster,2025-09-08,10,7.1600749311067196,6.6296909349874475,6.971276409086663,7.2824443435271125,7.546063020569924,7.11112716613856,0.30164898704765397,20
50,anti_cluster,Anti-cluster,2025-09-08,20,7.209022696074877,6.649270040974692,7.0368314514547405,7.301673822621753,7.702521055021719,7.1726614992413875,0.3142292203887845,20
50,anti_cluster,Anti-cluster,2025-09-09,5,5.042080630593638,4.680495114541407,4.7569843583216915,5.132477009606696,5.283369426882336,4.991319586994,0.22128819367831762,20
50,anti_cluster,Anti-cluster,2025-09-09,10,5.348037605714751,4.8724135807537445,5.036865454881352,5.424526849495024,5.580286764102127,5.266680864602999,0.25446337435404365,20
50,anti_cluster,Anti-cluster,2025-09-09,20,5.598366039904748,5.062593655061974,5.238518915756631,5.655732972739955,5.81288360087034,5.48745663642335,0.2535529192370063,20
50,anti_cluster,Anti-cluster,2025-09-10,5,4.214816608071323,3.939661869437804,4.038560903608556,4.288256484930809,4.501721727002359,4.216072222202134,0.20269287734148822,20
50,anti_cluster,Anti-cluster,2025-09-10,10,4.481648160660774,4.077728837933627,4.354352374104331,4.547744049834303,4.720572560043616,4.444928222231036,0.19745001658539718,20
50,anti_cluster,Anti-cluster,2025-09-10,20,4.851295540853515,4.3714883453715565,4.637707898987178,4.910047442341101,5.108702309246009,4.737218932131779,0.40181481064193025,20
50,anti_cluster,Anti-cluster,2025-09-11,5,3.4267303769144464,3.2042973765500236,3.3952101518624414,3.4828912100973666,3.574165335585673,3.4180201688571272,0.125196546906676,20
50,anti_cluster,Anti-cluster,2025-09-11,10,2.665289608032112,2.5155319272122862,2.6011976323219255,2.6888786905568653,2.8007090773480026,2.650065049843158,0.08956724993388242,20
50,anti_cluster,Anti-cluster,2025-09-11,20,1.7592661969000887,1.7095413815769205,1.7406835682733965,1.7822167011215255,1.8027848825526653,1.7591836074395206,0.031227695969383885,20
50,anti_cluster,Anti-cluster,2025-09-12,5,3.7564591070595954,3.6064470489879303,3.6787729706265457,3.858808019421543,3.976280969147402,3.7671296966189174,0.1239072358942833,20
50,anti_cluster,Anti-cluster,2025-09-12,10,2.811733307609449,2.693946848020065,2.740172671586362,2.851275743983023,2.8850962234119555,2.799361726072767,0.06715169412847558,20
50,anti_cluster,Anti-cluster,2025-09-12,20,1.8423045386581824,1.7925826781781096,1.8197398672004383,1.8609563658579766,1.8839836653322266,1.8406775028537434,0.03080032392298033,20
50,anti_cluster,Anti-cluster,2025-09-13,5,2.2767177806391263,2.2114011471380106,2.249795153927184,2.2942760154512403,2.4000936439189995,2.2885403254126175,0.08167034851377392,20
50,anti_cluster,Anti-cluster,2025-09-13,10,2.2568184478520372,2.1374224511295723,2.18600023410979,2.289593819501345,2.5138710055015823,2.2799367903546726,0.1432611801008012,20
50,anti_cluster,Anti-cluster,2025-09-13,20,2.7721526395879676,2.559697998361221,2.6689980100667174,2.8063911974716067,3.0249034297085418,2.763988060400325,0.15511331347481425,20
50,anti_cluster,Anti-cluster,2025-09-14,5,2.7499552193199603,2.6654725151990832,2.7215063167100473,2.780511448049145,2.91127103374883,2.763958401382408,0.08315184092984475,20
50,anti_cluster,Anti-cluster,2025-09-14,10,2.2229129568946426,2.2037678991012224,2.215431949171304,2.263478984690282,2.3647886878734137,2.253031915454083,0.07096498846761136,20
50,anti_cluster,Anti-cluster,2025-09-14,20,2.2517042999989676,2.158249654925343,2.203894338668378,2.3377622303939773,2.6125786296058324,2.2958738554585087,0.1478953368579998,20
50,anti_cluster,Anti-cluster,2025-09-15,5,3.065377051812016,2.8376381013536385,3.03969177669864,3.1044496299141815,3.261353407598943,3.055618940597067,0.12441668567123018,20
50,anti_cluster,Anti-cluster,2025-09-15,10,2.4546064362254154,2.3167544820231787,2.399208228461346,2.4783710490256334,2.5267545393563635,2.4386764056668135,0.07274941397686917,20
50,anti_cluster,Anti-cluster,2025-09-15,20,1.7523606946490862,1.7323772066116607,1.7442050464685601,1.775895974635779,1.8068903043819848,1.760840275428705,0.02382942530736617,20
50,anti_cluster,Anti-cluster,2025-09-16,5,4.8616313916463785,4.476085467784215,4.679488492695265,4.924955223356436,5.02301753605544,4.811815180745459,0.19292447967995452,20
50,anti_cluster,Anti-cluster,2025-09-16,10,3.7412202659674105,3.4671111163139265,3.5039699030717397,3.7943596061996727,3.8933240365705157,3.6934724140756714,0.1523049896493056,20
50,anti_cluster,Anti-cluster,2025-09-16,20,2.41525361725042,2.195853916932009,2.282039444418433,2.477249514188058,2.5730971389773365,2.399344007538866,0.12456744266893051,20
50,anti_cluster,Anti-cluster,2025-09-17,5,4.5648919826902326,4.432907716808381,4.523263535224514,4.616523075018437,4.758563445749384,4.576705232888589,0.09973191968664549,20
50,anti_cluster,Anti-cluster,2025-09-17,10,3.659518972667873,3.58529118810597,3.6187909039239767,3.7893599151392996,3.9143451433008813,3.706337259359718,0.12214143706593096,20
