target_N_star,selection_strategy,selection_strategy_label,sample_size,n_outer_day_rows,n_days,daily_mdape_median_across_draw_days_pct,daily_mdape_p5_across_draw_days_pct,daily_mdape_p95_across_draw_days_pct,daily_abs_error_median_across_draw_days_ugm3,daily_abs_error_p5_across_draw_days_ugm3,daily_abs_error_p95_across_draw_days_ugm3,selected_mean_abs_error_vs_full_median_across_draw_days_ugm3,selected_mean_abs_error_vs_full_p5_across_draw_days_ugm3,selected_mean_abs_error_vs_full_p95_across_draw_days_ugm3,selected_mean_ape_vs_full_median_across_draw_days_pct,selected_mean_ape_vs_full_p95_across_draw_days_pct
50,anti_cluster,Anti-cluster,5,5440,272,3.9514568304026585,2.678030703542358,6.498225510136899,0.3609081632653064,0.1591951020408157,0.9600100000000009,0.3056530351993181,0.040539022831352155,0.9370497448979519,3.5743530310079903,7.622032236926123
50,anti_cluster,Anti-cluster,10,5440,272,2.8014339611893657,1.8809379421871861,4.621451861032385,0.26029999999999975,0.10919000000000038,0.6770499999999996,0.3056530351993181,0.040539022831352155,0.9370497448979519,3.5743530310079903,7.622032236926123
50,anti_cluster,Anti-cluster,20,5440,272,1.7818128955697299,1.167994413939771,2.99506027705229,0.16386836734693855,0.06849897959183612,0.42525416666666777,0.3056530351993181,0.040539022831352155,0.9370497448979519,3.5743530310079903,7.622032236926123
50,circumferential,Circumferential,5,5440,272,3.5547765601176957,2.1973349554030617,6.2258362294203105,0.3198758503401362,0.13198541666666633,0.8808253061224512,0.22687499999999972,0.026107372026827936,0.6923678450256775,2.615677022803525,6.409203851513196
50,circumferential,Circumferential,10,5440,272,2.503773600181558,1.4997274836497274,4.437982256143813,0.2278979591836725,0.09152959183673555,0.6160499999999998,0.22687499999999972,0.026107372026827936,0.6923678450256775,2.615677022803525,6.409203851513196
50,circumferential,Circumferential,20,5440,272,1.5921404856121124,0.9228178778826739,2.8592596808177357,0.14386343899261922,0.056400709219859554,0.3845000000000002,0.22687499999999972,0.026107372026827936,0.6923678450256775,2.615677022803525,6.409203851513196
50,cluster_concentrated,Cluster-concentrated,5,5440,272,2.984377619607105,1.8341752578605854,5.090657795825474,0.2723915816326543,0.1283821971341716,0.6388099999999999,0.28143696786406736,0.023278886992267944,1.2070917974399542,3.1878176775635816,10.543980835903609
50,cluster_concentrated,Cluster-concentrated,10,5440,272,2.060559734855917,1.2533977007652843,3.769608411434104,0.19040000000000035,0.0876000000000001,0.4569999999999991,0.28143696786406736,0.023278886992267944,1.2070917974399542,3.1878176775635816,10.543980835903609
50,cluster_concentrated,Cluster-concentrated,20,5440,272,1.2791248312997805,0.7701714664477718,2.4664729065080366,0.11866914893616887,0.05366010204081695,0.29876096938775343,0.28143696786406736,0.023278886992267944,1.2070917974399542,3.1878176775635816,10.543980835903609
50,equidistant,Spatially balanced,5,13600,272,3.8022926549529172,2.4045938284927235,6.481328168374415,0.3451999999999984,0.1523309523809529,0.8460890143291365,0.18221287835200384,0.020281201814059457,0.6021646521160184,2.1374250041947613,4.925372311760458
50,equidistant,Spatially balanced,10,13600,272,2.707599058324994,1.6873186501559094,5.095196141451849,0.25456122448979457,0.10509902210884291,0.59901,0.18221287835200384,0.020281201814059457,0.6021646521160184,2.1374250041947613,4.925372311760458
50,equidistant,Spatially balanced,20,13600,272,1.7154551706098435,1.0395386563214177,3.923268443266145,0.16325000000000012,0.06466496598639453,0.4071050000000001,0.18221287835200384,0.020281201814059457,0.6021646521160184,2.1374250041947613,4.925372311760458
50,kmeans_stratified,k-means stratified,5,13600,272,3.460215489693687,2.186619820580172,6.161483525277059,0.3207541666666671,0.1522040816326546,0.7455025510204079,0.10026947205307657,0.008923329791121093,0.4070788469959513,1.1122692405072856,4.027960261518964
50,kmeans_stratified,k-means stratified,10,13600,272,2.3995055188910728,1.4814306472159573,4.667848754283928,0.22620798957880828,0.10391471088435288,0.5302185714285718,0.10026947205307657,0.008923329791121093,0.4070788469959513,1.1122692405072856,4.027960261518964
50,kmeans_stratified,k-means stratified,20,13600,272,1.4857707793544521,0.9035422450982151,3.278860116594372,0.141262755102042,0.06382602040816376,0.3612024999999969,0.10026947205307657,0.008923329791121093,0.4070788469959513,1.1122692405072856,4.027960261518964
50,random,Random,5,13600,272,3.358673620088115,2.085954234024787,5.718131308998076,0.30595918367346897,0.1416666666666666,0.7601387499999949,0.1095703540043873,0.010079183673469095,0.40773111560008135,1.2315670261712817,3.9611583684137175
50,random,Random,10,13600,272,2.3513757247992424,1.4229874785986623,4.18783238517659,0.2160204081632644,0.09699999999999953,0.535522959183672,0.1095703540043873,0.010079183673469095,0.40773111560008135,1.2315670261712817,3.9611583684137175
50,random,Random,20,13600,272,1.4709665801906255,0.8708531428470285,2.781825681160198,0.13539999999999974,0.05964196428571318,0.34960816326530486,0.1095703540043873,0.010079183673469095,0.40773111560008135,1.2315670261712817,3.9611583684137175
